"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35356,1.4593,0,0,0.35356,0,1,0,8,0,0
0.35431,1.4591,-1.9943e-05,0,0.35431,0.001447,1,0.001,8,0.001,0
0.35505,1.4588,-3.9886e-05,0,0.35505,0.002894,1,0.002,8,0.002,0
0.3558,1.4585,-5.9828e-05,0,0.3558,0.004341,1,0.003,8,0.003,0
0.35655,1.4583,-7.9771e-05,0,0.35655,0.005788,1,0.004,8,0.004,0
0.35729,1.458,-9.9714e-05,0,0.35729,0.007235,1,0.005,8,0.005,0
0.35804,1.4577,-0.00011966,0,0.35804,0.008682,1,0.006,8,0.006,0
0.35878,1.4575,-0.0001396,0,0.35878,0.010129,1,0.007,8,0.007,0
0.35953,1.4572,-0.00015954,0,0.35953,0.011576,1,0.008,8,0.008,0
0.36027,1.4569,-0.00017949,0,0.36027,0.013023,1,0.009,8,0.009,0
0.36102,1.4567,-0.00019943,0,0.36102,0.01447,1,0.01,8,0.01,0
0.36176,1.4564,-0.00021937,0,0.36176,0.015917,1,0.011,8,0.011,0
0.36251,1.4561,-0.00023931,0,0.36251,0.017364,1,0.012,8,0.012,0
0.36326,1.4559,-0.00025926,0,0.36326,0.018811,1,0.013,8,0.013,0
0.364,1.4556,-0.0002792,0,0.364,0.020258,1,0.014,8,0.014,0
0.36475,1.4553,-0.00029914,0,0.36475,0.021705,1,0.015,8,0.015,0
0.36549,1.4551,-0.00031909,0,0.36549,0.023152,1,0.016,8,0.016,0
0.36624,1.4548,-0.00033903,0,0.36624,0.024599,1,0.017,8,0.017,0
0.36698,1.4545,-0.00035897,0,0.36698,0.026046,1,0.018,8,0.018,0
0.36773,1.4543,-0.00037891,0,0.36773,0.027493,1,0.019,8,0.019,0
0.36847,1.454,-0.00039886,0,0.36847,0.02894,1,0.02,8,0.02,0
0.36922,1.4537,-0.0004188,0,0.36922,0.030387,1,0.021,8,0.021,0
0.36997,1.4535,-0.00043874,0,0.36997,0.031834,1,0.022,8,0.022,0
0.37071,1.4532,-0.00045868,0,0.37071,0.033281,1,0.023,8,0.023,0
0.37146,1.4529,-0.00047863,0,0.37146,0.034728,1,0.024,8,0.024,0
0.3722,1.4527,-0.00049857,0,0.3722,0.036175,1,0.025,8,0.025,0
0.37295,1.4524,-0.00051851,0,0.37295,0.037622,1,0.026,8,0.026,0
0.37369,1.4521,-0.00053846,0,0.37369,0.039069,1,0.027,8,0.027,0
0.37444,1.4519,-0.0005584,0,0.37444,0.040516,1,0.028,8,0.028,0
0.37519,1.4516,-0.00057834,0,0.37519,0.041963,1,0.029,8,0.029,0
0.37593,1.4513,-0.00059828,0,0.37593,0.04341,1,0.03,8,0.03,0
0.37668,1.4511,-0.00061823,0,0.37668,0.044857,1,0.031,8,0.031,0
0.37742,1.4508,-0.00063817,0,0.37742,0.046304,1,0.032,8,0.032,0
0.37817,1.4505,-0.00065811,0,0.37817,0.047751,1,0.033,8,0.033,0
0.37891,1.4503,-0.00067806,0,0.37891,0.049198,1,0.034,8,0.034,0
