"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.448,0,0,0,1,0,5,0,0
-4.3596,0.029996,9.6194e-07,0,1,0.01,5,0.01,0
-4.2713,0.059993,1.9239e-06,0,1,0.02,5,0.02,0
-4.1829,0.089989,2.8858e-06,0,1,0.03,5,0.03,0
-4.0945,0.11999,3.8477e-06,0,1,0.04,5,0.04,0
-4.0062,0.14998,4.8097e-06,0,1,0.05,5,0.05,0
-3.9178,0.17998,5.7716e-06,0,1,0.06,5,0.06,0
-3.8294,0.20997,6.7336e-06,0,1,0.07,5,0.07,0
-3.7411,0.23997,7.6955e-06,0,1,0.08,5,0.08,0
-3.6527,0.26997,8.6574e-06,0,1,0.09,5,0.09,0
-3.5643,0.29996,9.6194e-06,0,1,0.1,5,0.1,0
-3.476,0.32996,1.0581e-05,0,1,0.11,5,0.11,0
-3.3876,0.35996,1.1543e-05,0,1,0.12,5,0.12,0
-3.2992,0.38995,1.2505e-05,0,1,0.13,5,0.13,0
-3.2108,0.41995,1.3467e-05,0,1,0.14,5,0.14,0
-3.1225,0.44995,1.4429e-05,0,1,0.15,5,0.15,0
-3.0341,0.47994,1.5391e-05,0,1,0.16,5,0.16,0
-2.9457,0.50994,1.6353e-05,0,1,0.17,5,0.17,0
-2.8574,0.53994,1.7315e-05,0,1,0.18,5,0.18,0
-2.769,0.56993,1.8277e-05,0,1,0.19,5,0.19,0
-2.6806,0.59993,1.9239e-05,0,1,0.2,5,0.2,0
-2.5923,0.62992,2.0201e-05,0,1,0.21,5,0.21,0
-2.5039,0.65992,2.1163e-05,0,1,0.22,5,0.22,0
-2.4155,0.68992,2.2125e-05,0,1,0.23,5,0.23,0
-2.3272,0.71991,2.3086e-05,0,1,0.24,5,0.24,0
-2.2388,0.74991,2.4048e-05,0,1,0.25,5,0.25,0
-2.1504,0.77991,2.501e-05,0,1,0.26,5,0.26,0
-2.0621,0.8099,2.5972e-05,0,1,0.27,5,0.27,0
-1.9737,0.8399,2.6934e-05,0,1,0.28,5,0.28,0
-1.8853,0.8699,2.7896e-05,0,1,0.29,5,0.29,0
