"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.7903,0,0,0,-5.7903,0,1,0,5,0,0
-5.6944,0.057312,-0.00067788,0,-5.6944,0.0012331,1,0.01,5,0.01,0
-5.5985,0.11462,-0.0013558,0,-5.5985,0.0024661,1,0.02,5,0.02,0
-5.5026,0.17194,-0.0020336,0,-5.5026,0.0036992,1,0.03,5,0.03,0
-5.4067,0.22925,-0.0027115,0,-5.4067,0.0049323,1,0.04,5,0.04,0
-5.3077,0.28465,-0.0040135,0,-5.3077,0.0078124,1,0.05,5,0.05,0
-5.205,0.33685,-0.005359,0,-5.205,0.011393,1,0.06,5,0.06,0
-5.1015,0.38832,-0.0066828,0,-5.1015,0.015067,1,0.07,5,0.07,0
-4.998,0.43979,-0.0080065,0,-4.998,0.018742,1,0.08,5,0.08,0
-4.8891,0.49071,-0.0071599,0,-4.8891,0.023365,1,0.09,5,0.09,0
-4.776,0.54123,-0.0047082,0,-4.776,0.028691,1,0.1,5,0.1,0
-4.6634,0.59019,-0.0016842,0,-4.6634,0.034232,1,0.11,5,0.11,0
-4.5491,0.63675,0.00084235,0,-4.5491,0.040354,1,0.12,5,0.12,0
-4.431,0.68098,0.0015973,0,-4.431,0.047275,1,0.13,5,0.13,0
-4.3128,0.7252,0.0023523,0,-4.3128,0.054197,1,0.14,5,0.14,0
-4.1946,0.76963,0.0027556,0,-4.1946,0.061151,1,0.15,5,0.15,0
-4.0753,0.81161,0.0022963,0,-4.0753,0.068986,1,0.16,5,0.16,0
-3.955,0.84722,0.0032392,0,-3.955,0.077736,1,0.17,5,0.17,0
-3.8338,0.88277,0.0024168,0,-3.8338,0.086544,1,0.18,5,0.18,0
-3.7127,0.91831,0.0015944,0,-3.7127,0.095351,1,0.19,5,0.19,0
-3.5916,0.95484,0.00062077,0,-3.5916,0.10439,1,0.2,5,0.2,0
-3.4708,0.99465,-0.00085864,0,-3.4708,0.1142,1,0.21,5,0.21,0
-3.3503,1.0322,-0.0017846,0,-3.3503,0.12423,1,0.22,5,0.22,0
-3.2309,1.0614,-0.00068368,0,-3.2309,0.13505,1,0.23,5,0.23,0
-3.1115,1.0905,0.00041726,0,-3.1115,0.14587,1,0.24,5,0.24,0
-2.992,1.1185,0.0010614,0,-2.992,0.15676,1,0.25,5,0.25,0
-2.8722,1.1434,0.00054401,0,-2.8722,0.16781,1,0.26,5,0.26,0
-2.7529,1.1765,0.0010528,0,-2.7529,0.17961,1,0.27,5,0.27,0
-2.6334,1.2087,0.00057923,0,-2.6334,0.19166,1,0.28,5,0.28,0
-2.5139,1.2394,-0.00050143,0,-2.5139,0.20377,1,0.29,5,0.29,0
-2.3939,1.262,-0.0019509,0,-2.3939,0.21631,1,0.3,5,0.3,0
-2.274,1.2829,-0.0030887,0,-2.274,0.22901,1,0.31,5,0.31,0
-2.1544,1.3055,-0.0024377,0,-2.1544,0.24193,1,0.32,5,0.32,0
-2.035,1.3278,-0.001728,0,-2.035,0.25491,1,0.33,5,0.33,0
-1.9158,1.347,-0.0005697,0,-1.9158,0.26842,1,0.34,5,0.34,0
-1.7966,1.3661,0.0005722,0,-1.7966,0.28193,1,0.35,5,0.35,0
-1.6767,1.3803,0.00032996,0,-1.6767,0.2958,1,0.36,5,0.36,0
-1.5567,1.3944,8.7731e-05,0,-1.5567,0.30966,1,0.37,5,0.37,0
-1.4369,1.4083,-0.00010181,0,-1.4369,0.32357,1,0.38,5,0.38,0
-1.3171,1.4216,-0.00014805,0,-1.3171,0.33762,1,0.39,5,0.39,0
-1.1977,1.4344,0.00050106,0,-1.1977,0.35208,1,0.4,5,0.4,0
-1.0781,1.4469,0.00049607,0,-1.0781,0.36656,1,0.41,5,0.41,0
-0.95858,1.4593,0.00033003,0,-0.95858,0.38103,1,0.42,5,0.42,0
-0.83895,1.4691,7.3757e-05,0,-0.83895,0.39564,1,0.43,5,0.43,0
-0.71923,1.4761,-0.000277,0,-0.71923,0.41038,1,0.44,5,0.44,0
