"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1777,0,0,0,-6.1777,0,1,0,15,0,0
-6.0433,0.060837,-0.00089742,0,-6.0433,0.0027599,1,0.01,15,0.01,0
-5.909,0.12167,-0.0017948,0,-5.909,0.0055198,1,0.02,15,0.02,0
-5.7747,0.18251,-0.0026923,0,-5.7747,0.0082797,1,0.03,15,0.03,0
-5.6347,0.24289,-0.0033284,0,-5.6347,0.011083,1,0.04,15,0.04,0
-5.457,0.30023,-0.0022111,0,-5.457,0.014174,1,0.05,15,0.05,0
-5.2794,0.35757,-0.0010939,0,-5.2794,0.017265,1,0.06,15,0.06,0
-5.1017,0.41491,2.3325e-05,0,-5.1017,0.020356,1,0.07,15,0.07,0
-4.924,0.47225,0.0011406,0,-4.924,0.023447,1,0.08,15,0.08,0
-4.7748,0.52157,0.0031157,0,-4.7748,0.028569,1,0.09,15,0.09,0
-4.6471,0.56485,0.0057365,0,-4.6471,0.035221,1,0.1,15,0.1,0
-4.5193,0.60813,0.0083573,0,-4.5193,0.041873,1,0.11,15,0.11,0
-4.3916,0.65141,0.010978,0,-4.3916,0.048524,1,0.12,15,0.12,0
-4.2639,0.69469,0.013599,0,-4.2639,0.055176,1,0.13,15,0.13,0
-4.1361,0.73797,0.01622,0,-4.1361,0.061828,1,0.14,15,0.14,0
-4.0084,0.78125,0.01884,0,-4.0084,0.068479,1,0.15,15,0.15,0
-3.8843,0.82423,0.020173,0,-3.8843,0.075321,1,0.16,15,0.16,0
-3.7772,0.86584,0.015497,0,-3.7772,0.08305,1,0.17,15,0.17,0
-3.6701,0.90744,0.010821,0,-3.6701,0.090778,1,0.18,15,0.18,0
-3.5529,0.9356,0.010343,0,-3.5529,0.10154,1,0.19,15,0.19,0
-3.4357,0.96367,0.0098885,0,-3.4357,0.11231,1,0.2,15,0.2,0
-3.3184,0.99175,0.0094338,0,-3.3184,0.12309,1,0.21,15,0.21,0
-3.2012,1.0198,0.0089791,0,-3.2012,0.13387,1,0.22,15,0.22,0
-3.0841,1.048,0.008296,0,-3.0841,0.14459,1,0.23,15,0.23,0
-2.9673,1.0764,0.0068235,0,-2.9673,0.15512,1,0.24,15,0.24,0
-2.8505,1.1047,0.005351,0,-2.8505,0.16565,1,0.25,15,0.25,0
-2.7338,1.1331,0.0038785,0,-2.7338,0.17618,1,0.26,15,0.26,0
-2.617,1.1615,0.002406,0,-2.617,0.18672,1,0.27,15,0.27,0
-2.5002,1.1899,0.00093349,0,-2.5002,0.19725,1,0.28,15,0.28,0
-2.3813,1.2173,-0.0016102,0,-2.3813,0.20868,1,0.29,15,0.29,0
-2.2608,1.244,-0.0049856,0,-2.2608,0.22081,1,0.3,15,0.3,0
-2.1452,1.2635,-0.0053886,0,-2.1452,0.23397,1,0.31,15,0.31,0
-2.0311,1.2807,-0.0048162,0,-2.0311,0.24747,1,0.32,15,0.32,0
-1.9171,1.2978,-0.0042439,0,-1.9171,0.26096,1,0.33,15,0.33,0
-1.8031,1.315,-0.0036716,0,-1.8031,0.27445,1,0.34,15,0.34,0
-1.689,1.3321,-0.0030993,0,-1.689,0.28795,1,0.35,15,0.35,0
-1.575,1.3493,-0.0025269,0,-1.575,0.30144,1,0.36,15,0.36,0
-1.4608,1.3671,-0.0019553,0,-1.4608,0.31488,1,0.37,15,0.37,0
-1.3465,1.3851,-0.0013839,0,-1.3465,0.32829,1,0.38,15,0.38,0
-1.2323,1.4032,-0.00081254,0,-1.2323,0.34171,1,0.39,15,0.39,0
-1.1184,1.4195,-0.00033331,0,-1.1184,0.35528,1,0.4,15,0.4,0
-1.0067,1.4246,-0.00046052,0,-1.0067,0.36985,1,0.41,15,0.41,0
-0.89498,1.4298,-0.00058773,0,-0.89498,0.38443,1,0.42,15,0.42,0
-0.78329,1.4349,-0.00071494,0,-0.78329,0.399,1,0.43,15,0.43,0
-0.6716,1.44,-0.00084215,0,-0.6716,0.41357,1,0.44,15,0.44,0
-0.5599,1.4452,-0.00096937,0,-0.5599,0.42815,1,0.45,15,0.45,0
-0.44821,1.4503,-0.0010966,0,-0.44821,0.44272,1,0.46,15,0.46,0
-0.33652,1.4554,-0.0012238,0,-0.33652,0.4573,1,0.47,15,0.47,0
-0.22488,1.4609,-0.0013517,0,-0.22488,0.47184,1,0.48,15,0.48,0
-0.11323,1.4664,-0.0014796,0,-0.11323,0.48638,1,0.49,15,0.49,0
-0.0015892,1.4719,-0.0016075,0,-0.0015892,0.50093,1,0.5,15,0.5,0
0.11127,1.475,-0.001749,0,0.11127,0.51554,1,0.51,15,0.51,0
0.22581,1.4691,-0.001824,0,0.22581,0.53003,1,0.52,15,0.52,0
0.34041,1.4611,-0.0018709,0,0.34041,0.54446,1,0.53,15,0.53,0
0.45501,1.4532,-0.0019178,0,0.45501,0.55888,1,0.54,15,0.54,0
0.56962,1.4452,-0.0019647,0,0.56962,0.57331,1,0.55,15,0.55,0
0.68422,1.4373,-0.0020116,0,0.68422,0.58774,1,0.56,15,0.56,0
0.79882,1.4293,-0.0020585,0,0.79882,0.60216,1,0.57,15,0.57,0
0.91342,1.4214,-0.0021053,0,0.91342,0.61659,1,0.58,15,0.58,0
1.028,1.4135,-0.0021522,0,1.028,0.63102,1,0.59,15,0.59,0
1.1426,1.4055,-0.0021991,0,1.1426,0.64544,1,0.6,15,0.6,0
1.2572,1.3976,-0.002246,0,1.2572,0.65987,1,0.61,15,0.61,0
1.3718,1.3896,-0.0022929,0,1.3718,0.6743,1,0.62,15,0.62,0
1.4838,1.3796,-0.0016688,0,1.4838,0.68848,1,0.63,15,0.63,0
1.5934,1.3677,-0.000426,0,1.5934,0.70244,1,0.64,15,0.64,0
1.7073,1.3481,-0.00036214,0,1.7073,0.71562,1,0.65,15,0.65,0
1.825,1.3219,-0.0013124,0,1.825,0.72813,1,0.66,15,0.66,0
1.9422,1.296,-0.0021624,0,1.9422,0.74061,1,0.67,15,0.67,0
2.0574,1.2715,-0.0025986,0,2.0574,0.75294,1,0.68,15,0.68,0
2.1727,1.247,-0.0030349,0,2.1727,0.76528,1,0.69,15,0.69,0
2.2879,1.2225,-0.0034712,0,2.2879,0.77761,1,0.7,15,0.7,0
2.4031,1.198,-0.0039074,0,2.4031,0.78995,1,0.71,15,0.71,0
2.5184,1.1735,-0.0043437,0,2.5184,0.80228,1,0.72,15,0.72,0
2.6336,1.149,-0.0047799,0,2.6336,0.81462,1,0.73,15,0.73,0
2.7488,1.1245,-0.0052162,0,2.7488,0.82695,1,0.74,15,0.74,0
2.864,1.1,-0.0056525,0,2.864,0.83929,1,0.75,15,0.75,0
2.983,1.0731,-0.0051501,0,2.983,0.8496,1,0.76,15,0.76,0
3.1033,1.0453,-0.0042967,0,3.1033,0.85915,1,0.77,15,0.77,0
3.2237,1.0176,-0.0034433,0,3.2237,0.86871,1,0.78,15,0.78,0
3.344,0.98982,-0.0025899,0,3.344,0.87826,1,0.79,15,0.79,0
3.4644,0.96205,-0.0017365,0,3.4644,0.88781,1,0.8,15,0.8,0
3.5872,0.92976,-0.00091436,0,3.5872,0.8971,1,0.81,15,0.81,0
3.7104,0.8968,-9.6923e-05,0,3.7104,0.90635,1,0.82,15,0.82,0
3.8336,0.86383,0.00072051,0,3.8336,0.91559,1,0.83,15,0.83,0
3.9568,0.83087,0.0015379,0,3.9568,0.92484,1,0.84,15,0.84,0
4.0767,0.79317,0.0018076,0,4.0767,0.93319,1,0.85,15,0.85,0
4.1897,0.74573,0.00095174,0,4.1897,0.93969,1,0.86,15,0.86,0
4.3028,0.6983,9.5853e-05,0,4.3028,0.94619,1,0.87,15,0.87,0
4.4159,0.65086,-0.00076003,0,4.4159,0.9527,1,0.88,15,0.88,0
4.5289,0.60342,-0.0016159,0,4.5289,0.9592,1,0.89,15,0.89,0
4.642,0.55599,-0.0024718,0,4.642,0.9657,1,0.9,15,0.9,0
4.7519,0.50666,-0.0030437,0,4.7519,0.97144,1,0.91,15,0.91,0
4.8519,0.45148,-0.0027355,0,4.8519,0.97479,1,0.92,15,0.92,0
4.952,0.3963,-0.0024273,0,4.952,0.97814,1,0.93,15,0.93,0
5.052,0.34112,-0.0021191,0,5.052,0.9815,1,0.94,15,0.94,0
5.1521,0.28594,-0.0018109,0,5.1521,0.98485,1,0.95,15,0.95,0
5.2521,0.23076,-0.0015027,0,5.2521,0.98821,1,0.96,15,0.96,0
5.3536,0.17504,-0.0011799,0,5.3536,0.99148,1,0.97,15,0.97,0
5.462,0.11669,-0.00078661,0,5.462,0.99432,1,0.98,15,0.98,0
5.5705,0.058347,-0.0003933,0,5.5705,0.99716,1,0.99,15,0.99,0
5.6789,0,0,0,5.6789,1,1,1,15,1,0
