"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1519,0,0,0,-6.1519,0,1,0,15,0,0
-6.0189,0.060611,-0.00089315,0,-6.0189,0.0027493,1,0.01,15,0.01,0
-5.8858,0.12122,-0.0017863,0,-5.8858,0.0054986,1,0.02,15,0.02,0
-5.7528,0.18183,-0.0026794,0,-5.7528,0.008248,1,0.03,15,0.03,0
-5.6143,0.24199,-0.0033128,0,-5.6143,0.01104,1,0.04,15,0.04,0
-5.4385,0.29913,-0.0022032,0,-5.4385,0.014119,1,0.05,15,0.05,0
-5.2627,0.35627,-0.0010937,0,-5.2627,0.017198,1,0.06,15,0.06,0
-5.0869,0.4134,1.591e-05,0,-5.0869,0.020278,1,0.07,15,0.07,0
-4.9111,0.47054,0.0011255,0,-4.9111,0.023357,1,0.08,15,0.08,0
-4.7641,0.51977,0.0030952,0,-4.7641,0.028464,1,0.09,15,0.09,0
-4.6387,0.56306,0.0057123,0,-4.6387,0.035096,1,0.1,15,0.1,0
-4.5134,0.60634,0.0083293,0,-4.5134,0.041729,1,0.11,15,0.11,0
-4.388,0.64963,0.010946,0,-4.388,0.048361,1,0.12,15,0.12,0
-4.2626,0.69292,0.013563,0,-4.2626,0.054994,1,0.13,15,0.13,0
-4.1373,0.7362,0.01618,0,-4.1373,0.061627,1,0.14,15,0.14,0
-4.0119,0.77949,0.018798,0,-4.0119,0.068259,1,0.15,15,0.15,0
-3.8901,0.82249,0.02013,0,-3.8901,0.075082,1,0.16,15,0.16,0
-3.7851,0.86413,0.015465,0,-3.7851,0.082792,1,0.17,15,0.17,0
-3.6801,0.90578,0.010801,0,-3.6801,0.090503,1,0.18,15,0.18,0
-3.5642,0.93411,0.01033,0,-3.5642,0.10125,1,0.19,15,0.19,0
-3.4483,0.96238,0.0098813,0,-3.4483,0.11202,1,0.2,15,0.2,0
-3.3323,0.99064,0.0094331,0,-3.3323,0.12279,1,0.21,15,0.21,0
-3.2164,1.0189,0.0089849,0,-3.2164,0.13356,1,0.22,15,0.22,0
-3.1006,1.0472,0.0083082,0,-3.1006,0.14427,1,0.23,15,0.23,0
-2.9853,1.0758,0.0068417,0,-2.9853,0.15479,1,0.24,15,0.24,0
-2.87,1.1043,0.0053752,0,-2.87,0.16531,1,0.25,15,0.25,0
-2.7547,1.1328,0.0039087,0,-2.7547,0.17584,1,0.26,15,0.26,0
-2.6394,1.1614,0.0024422,0,-2.6394,0.18636,1,0.27,15,0.27,0
-2.5241,1.1899,0.0009757,0,-2.5241,0.19688,1,0.28,15,0.28,0
-2.4061,1.2176,-0.0015684,0,-2.4061,0.20831,1,0.29,15,0.29,0
-2.286,1.2445,-0.0049493,0,-2.286,0.22045,1,0.3,15,0.3,0
-2.1699,1.2643,-0.0053572,0,-2.1699,0.23362,1,0.31,15,0.31,0
-2.0553,1.2817,-0.0047897,0,-2.0553,0.24713,1,0.32,15,0.32,0
-1.9406,1.299,-0.0042223,0,-1.9406,0.26064,1,0.33,15,0.33,0
-1.8259,1.3164,-0.0036548,0,-1.8259,0.27415,1,0.34,15,0.34,0
-1.7112,1.3338,-0.0030873,0,-1.7112,0.28766,1,0.35,15,0.35,0
-1.5965,1.3512,-0.0025198,0,-1.5965,0.30118,1,0.36,15,0.36,0
-1.4817,1.3692,-0.0019541,0,-1.4817,0.31463,1,0.37,15,0.37,0
-1.3669,1.3874,-0.0013892,0,-1.3669,0.32806,1,0.38,15,0.38,0
-1.2521,1.4057,-0.00082437,0,-1.2521,0.34149,1,0.39,15,0.39,0
-1.1374,1.4222,-0.00035104,0,-1.1374,0.35508,1,0.4,15,0.4,0
-1.0235,1.4274,-0.00048029,0,-1.0235,0.36969,1,0.41,15,0.41,0
-0.90965,1.4326,-0.00060953,0,-0.90965,0.3843,1,0.42,15,0.42,0
-0.79579,1.4379,-0.00073877,0,-0.79579,0.3989,1,0.43,15,0.43,0
-0.68192,1.4431,-0.00086801,0,-0.68192,0.41351,1,0.44,15,0.44,0
-0.56806,1.4483,-0.00099725,0,-0.56806,0.42812,1,0.45,15,0.45,0
-0.4542,1.4535,-0.0011265,0,-0.4542,0.44273,1,0.46,15,0.46,0
-0.34034,1.4587,-0.0012557,0,-0.34034,0.45734,1,0.47,15,0.47,0
-0.22656,1.4643,-0.0013849,0,-0.22656,0.47191,1,0.48,15,0.48,0
-0.11278,1.4698,-0.001514,0,-0.11278,0.48649,1,0.49,15,0.49,0
0.00099543,1.4754,-0.0016432,0,0.00099543,0.50107,1,0.5,15,0.5,0
0.11604,1.4785,-0.0017876,0,0.11604,0.51571,1,0.51,15,0.51,0
0.23245,1.4725,-0.0018637,0,0.23245,0.53024,1,0.52,15,0.52,0
0.3488,1.4644,-0.0019104,0,0.3488,0.54469,1,0.53,15,0.53,0
0.46516,1.4563,-0.001957,0,0.46516,0.55915,1,0.54,15,0.54,0
0.58151,1.4482,-0.0020036,0,0.58151,0.5736,1,0.55,15,0.55,0
0.69785,1.4401,-0.0020502,0,0.69785,0.58806,1,0.56,15,0.56,0
0.8142,1.432,-0.0020969,0,0.8142,0.60251,1,0.57,15,0.57,0
0.93055,1.4239,-0.0021435,0,0.93055,0.61697,1,0.58,15,0.58,0
1.0469,1.4158,-0.0021901,0,1.0469,0.63142,1,0.59,15,0.59,0
1.1633,1.4077,-0.0022368,0,1.1633,0.64588,1,0.6,15,0.6,0
1.2796,1.3996,-0.0022834,0,1.2796,0.66033,1,0.61,15,0.61,0
1.396,1.3915,-0.00233,0,1.396,0.67479,1,0.62,15,0.62,0
1.5095,1.3813,-0.0016987,0,1.5095,0.689,1,0.63,15,0.63,0
