"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1778,0,0,0,-6.1778,0,1,0,15,0,0
-6.0434,0.060839,-0.0008974,0,-6.0434,0.0027597,1,0.01,15,0.01,0
-5.9091,0.12168,-0.0017948,0,-5.9091,0.0055193,1,0.02,15,0.02,0
-5.7747,0.18252,-0.0026922,0,-5.7747,0.008279,1,0.03,15,0.03,0
-5.6347,0.2429,-0.0033283,0,-5.6347,0.011082,1,0.04,15,0.04,0
-5.4571,0.30024,-0.0022114,0,-5.4571,0.014172,1,0.05,15,0.05,0
-5.2794,0.35758,-0.0010945,0,-5.2794,0.017263,1,0.06,15,0.06,0
-5.1017,0.41492,2.2423e-05,0,-5.1017,0.020354,1,0.07,15,0.07,0
-4.924,0.47226,0.0011393,0,-4.924,0.023445,1,0.08,15,0.08,0
-4.7749,0.52157,0.0031142,0,-4.7749,0.028567,1,0.09,15,0.09,0
-4.6471,0.56485,0.0057347,0,-4.6471,0.035218,1,0.1,15,0.1,0
-4.5194,0.60813,0.0083552,0,-4.5194,0.04187,1,0.11,15,0.11,0
-4.3916,0.65141,0.010976,0,-4.3916,0.048521,1,0.12,15,0.12,0
-4.2639,0.69469,0.013596,0,-4.2639,0.055173,1,0.13,15,0.13,0
-4.1361,0.73797,0.016217,0,-4.1361,0.061824,1,0.14,15,0.14,0
-4.0084,0.78125,0.018837,0,-4.0084,0.068475,1,0.15,15,0.15,0
-3.8843,0.82423,0.02017,0,-3.8843,0.075317,1,0.16,15,0.16,0
-3.7772,0.86584,0.015495,0,-3.7772,0.083045,1,0.17,15,0.17,0
-3.6701,0.90744,0.01082,0,-3.6701,0.090774,1,0.18,15,0.18,0
-3.5529,0.9356,0.010342,0,-3.5529,0.10153,1,0.19,15,0.19,0
-3.4357,0.96367,0.009887,0,-3.4357,0.11231,1,0.2,15,0.2,0
-3.3184,0.99175,0.0094323,0,-3.3184,0.12309,1,0.21,15,0.21,0
-3.2012,1.0198,0.0089776,0,-3.2012,0.13386,1,0.22,15,0.22,0
-3.0841,1.048,0.0082946,0,-3.0841,0.14458,1,0.23,15,0.23,0
-2.9673,1.0764,0.0068221,0,-2.9673,0.15511,1,0.24,15,0.24,0
-2.8505,1.1047,0.0053496,0,-2.8505,0.16565,1,0.25,15,0.25,0
-2.7338,1.1331,0.0038771,0,-2.7338,0.17618,1,0.26,15,0.26,0
-2.617,1.1615,0.0024046,0,-2.617,0.18671,1,0.27,15,0.27,0
-2.5002,1.1899,0.00093211,0,-2.5002,0.19724,1,0.28,15,0.28,0
-2.3813,1.2173,-0.0016109,0,-2.3813,0.20868,1,0.29,15,0.29,0
-2.2608,1.244,-0.0049853,0,-2.2608,0.22081,1,0.3,15,0.3,0
-2.1452,1.2635,-0.005388,0,-2.1452,0.23397,1,0.31,15,0.31,0
-2.0311,1.2807,-0.0048158,0,-2.0311,0.24746,1,0.32,15,0.32,0
-1.9171,1.2978,-0.0042436,0,-1.9171,0.26096,1,0.33,15,0.33,0
-1.8031,1.315,-0.0036715,0,-1.8031,0.27445,1,0.34,15,0.34,0
-1.689,1.3321,-0.0030993,0,-1.689,0.28794,1,0.35,15,0.35,0
