"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10.884,0,0,0,1,0,5,0,0
-10.304,0.10577,0.0078531,0,1,0.01,5,0.01,0
-9.7236,0.21153,0.015706,0,1,0.02,5,0.02,0
-9.1434,0.3173,0.023559,0,1,0.03,5,0.03,0
-8.6502,0.41834,0.02887,0,1,0.04,5,0.04,0
-8.3678,0.50686,0.027556,0,1,0.05,5,0.05,0
-7.7592,0.57253,0.018146,0,1,0.06,5,0.06,0
-7.1505,0.63821,0.0087365,0,1,0.07,5,0.07,0
-6.5418,0.70389,-0.0006731,0,1,0.08,5,0.08,0
-5.9332,0.76956,-0.010083,0,1,0.09,5,0.09,0
-5.3167,0.83619,-0.016586,0,1,0.1,5,0.1,0
-4.7003,0.89932,-0.013424,0,1,0.11,5,0.11,0
-4.2081,0.93242,-0.014053,0,1,0.12,5,0.12,0
-3.7148,0.96575,-0.014494,0,1,0.13,5,0.13,0
-3.2101,1.0016,-0.012872,0,1,0.14,5,0.14,0
-2.7054,1.0374,-0.011251,0,1,0.15,5,0.15,0
-2.2007,1.0732,-0.0096289,0,1,0.16,5,0.16,0
-1.881,1.0906,-0.0093867,0,1,0.17,5,0.17,0
-1.6136,1.1027,-0.0095346,0,1,0.18,5,0.18,0
-1.3456,1.1145,-0.0087466,0,1,0.19,5,0.19,0
-1.0776,1.1261,-0.0078189,0,1,0.2,5,0.2,0
-0.80951,1.1378,-0.0068911,0,1,0.21,5,0.21,0
-0.54147,1.1494,-0.0059633,0,1,0.22,5,0.22,0
-0.42966,1.1542,-0.0056693,0,1,0.23,5,0.23,0
-0.34187,1.1579,-0.0054727,0,1,0.24,5,0.24,0
-0.25409,1.1616,-0.0052761,0,1,0.25,5,0.25,0
-0.1663,1.1654,-0.0050795,0,1,0.26,5,0.26,0
-0.089221,1.1686,-0.0048825,0,1,0.27,5,0.27,0
-0.068857,1.1689,-0.0046958,0,1,0.28,5,0.28,0
-0.048493,1.1693,-0.004509,0,1,0.29,5,0.29,0
-0.028129,1.1696,-0.0043223,0,1,0.3,5,0.3,0
-0.0077649,1.17,-0.0041356,0,1,0.31,5,0.31,0
-0.0014111,1.1701,-0.0039639,0,1,0.32,5,0.32,0
-0.0002602,1.1702,-0.0037977,0,1,0.33,5,0.33,0
