"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-21.301,0,0,0,-21.301,0,1,0,5,0,0
-18.501,0.19308,0.0115,0,-18.501,0.005472,1,0.01,5,0.01,0
-15.7,0.38616,0.023001,0,-15.7,0.010944,1,0.02,5,0.02,0
-12.899,0.57924,0.034501,0,-12.899,0.016416,1,0.03,5,0.03,0
-10.284,0.75848,0.042681,0,-10.284,0.022161,1,0.04,5,0.04,0
-8.1489,0.89985,0.042231,0,-8.1489,0.028681,1,0.05,5,0.05,0
-6.5076,0.92993,0.032076,0,-6.5076,0.038417,1,0.06,5,0.06,0
-4.8663,0.96001,0.02192,0,-4.8663,0.048152,1,0.07,5,0.07,0
-3.225,0.99009,0.011765,0,-3.225,0.057887,1,0.08,5,0.08,0
-1.5837,1.0202,0.0016096,0,-1.5837,0.067622,1,0.09,5,0.09,0
-0.10926,1.049,-0.0052373,0,-0.10926,0.077553,1,0.1,5,0.1,0
0.57773,1.0682,-0.0010638,0,0.57773,0.088193,1,0.11,5,0.11,0
0.4789,1.0644,-0.001123,0,0.4789,0.098826,1,0.12,5,0.12,0
0.38128,1.0608,-0.0010784,0,0.38128,0.10946,1,0.13,5,0.13,0
0.29674,1.0595,0.00010044,0,0.29674,0.12011,1,0.14,5,0.14,0
0.21221,1.0581,0.0012793,0,0.21221,0.13075,1,0.15,5,0.15,0
0.12767,1.0568,0.0024581,0,0.12767,0.1414,1,0.16,5,0.16,0
0.077356,1.0557,0.0024088,0,0.077356,0.15197,1,0.17,5,0.17,0
0.036716,1.0547,0.0020123,0,0.036716,0.16251,1,0.18,5,0.18,0
0.013042,1.0544,0.0019139,0,0.013042,0.17306,1,0.19,5,0.19,0
-0.0080982,1.0541,0.00186,0,-0.0080982,0.1836,1,0.2,5,0.2,0
-0.029238,1.0538,0.0018061,0,-0.029238,0.19414,1,0.21,5,0.21,0
-0.050378,1.0536,0.0017522,0,-0.050378,0.20469,1,0.22,5,0.22,0
-0.041084,1.0537,0.0016784,0,-0.041084,0.21523,1,0.23,5,0.23,0
-0.02711,1.0539,0.0016015,0,-0.02711,0.22577,1,0.24,5,0.24,0
-0.013136,1.0541,0.0015246,0,-0.013136,0.23631,1,0.25,5,0.25,0
0.00083749,1.0543,0.0014477,0,0.00083749,0.24686,1,0.26,5,0.26,0
0.012218,1.0545,0.0013733,0,0.012218,0.2574,1,0.27,5,0.27,0
0.0094737,1.0544,0.0012809,0,0.0094737,0.26794,1,0.28,5,0.28,0
0.0067297,1.0542,0.0011886,0,0.0067297,0.27848,1,0.29,5,0.29,0
0.0039856,1.0541,0.0010962,0,0.0039856,0.28902,1,0.3,5,0.3,0
0.0012416,1.054,0.0010038,0,0.0012416,0.29957,1,0.31,5,0.31,0
0.00019138,1.054,0.00094731,0,0.00019138,0.3101,1,0.32,5,0.32,0
-0.00022984,1.0539,0.00090409,0,-0.00022984,0.32064,1,0.33,5,0.33,0
-0.00065105,1.0539,0.00086088,0,-0.00065105,0.33118,1,0.34,5,0.34,0
-0.0010723,1.0539,0.00081766,0,-0.0010723,0.34172,1,0.35,5,0.35,0
-0.0014659,1.0539,0.0007697,0,-0.0014659,0.35226,1,0.36,5,0.36,0
-0.0012934,1.0539,0.00074671,0,-0.0012934,0.3628,1,0.37,5,0.37,0
-0.0010304,1.0538,0.00073389,0,-0.0010304,0.37333,1,0.38,5,0.38,0
-0.00076746,1.0538,0.00072106,0,-0.00076746,0.38387,1,0.39,5,0.39,0
-0.00050448,1.0538,0.00070824,0,-0.00050448,0.39441,1,0.4,5,0.4,0
-0.00024151,1.0538,0.00069541,0,-0.00024151,0.40495,1,0.41,5,0.41,0
-0.00011226,1.0537,0.00068078,0,-0.00011226,0.41548,1,0.42,5,0.42,0
-4.5322e-05,1.0537,0.00066566,0,-4.5322e-05,0.42602,1,0.43,5,0.43,0
-3.3631e-05,1.0537,0.00066072,0,-3.3631e-05,0.43656,1,0.44,5,0.44,0
-2.1941e-05,1.0536,0.00065577,0,-2.1941e-05,0.44709,1,0.45,5,0.45,0
-1.0251e-05,1.0536,0.00065083,0,-1.0251e-05,0.45763,1,0.46,5,0.46,0
-3.9985e-07,1.0536,0.0006472,0,-3.9985e-07,0.46817,1,0.47,5,0.47,0
-2.7987e-06,1.0536,0.0006523,0,-2.7987e-06,0.4787,1,0.48,5,0.48,0
-5.1975e-06,1.0536,0.00065741,0,-5.1975e-06,0.48924,1,0.49,5,0.49,0
-7.5963e-06,1.0536,0.00066251,0,-7.5963e-06,0.49977,1,0.5,5,0.5,0
-9.9951e-06,1.0536,0.00066762,0,-9.9951e-06,0.51031,1,0.51,5,0.51,0
-1.2745e-05,1.0536,0.00067246,0,-1.2745e-05,0.52084,1,0.52,5,0.52,0
-1.2381e-05,1.0536,0.00070431,0,-1.2381e-05,0.53138,1,0.53,5,0.53,0
-9.1907e-06,1.0536,0.00073938,0,-9.1907e-06,0.54191,1,0.54,5,0.54,0
-6e-06,1.0536,0.00077445,0,-6e-06,0.55245,1,0.55,5,0.55,0
-2.8092e-06,1.0536,0.00080951,0,-2.8092e-06,0.56298,1,0.56,5,0.56,0
3.8152e-07,1.0536,0.00084458,0,3.8152e-07,0.57352,1,0.57,5,0.57,0
3.5723e-06,1.0536,0.00087965,0,3.5723e-06,0.58405,1,0.58,5,0.58,0
7.4977e-05,1.0536,0.00092137,0,7.4977e-05,0.59459,1,0.59,5,0.59,0
0.00017239,1.0536,0.00096563,0,0.00017239,0.60512,1,0.6,5,0.6,0
