"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.9855,0,0,0,-9.9855,0,1,0,8,0,0
-9.668,0.086827,0.004198,0,-9.668,0.0020411,1,0.01,8,0.01,0
-9.3506,0.17365,0.0083959,0,-9.3506,0.0040823,1,0.02,8,0.02,0
-9.0331,0.26048,0.012594,0,-9.0331,0.0061234,1,0.03,8,0.03,0
-8.5699,0.35034,0.010674,0,-8.5699,0.0081581,1,0.04,8,0.04,0
-8.1089,0.42682,0.0090121,0,-8.1089,0.012829,1,0.05,8,0.05,0
-7.6722,0.49923,0.0084142,0,-7.6722,0.018206,1,0.06,8,0.06,0
-7.2385,0.57187,0.0071095,0,-7.2385,0.023559,1,0.07,8,0.07,0
-6.8161,0.64533,0.0032673,0,-6.8161,0.028828,1,0.08,8,0.08,0
-6.3716,0.71733,-0.00013294,0,-6.3716,0.034522,1,0.09,8,0.09,0
-5.855,0.77064,-0.00059233,0,-5.855,0.042706,1,0.1,8,0.1,0
-5.3523,0.81546,-0.00031704,0,-5.3523,0.051364,1,0.11,8,0.11,0
-4.8495,0.86028,-4.1747e-05,0,-4.8495,0.060022,1,0.12,8,0.12,0
-4.3468,0.9051,0.00023354,0,-4.3468,0.06868,1,0.13,8,0.13,0
-3.844,0.94992,0.00050884,0,-3.844,0.077338,1,0.14,8,0.14,0
-3.4081,0.98686,0.00048302,0,-3.4081,0.087297,1,0.15,8,0.15,0
-2.991,1.0217,0.00036203,0,-2.991,0.097616,1,0.16,8,0.16,0
-2.5738,1.0565,0.00024104,0,-2.5738,0.10794,1,0.17,8,0.17,0
-2.1566,1.0912,0.00012006,0,-2.1566,0.11825,1,0.18,8,0.18,0
-1.8862,1.1095,0.00095289,0,-1.8862,0.12941,1,0.19,8,0.19,0
-1.66,1.1227,0.0020732,0,-1.66,0.14081,1,0.2,8,0.2,0
-1.4338,1.1359,0.0031936,0,-1.4338,0.15222,1,0.21,8,0.21,0
-1.2076,1.1492,0.004314,0,-1.2076,0.16362,1,0.22,8,0.22,0
-0.99589,1.1602,0.0044596,0,-0.99589,0.17512,1,0.23,8,0.23,0
-0.78649,1.1708,0.0044495,0,-0.78649,0.18664,1,0.24,8,0.24,0
-0.62376,1.1791,0.0042497,0,-0.62376,0.1983,1,0.25,8,0.25,0
-0.53777,1.1835,0.0037377,0,-0.53777,0.21023,1,0.26,8,0.26,0
-0.45178,1.1878,0.0032257,0,-0.45178,0.22215,1,0.27,8,0.27,0
-0.36579,1.1922,0.0027137,0,-0.36579,0.23407,1,0.28,8,0.28,0
-0.2798,1.1965,0.0022017,0,-0.2798,0.24599,1,0.29,8,0.29,0
-0.19648,1.2008,0.0017508,0,-0.19648,0.25791,1,0.3,8,0.3,0
-0.15852,1.2026,0.0016232,0,-0.15852,0.26993,1,0.31,8,0.31,0
-0.13692,1.2032,0.0013953,0,-0.13692,0.28197,1,0.32,8,0.32,0
-0.11304,1.204,0.0012553,0,-0.11304,0.29402,1,0.33,8,0.33,0
-0.088977,1.2047,0.0011221,0,-0.088977,0.30607,1,0.34,8,0.34,0
-0.064918,1.2055,0.00098883,0,-0.064918,0.31812,1,0.35,8,0.35,0
-0.040859,1.2062,0.0008556,0,-0.040859,0.33017,1,0.36,8,0.36,0
-0.025706,1.2066,0.00067832,0,-0.025706,0.34223,1,0.37,8,0.37,0
-0.020434,1.2068,0.00052525,0,-0.020434,0.3543,1,0.38,8,0.38,0
-0.016882,1.207,0.00038386,0,-0.016882,0.36637,1,0.39,8,0.39,0
-0.013247,1.2071,0.00024217,0,-0.013247,0.37844,1,0.4,8,0.4,0
-0.0095302,1.2072,0.00010019,0,-0.0095302,0.39051,1,0.41,8,0.41,0
-0.0058137,1.2073,-4.1793e-05,0,-0.0058137,0.40258,1,0.42,8,0.42,0
-0.0039923,1.2074,-0.00019922,0,-0.0039923,0.41465,1,0.43,8,0.43,0
-0.0030081,1.2074,-0.00035943,0,-0.0030081,0.42672,1,0.44,8,0.44,0
-0.002293,1.2073,-0.00049029,0,-0.002293,0.43879,1,0.45,8,0.45,0
-0.0015779,1.2072,-0.00062115,0,-0.0015779,0.45087,1,0.46,8,0.46,0
-0.00091797,1.2071,-0.0007541,0,-0.00091797,0.46294,1,0.47,8,0.47,0
-0.0006822,1.2071,-0.00090307,0,-0.0006822,0.47501,1,0.48,8,0.48,0
-0.00044644,1.207,-0.001052,0,-0.00044644,0.48708,1,0.49,8,0.49,0
-0.00021068,1.207,-0.001201,0,-0.00021068,0.49915,1,0.5,8,0.5,0
2.5088e-05,1.207,-0.00135,0,2.5088e-05,0.51122,1,0.51,8,0.51,0
0.00027706,1.2069,-0.0014998,0,0.00027706,0.52329,1,0.52,8,0.52,0
0.00062591,1.2068,-0.0016381,0,0.00062591,0.53535,1,0.53,8,0.53,0
0.00098922,1.2068,-0.0017741,0,0.00098922,0.54742,1,0.54,8,0.54,0
0.0013525,1.2067,-0.0019102,0,0.0013525,0.55949,1,0.55,8,0.55,0
0.0017158,1.2066,-0.0020462,0,0.0017158,0.57156,1,0.56,8,0.56,0
0.0034147,1.2066,-0.0022116,0,0.0034147,0.58363,1,0.57,8,0.57,0
0.0052627,1.2066,-0.0023802,0,0.0052627,0.5957,1,0.58,8,0.58,0
0.0071108,1.2065,-0.0025489,0,0.0071108,0.60776,1,0.59,8,0.59,0
0.0092786,1.2064,-0.0027299,0,0.0092786,0.61983,1,0.6,8,0.6,0
0.011761,1.2062,-0.0029231,0,0.011761,0.63189,1,0.61,8,0.61,0
0.020501,1.2059,-0.0030898,0,0.020501,0.64395,1,0.62,8,0.62,0
0.030801,1.2057,-0.0032499,0,0.030801,0.65601,1,0.63,8,0.63,0
0.041101,1.2054,-0.00341,0,0.041101,0.66806,1,0.64,8,0.64,0
0.0514,1.2052,-0.0035701,0,0.0514,0.68012,1,0.65,8,0.65,0
0.063244,1.2048,-0.0037279,0,0.063244,0.69218,1,0.66,8,0.66,0
0.086238,1.2037,-0.0038687,0,0.086238,0.70421,1,0.67,8,0.67,0
0.11595,1.2024,-0.0040726,0,0.11595,0.71624,1,0.68,8,0.68,0
0.15833,1.2005,-0.0043951,0,0.15833,0.72825,1,0.69,8,0.69,0
