"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-15.337,0,0,0,-15.337,0,1,0,15,0,0
-14.09,0.13339,-0.0023785,0,-14.09,0.0067278,1,0.01,15,0.01,0
-12.842,0.26678,-0.0047571,0,-12.842,0.013456,1,0.02,15,0.02,0
-11.594,0.40017,-0.0071356,0,-11.594,0.020183,1,0.03,15,0.03,0
-10.323,0.53167,-0.0089175,0,-10.323,0.026978,1,0.04,15,0.04,0
-8.891,0.65042,-0.0066962,0,-8.891,0.034218,1,0.05,15,0.05,0
-7.4591,0.76918,-0.0044749,0,-7.4591,0.041459,1,0.06,15,0.06,0
-6.0272,0.88793,-0.0022536,0,-6.0272,0.0487,1,0.07,15,0.07,0
-4.5953,1.0067,-3.2355e-05,0,-4.5953,0.05594,1,0.08,15,0.08,0
-3.6593,1.0588,0.002844,0,-3.6593,0.065084,1,0.09,15,0.09,0
-3.0966,1.0608,0.0062134,0,-3.0966,0.075659,1,0.1,15,0.1,0
-2.5339,1.0627,0.0095828,0,-2.5339,0.086235,1,0.11,15,0.11,0
-1.9712,1.0647,0.012952,0,-1.9712,0.09681,1,0.12,15,0.12,0
-1.4084,1.0667,0.016322,0,-1.4084,0.10739,1,0.13,15,0.13,0
-0.84571,1.0686,0.019691,0,-0.84571,0.11796,1,0.14,15,0.14,0
-0.28298,1.0706,0.02306,0,-0.28298,0.12854,1,0.15,15,0.15,0
0.22756,1.0711,0.024604,0,0.22756,0.13914,1,0.16,15,0.16,0
0.49462,1.0645,0.017628,0,0.49462,0.14991,1,0.17,15,0.17,0
0.76168,1.058,0.010652,0,0.76168,0.16067,1,0.18,15,0.18,0
0.69779,1.0586,0.011114,0,0.69779,0.17134,1,0.19,15,0.19,0
0.63207,1.0593,0.011617,0,0.63207,0.182,1,0.2,15,0.2,0
0.56634,1.06,0.01212,0,0.56634,0.19267,1,0.21,15,0.21,0
