"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-15.79,0,0,0,1,0,5,0,0
-14.459,0.14978,0.010827,0,1,0.01,5,0.01,0
-13.128,0.29957,0.021655,0,1,0.02,5,0.02,0
-11.797,0.44935,0.032482,0,1,0.03,5,0.03,0
-10.577,0.59077,0.040203,0,1,0.04,5,0.04,0
-9.6275,0.70949,0.039834,0,1,0.05,5,0.05,0
-8.3094,0.76738,0.029815,0,1,0.06,5,0.06,0
-6.9914,0.82526,0.019797,0,1,0.07,5,0.07,0
-5.6733,0.88314,0.0097785,0,1,0.08,5,0.08,0
-4.3553,0.94102,-0.00023994,0,1,0.09,5,0.09,0
-3.0669,0.99795,-0.0069754,0,1,0.1,5,0.1,0
-2.0357,1.0429,-0.0027885,0,1,0.11,5,0.11,0
-1.6495,1.051,-0.0028576,0,1,0.12,5,0.12,0
-1.2603,1.0594,-0.0027756,0,1,0.13,5,0.13,0
-0.83871,1.0712,-0.0010428,0,1,0.14,5,0.14,0
-0.41715,1.083,0.00069,0,1,0.15,5,0.15,0
0.0044177,1.0948,0.0024228,0,1,0.16,5,0.16,0
0.099371,1.0965,0.0024198,0,1,0.17,5,0.17,0
0.10197,1.0954,0.001926,0,1,0.18,5,0.18,0
0.095508,1.0948,0.0019361,0,1,0.19,5,0.19,0
0.087691,1.0943,0.0020214,0,1,0.2,5,0.2,0
0.079874,1.0938,0.0021068,0,1,0.21,5,0.21,0
0.072057,1.0933,0.0021922,0,1,0.22,5,0.22,0
0.056104,1.0927,0.0020777,0,1,0.23,5,0.23,0
0.0389,1.0922,0.0019325,0,1,0.24,5,0.24,0
0.021696,1.0917,0.0017873,0,1,0.25,5,0.25,0
0.0044915,1.0912,0.0016421,0,1,0.26,5,0.26,0
-0.0097945,1.0907,0.0015064,0,1,0.27,5,0.27,0
-0.0086752,1.0908,0.0014019,0,1,0.28,5,0.28,0
-0.0075558,1.0909,0.0012974,0,1,0.29,5,0.29,0
-0.0064365,1.091,0.0011929,0,1,0.3,5,0.3,0
-0.0053171,1.0911,0.0010884,0,1,0.31,5,0.31,0
-0.0042011,1.0911,0.0010099,0,1,0.32,5,0.32,0
-0.0030864,1.0911,0.00094107,0,1,0.33,5,0.33,0
-0.0019717,1.0911,0.00087222,0,1,0.34,5,0.34,0
-0.00085701,1.0911,0.00080337,0,1,0.35,5,0.35,0
0.00034367,1.0911,0.00073519,0,1,0.36,5,0.36,0
0.0004246,1.0911,0.00070986,0,1,0.37,5,0.37,0
0.00034079,1.0911,0.000694,0,1,0.38,5,0.38,0
0.00025699,1.0911,0.00067814,0,1,0.39,5,0.39,0
0.00017318,1.0911,0.00066229,0,1,0.4,5,0.4,0
