"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.1952,0,0,0,-7.1952,0,1,0,8,0,0
-7.1732,0.0058065,0.00010786,0,-7.1732,0.00014127,1,0.001,8,0.001,0
-7.1513,0.011613,0.00021573,0,-7.1513,0.00028253,1,0.002,8,0.002,0
-7.1293,0.017419,0.00032359,0,-7.1293,0.0004238,1,0.003,8,0.003,0
-7.1074,0.023226,0.00043145,0,-7.1074,0.00056507,1,0.004,8,0.004,0
-7.0854,0.029032,0.00053932,0,-7.0854,0.00070634,1,0.005,8,0.005,0
-7.0635,0.034839,0.00064718,0,-7.0635,0.0008476,1,0.006,8,0.006,0
-7.0415,0.040645,0.00075505,0,-7.0415,0.00098887,1,0.007,8,0.007,0
-7.0196,0.046452,0.00086291,0,-7.0196,0.0011301,1,0.008,8,0.008,0
-6.9976,0.052258,0.00097077,0,-6.9976,0.0012714,1,0.009,8,0.009,0
-6.9757,0.058065,0.0010786,0,-6.9757,0.0014127,1,0.01,8,0.01,0
-6.9538,0.063871,0.0011865,0,-6.9538,0.0015539,1,0.011,8,0.011,0
-6.9318,0.069678,0.0012944,0,-6.9318,0.0016952,1,0.012,8,0.012,0
-6.9099,0.075484,0.0014022,0,-6.9099,0.0018365,1,0.013,8,0.013,0
-6.8879,0.08129,0.0015101,0,-6.8879,0.0019777,1,0.014,8,0.014,0
-6.866,0.087097,0.001618,0,-6.866,0.002119,1,0.015,8,0.015,0
-6.844,0.092903,0.0017258,0,-6.844,0.0022603,1,0.016,8,0.016,0
-6.8221,0.09871,0.0018337,0,-6.8221,0.0024015,1,0.017,8,0.017,0
-6.8001,0.10452,0.0019415,0,-6.8001,0.0025428,1,0.018,8,0.018,0
-6.7782,0.11032,0.0020494,0,-6.7782,0.0026841,1,0.019,8,0.019,0
-6.7562,0.11613,0.0021573,0,-6.7562,0.0028253,1,0.02,8,0.02,0
-6.7343,0.12194,0.0022651,0,-6.7343,0.0029666,1,0.021,8,0.021,0
-6.7123,0.12774,0.002373,0,-6.7123,0.0031079,1,0.022,8,0.022,0
-6.6904,0.13355,0.0024809,0,-6.6904,0.0032491,1,0.023,8,0.023,0
-6.6684,0.13936,0.0025887,0,-6.6684,0.0033904,1,0.024,8,0.024,0
-6.6465,0.14516,0.0026966,0,-6.6465,0.0035317,1,0.025,8,0.025,0
-6.6245,0.15097,0.0028045,0,-6.6245,0.003673,1,0.026,8,0.026,0
-6.6026,0.15677,0.0029123,0,-6.6026,0.0038142,1,0.027,8,0.027,0
-6.5806,0.16258,0.0030202,0,-6.5806,0.0039555,1,0.028,8,0.028,0
-6.5587,0.16839,0.003128,0,-6.5587,0.0040968,1,0.029,8,0.029,0
-6.5367,0.17419,0.0032359,0,-6.5367,0.004238,1,0.03,8,0.03,0
-6.5148,0.18,0.0033438,0,-6.5148,0.0043793,1,0.031,8,0.031,0
-6.4928,0.18581,0.0034516,0,-6.4928,0.0045206,1,0.032,8,0.032,0
-6.4709,0.19161,0.0035595,0,-6.4709,0.0046618,1,0.033,8,0.033,0
-6.4367,0.19747,0.0036082,0,-6.4367,0.0048023,1,0.034,8,0.034,0
-6.3586,0.20352,0.0034441,0,-6.3586,0.0049399,1,0.035,8,0.035,0
-6.2806,0.20956,0.0032799,0,-6.2806,0.0050775,1,0.036,8,0.036,0
-6.2025,0.21561,0.0031158,0,-6.2025,0.0052152,1,0.037,8,0.037,0
-6.1245,0.22165,0.0029516,0,-6.1245,0.0053528,1,0.038,8,0.038,0
-6.0464,0.2277,0.0027875,0,-6.0464,0.0054904,1,0.039,8,0.039,0
-5.9683,0.23374,0.0026233,0,-5.9683,0.005628,1,0.04,8,0.04,0
-5.8903,0.23979,0.0024592,0,-5.8903,0.0057657,1,0.041,8,0.041,0
-5.8122,0.24583,0.002295,0,-5.8122,0.0059033,1,0.042,8,0.042,0
-5.7921,0.25135,0.0023145,0,-5.7921,0.0062545,1,0.043,8,0.043,0
-5.7791,0.25679,0.0023561,0,-5.7791,0.0066316,1,0.044,8,0.044,0
-5.7661,0.26224,0.0023977,0,-5.7661,0.0070087,1,0.045,8,0.045,0
-5.753,0.26769,0.0024394,0,-5.753,0.0073858,1,0.046,8,0.046,0
-5.74,0.27314,0.002481,0,-5.74,0.0077629,1,0.047,8,0.047,0
-5.7269,0.27858,0.0025227,0,-5.7269,0.00814,1,0.048,8,0.048,0
-5.7139,0.28403,0.0025643,0,-5.7139,0.0085171,1,0.049,8,0.049,0
-5.7008,0.28948,0.002606,0,-5.7008,0.0088942,1,0.05,8,0.05,0
-5.6878,0.29492,0.0026476,0,-5.6878,0.0092713,1,0.051,8,0.051,0
-5.6747,0.30037,0.0026893,0,-5.6747,0.0096484,1,0.052,8,0.052,0
-5.6617,0.30582,0.0027309,0,-5.6617,0.010026,1,0.053,8,0.053,0
-5.6487,0.31127,0.0027726,0,-5.6487,0.010403,1,0.054,8,0.054,0
-5.6356,0.31671,0.0028142,0,-5.6356,0.01078,1,0.055,8,0.055,0
-5.6226,0.32216,0.0028559,0,-5.6226,0.011157,1,0.056,8,0.056,0
-5.6095,0.32761,0.0028975,0,-5.6095,0.011534,1,0.057,8,0.057,0
-5.5965,0.33305,0.0029391,0,-5.5965,0.011911,1,0.058,8,0.058,0
-5.5834,0.3385,0.0029808,0,-5.5834,0.012288,1,0.059,8,0.059,0
-5.5704,0.34395,0.0030224,0,-5.5704,0.012665,1,0.06,8,0.06,0
-5.5573,0.3494,0.0030641,0,-5.5573,0.013042,1,0.061,8,0.061,0
-5.5443,0.35484,0.0031057,0,-5.5443,0.013419,1,0.062,8,0.062,0
-5.5313,0.36029,0.0031474,0,-5.5313,0.013797,1,0.063,8,0.063,0
-5.5182,0.36574,0.003189,0,-5.5182,0.014174,1,0.064,8,0.064,0
-5.5052,0.37118,0.0032307,0,-5.5052,0.014551,1,0.065,8,0.065,0
-5.4921,0.37663,0.0032723,0,-5.4921,0.014928,1,0.066,8,0.066,0
-5.4791,0.38208,0.003314,0,-5.4791,0.015305,1,0.067,8,0.067,0
-5.4669,0.38755,0.0033407,0,-5.4669,0.015681,1,0.068,8,0.068,0
-5.4587,0.3931,0.003299,0,-5.4587,0.016049,1,0.069,8,0.069,0
-5.4505,0.39866,0.0032572,0,-5.4505,0.016418,1,0.07,8,0.07,0
-5.4423,0.40421,0.0032154,0,-5.4423,0.016786,1,0.071,8,0.071,0
-5.4341,0.40976,0.0031737,0,-5.4341,0.017155,1,0.072,8,0.072,0
-5.4259,0.41532,0.0031319,0,-5.4259,0.017524,1,0.073,8,0.073,0
-5.4177,0.42087,0.0030901,0,-5.4177,0.017892,1,0.074,8,0.074,0
-5.4095,0.42643,0.0030484,0,-5.4095,0.018261,1,0.075,8,0.075,0
-5.4012,0.43198,0.0030066,0,-5.4012,0.01863,1,0.076,8,0.076,0
-5.393,0.43754,0.0029648,0,-5.393,0.018998,1,0.077,8,0.077,0
-5.3848,0.44309,0.002923,0,-5.3848,0.019367,1,0.078,8,0.078,0
-5.3766,0.44865,0.0028813,0,-5.3766,0.019735,1,0.079,8,0.079,0
