"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.3512,0,0,0,1,0,5,0,0
-5.2441,0.045706,-6.247e-06,0,1,0.01,5,0.01,0
-5.137,0.091412,-1.2494e-05,0,1,0.02,5,0.02,0
-5.0299,0.13712,-1.8741e-05,0,1,0.03,5,0.03,0
-4.9228,0.18282,-2.4988e-05,0,1,0.04,5,0.04,0
-4.8156,0.22853,-3.1235e-05,0,1,0.05,5,0.05,0
-4.7085,0.27424,-3.7482e-05,0,1,0.06,5,0.06,0
-4.6014,0.31994,-4.3729e-05,0,1,0.07,5,0.07,0
-4.4943,0.36565,-4.9976e-05,0,1,0.08,5,0.08,0
-4.3872,0.41136,-5.6223e-05,0,1,0.09,5,0.09,0
-4.2801,0.45706,-6.247e-05,0,1,0.1,5,0.1,0
-4.173,0.50277,-6.8717e-05,0,1,0.11,5,0.11,0
-4.0659,0.54847,-7.4964e-05,0,1,0.12,5,0.12,0
-3.9588,0.59418,-8.1211e-05,0,1,0.13,5,0.13,0
-3.8517,0.63989,-8.7458e-05,0,1,0.14,5,0.14,0
-3.7446,0.68559,-9.3705e-05,0,1,0.15,5,0.15,0
-3.6375,0.7313,-9.9952e-05,0,1,0.16,5,0.16,0
-3.5304,0.77701,-0.0001062,0,1,0.17,5,0.17,0
-3.4233,0.82271,-0.00011245,0,1,0.18,5,0.18,0
-3.3162,0.86842,-0.00011869,0,1,0.19,5,0.19,0
-3.2091,0.91412,-0.00012494,0,1,0.2,5,0.2,0
-3.1019,0.95983,-0.00013119,0,1,0.21,5,0.21,0
-2.9948,1.0055,-0.00013743,0,1,0.22,5,0.22,0
-2.8877,1.0512,-0.00014368,0,1,0.23,5,0.23,0
-2.7806,1.0969,-0.00014993,0,1,0.24,5,0.24,0
-2.6735,1.1427,-0.00015618,0,1,0.25,5,0.25,0
-2.5667,1.1543,-0.00016125,0,1,0.26,5,0.26,0
-2.4599,1.1659,-0.00016632,0,1,0.27,5,0.27,0
-2.3531,1.1776,-0.00017139,0,1,0.28,5,0.28,0
-2.2464,1.1892,-0.00017646,0,1,0.29,5,0.29,0
-2.1396,1.2009,-0.00018154,0,1,0.3,5,0.3,0
-2.0328,1.2125,-0.00018661,0,1,0.31,5,0.31,0
-1.926,1.2242,-0.00019168,0,1,0.32,5,0.32,0
-1.8192,1.2358,-0.00019675,0,1,0.33,5,0.33,0
-1.7124,1.2475,-0.00020183,0,1,0.34,5,0.34,0
-1.6056,1.2591,-0.0002069,0,1,0.35,5,0.35,0
-1.4988,1.2708,-0.00021197,0,1,0.36,5,0.36,0
-1.392,1.2824,-0.00021704,0,1,0.37,5,0.37,0
-1.2852,1.294,-0.00022211,0,1,0.38,5,0.38,0
-1.1784,1.3057,-0.00022719,0,1,0.39,5,0.39,0
-1.0716,1.3173,-0.00023226,0,1,0.4,5,0.4,0
-0.96486,1.329,-0.00023733,0,1,0.41,5,0.41,0
-0.85806,1.3406,-0.0002424,0,1,0.42,5,0.42,0
-0.75127,1.3523,-0.00024747,0,1,0.43,5,0.43,0
-0.64448,1.3639,-0.00025255,0,1,0.44,5,0.44,0
-0.53769,1.3756,-0.00025762,0,1,0.45,5,0.45,0
-0.4309,1.3872,-0.00026269,0,1,0.46,5,0.46,0
-0.32411,1.3989,-0.00026776,0,1,0.47,5,0.47,0
-0.21731,1.4105,-0.00027284,0,1,0.48,5,0.48,0
-0.11052,1.4221,-0.00027791,0,1,0.49,5,0.49,0
-0.0037312,1.4338,-0.00028298,0,1,0.5,5,0.5,0
0.10471,1.4221,-0.0002665,0,1,0.51,5,0.51,0
0.21314,1.4104,-0.00025002,0,1,0.52,5,0.52,0
0.32158,1.3987,-0.00023355,0,1,0.53,5,0.53,0
0.43002,1.387,-0.00021707,0,1,0.54,5,0.54,0
0.53846,1.3753,-0.00020059,0,1,0.55,5,0.55,0
0.6469,1.3636,-0.00018411,0,1,0.56,5,0.56,0
0.75534,1.3519,-0.00016764,0,1,0.57,5,0.57,0
0.86377,1.3402,-0.00015116,0,1,0.58,5,0.58,0
0.97221,1.3285,-0.00013468,0,1,0.59,5,0.59,0
1.0806,1.3167,-0.0001182,0,1,0.6,5,0.6,0
1.1891,1.305,-0.00010173,0,1,0.61,5,0.61,0
1.2975,1.2933,-8.5248e-05,0,1,0.62,5,0.62,0
1.406,1.2816,-6.877e-05,0,1,0.63,5,0.63,0
1.5144,1.2699,-5.2292e-05,0,1,0.64,5,0.64,0
1.6228,1.2582,-3.5815e-05,0,1,0.65,5,0.65,0
1.7313,1.2465,-1.9337e-05,0,1,0.66,5,0.66,0
1.8397,1.2348,-2.8591e-06,0,1,0.67,5,0.67,0
1.9482,1.2231,1.3619e-05,0,1,0.68,5,0.68,0
2.0566,1.2114,3.0096e-05,0,1,0.69,5,0.69,0
2.165,1.1997,4.6574e-05,0,1,0.7,5,0.7,0
2.2735,1.188,6.3052e-05,0,1,0.71,5,0.71,0
2.3819,1.1763,7.9529e-05,0,1,0.72,5,0.72,0
2.4903,1.1646,9.6007e-05,0,1,0.73,5,0.73,0
2.5988,1.1529,0.00011248,0,1,0.74,5,0.74,0
2.7072,1.1412,0.00012896,0,1,0.75,5,0.75,0
2.8138,1.0955,0.0001238,0,1,0.76,5,0.76,0
2.9205,1.0499,0.00011865,0,1,0.77,5,0.77,0
3.0271,1.0042,0.00011349,0,1,0.78,5,0.78,0
3.1337,0.95859,0.00010833,0,1,0.79,5,0.79,0
3.2403,0.91295,0.00010317,0,1,0.8,5,0.8,0
3.3469,0.8673,9.8011e-05,0,1,0.81,5,0.81,0
3.4535,0.82165,9.2853e-05,0,1,0.82,5,0.82,0
3.5602,0.776,8.7695e-05,0,1,0.83,5,0.83,0
3.6668,0.73036,8.2536e-05,0,1,0.84,5,0.84,0
3.7734,0.68471,7.7377e-05,0,1,0.85,5,0.85,0
3.88,0.63906,7.2219e-05,0,1,0.86,5,0.86,0
3.9866,0.59341,6.706e-05,0,1,0.87,5,0.87,0
4.0932,0.54777,6.1902e-05,0,1,0.88,5,0.88,0
4.1999,0.50212,5.6744e-05,0,1,0.89,5,0.89,0
4.3065,0.45647,5.1585e-05,0,1,0.9,5,0.9,0
4.4131,0.41083,4.6426e-05,0,1,0.91,5,0.91,0
4.5197,0.36518,4.1268e-05,0,1,0.92,5,0.92,0
4.6263,0.31953,3.6109e-05,0,1,0.93,5,0.93,0
4.7329,0.27388,3.0951e-05,0,1,0.94,5,0.94,0
4.8396,0.22824,2.5793e-05,0,1,0.95,5,0.95,0
4.9462,0.18259,2.0634e-05,0,1,0.96,5,0.96,0
5.0528,0.13694,1.5475e-05,0,1,0.97,5,0.97,0
5.1594,0.091294,1.0317e-05,0,1,0.98,5,0.98,0
5.266,0.045647,5.1585e-06,0,1,0.99,5,0.99,0
5.3726,0,0,0,1,1,5,1,0
