"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.9725,0,0,0,-6.9725,0,1,0,8,0,0
-6.9552,0.0069577,7.1521e-05,0,-6.9552,8.6975e-06,1,0.001,8,0.001,0
-6.9379,0.0139,0.00013951,0,-6.9379,2.3886e-05,1,0.002,8,0.002,0
-6.9204,0.020826,0.00020397,0,-6.9204,4.5566e-05,1,0.003,8,0.003,0
-6.903,0.027737,0.0002649,0,-6.903,7.3737e-05,1,0.004,8,0.004,0
-6.8854,0.034633,0.0003223,0,-6.8854,0.0001084,1,0.005,8,0.005,0
-6.8678,0.041513,0.00037617,0,-6.8678,0.00014955,1,0.006,8,0.006,0
-6.8501,0.048377,0.0004265,0,-6.8501,0.0001972,1,0.007,8,0.007,0
-6.8323,0.055225,0.00047331,0,-6.8323,0.00025133,1,0.008,8,0.008,0
-6.8145,0.062059,0.00051659,0,-6.8145,0.00031196,1,0.009,8,0.009,0
-6.7966,0.068876,0.00055633,0,-6.7966,0.00037908,1,0.01,8,0.01,0
-6.7786,0.075678,0.00059255,0,-6.7786,0.00045268,1,0.011,8,0.011,0
-6.7606,0.082464,0.00062523,0,-6.7606,0.00053278,1,0.012,8,0.012,0
-6.7425,0.089235,0.00065439,0,-6.7425,0.00061937,1,0.013,8,0.013,0
-6.7243,0.09599,0.00068001,0,-6.7243,0.00071246,1,0.014,8,0.014,0
-6.706,0.10273,0.00070211,0,-6.706,0.00081203,1,0.015,8,0.015,0
-6.6877,0.10945,0.00072067,0,-6.6877,0.00091809,1,0.016,8,0.016,0
-6.6693,0.11616,0.0007357,0,-6.6693,0.0010306,1,0.017,8,0.017,0
-6.6509,0.12286,0.0007472,0,-6.6509,0.0011497,1,0.018,8,0.018,0
-6.6324,0.12953,0.00075517,0,-6.6324,0.0012752,1,0.019,8,0.019,0
-6.6138,0.13619,0.00075961,0,-6.6138,0.0014073,1,0.02,8,0.02,0
-6.5951,0.14284,0.00076052,0,-6.5951,0.0015458,1,0.021,8,0.021,0
-6.5764,0.14947,0.0007579,0,-6.5764,0.0016908,1,0.022,8,0.022,0
-6.5576,0.15609,0.00075175,0,-6.5576,0.0018423,1,0.023,8,0.023,0
-6.5388,0.16269,0.00074207,0,-6.5388,0.0020003,1,0.024,8,0.024,0
-6.5198,0.16927,0.00072886,0,-6.5198,0.0021648,1,0.025,8,0.025,0
-6.5008,0.17584,0.00071211,0,-6.5008,0.0023357,1,0.026,8,0.026,0
-6.4818,0.18239,0.00069184,0,-6.4818,0.0025132,1,0.027,8,0.027,0
-6.4626,0.18893,0.00066804,0,-6.4626,0.0026972,1,0.028,8,0.028,0
-6.4434,0.19545,0.0006407,0,-6.4434,0.0028876,1,0.029,8,0.029,0
-6.4242,0.20196,0.00060984,0,-6.4242,0.0030846,1,0.03,8,0.03,0
-6.4048,0.20845,0.00057544,0,-6.4048,0.003288,1,0.031,8,0.031,0
-6.3854,0.21492,0.00053752,0,-6.3854,0.0034979,1,0.032,8,0.032,0
-6.3659,0.22138,0.00049606,0,-6.3659,0.0037143,1,0.033,8,0.033,0
-6.3467,0.22783,0.00046606,0,-6.3467,0.0039374,1,0.034,8,0.034,0
-6.328,0.2343,0.00048839,0,-6.328,0.0041673,1,0.035,8,0.035,0
-6.3086,0.24077,0.00051033,0,-6.3086,0.0044038,1,0.036,8,0.036,0
-6.2885,0.24722,0.00053187,0,-6.2885,0.0046469,1,0.037,8,0.037,0
-6.2677,0.25366,0.00055303,0,-6.2677,0.0048964,1,0.038,8,0.038,0
-6.2462,0.2601,0.0005738,0,-6.2462,0.0051524,1,0.039,8,0.039,0
-6.224,0.26652,0.00059417,0,-6.224,0.005415,1,0.04,8,0.04,0
-6.2011,0.27294,0.00061416,0,-6.2011,0.0056841,1,0.041,8,0.041,0
-6.1774,0.27934,0.00063375,0,-6.1774,0.0059597,1,0.042,8,0.042,0
-6.1592,0.28515,0.00064513,0,-6.1592,0.0062418,1,0.043,8,0.043,0
-6.1418,0.2909,0.00065513,0,-6.1418,0.0065297,1,0.044,8,0.044,0
-6.1243,0.29665,0.00066469,0,-6.1243,0.0068233,1,0.045,8,0.045,0
-6.1068,0.30241,0.00067381,0,-6.1068,0.0071228,1,0.046,8,0.046,0
-6.0892,0.30816,0.0006825,0,-6.0892,0.007428,1,0.047,8,0.047,0
-6.0717,0.31392,0.00069075,0,-6.0717,0.0077389,1,0.048,8,0.048,0
-6.0541,0.31969,0.00069856,0,-6.0541,0.0080556,1,0.049,8,0.049,0
-6.0365,0.32546,0.00070594,0,-6.0365,0.0083781,1,0.05,8,0.05,0
-6.0189,0.33123,0.00071288,0,-6.0189,0.0087064,1,0.051,8,0.051,0
-6.0013,0.33701,0.00071938,0,-6.0013,0.0090404,1,0.052,8,0.052,0
-5.9837,0.34279,0.00072545,0,-5.9837,0.0093801,1,0.053,8,0.053,0
-5.966,0.34857,0.00073108,0,-5.966,0.0097257,1,0.054,8,0.054,0
-5.9483,0.35436,0.00073627,0,-5.9483,0.010077,1,0.055,8,0.055,0
-5.9306,0.36015,0.00074103,0,-5.9306,0.010434,1,0.056,8,0.056,0
-5.9129,0.36594,0.00074535,0,-5.9129,0.010797,1,0.057,8,0.057,0
-5.8952,0.37174,0.00074923,0,-5.8952,0.011165,1,0.058,8,0.058,0
-5.8774,0.37754,0.00075268,0,-5.8774,0.01154,1,0.059,8,0.059,0
-5.8596,0.38335,0.00075569,0,-5.8596,0.01192,1,0.06,8,0.06,0
-5.8418,0.38916,0.00075826,0,-5.8418,0.012306,1,0.061,8,0.061,0
