"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1523,0,0,0,-6.1523,0,1,0,15,0,0
-6.0192,0.060611,-0.00089322,0,-6.0192,0.0027495,1,0.01,15,0.01,0
-5.8862,0.12122,-0.0017864,0,-5.8862,0.0054989,1,0.02,15,0.02,0
-5.7531,0.18183,-0.0026797,0,-5.7531,0.0082484,1,0.03,15,0.03,0
-5.6146,0.24199,-0.0033131,0,-5.6146,0.011041,1,0.04,15,0.04,0
-5.4387,0.29913,-0.0022035,0,-5.4387,0.01412,1,0.05,15,0.05,0
-5.2629,0.35626,-0.0010939,0,-5.2629,0.017199,1,0.06,15,0.06,0
-5.0871,0.4134,1.5748e-05,0,-5.0871,0.020279,1,0.07,15,0.07,0
-4.9113,0.47053,0.0011254,0,-4.9113,0.023358,1,0.08,15,0.08,0
-4.7643,0.51977,0.0030951,0,-4.7643,0.028465,1,0.09,15,0.09,0
-4.6389,0.56305,0.0057121,0,-4.6389,0.035098,1,0.1,15,0.1,0
-4.5135,0.60634,0.0083292,0,-4.5135,0.041731,1,0.11,15,0.11,0
-4.3881,0.64963,0.010946,0,-4.3881,0.048364,1,0.12,15,0.12,0
-4.2627,0.69292,0.013563,0,-4.2627,0.054996,1,0.13,15,0.13,0
-4.1373,0.7362,0.01618,0,-4.1373,0.061629,1,0.14,15,0.14,0
-4.0119,0.77949,0.018797,0,-4.0119,0.068262,1,0.15,15,0.15,0
-3.8901,0.82249,0.020129,0,-3.8901,0.075085,1,0.16,15,0.16,0
-3.7851,0.86414,0.015465,0,-3.7851,0.082796,1,0.17,15,0.17,0
-3.6801,0.90578,0.010801,0,-3.6801,0.090506,1,0.18,15,0.18,0
-3.5642,0.93412,0.010329,0,-3.5642,0.10126,1,0.19,15,0.19,0
-3.4482,0.96238,0.0098807,0,-3.4482,0.11203,1,0.2,15,0.2,0
-3.3323,0.99065,0.0094325,0,-3.3323,0.12279,1,0.21,15,0.21,0
-3.2163,1.0189,0.0089842,0,-3.2163,0.13356,1,0.22,15,0.22,0
-3.1005,1.0472,0.0083075,0,-3.1005,0.14427,1,0.23,15,0.23,0
-2.9852,1.0758,0.0068409,0,-2.9852,0.1548,1,0.24,15,0.24,0
-2.8699,1.1043,0.0053744,0,-2.8699,0.16532,1,0.25,15,0.25,0
-2.7546,1.1329,0.0039079,0,-2.7546,0.17584,1,0.26,15,0.26,0
-2.6393,1.1614,0.0024413,0,-2.6393,0.18636,1,0.27,15,0.27,0
-2.524,1.1899,0.00097477,0,-2.524,0.19689,1,0.28,15,0.28,0
-2.4059,1.2176,-0.0015694,0,-2.4059,0.20832,1,0.29,15,0.29,0
-2.2858,1.2446,-0.0049503,0,-2.2858,0.22045,1,0.3,15,0.3,0
-2.1698,1.2643,-0.0053583,0,-2.1698,0.23362,1,0.31,15,0.31,0
-2.0551,1.2817,-0.004791,0,-2.0551,0.24714,1,0.32,15,0.32,0
-1.9404,1.2991,-0.0042236,0,-1.9404,0.26065,1,0.33,15,0.33,0
-1.8257,1.3164,-0.0036562,0,-1.8257,0.27416,1,0.34,15,0.34,0
-1.711,1.3338,-0.0030888,0,-1.711,0.28767,1,0.35,15,0.35,0
-1.5964,1.3512,-0.0025215,0,-1.5964,0.30118,1,0.36,15,0.36,0
-1.4816,1.3692,-0.0019559,0,-1.4816,0.31464,1,0.37,15,0.37,0
-1.3667,1.3875,-0.0013911,0,-1.3667,0.32807,1,0.38,15,0.38,0
-1.2519,1.4057,-0.00082632,0,-1.2519,0.3415,1,0.39,15,0.39,0
-1.1372,1.4223,-0.00035307,0,-1.1372,0.35509,1,0.4,15,0.4,0
-1.0233,1.4275,-0.00048232,0,-1.0233,0.36969,1,0.41,15,0.41,0
-0.9095,1.4327,-0.00061157,0,-0.9095,0.3843,1,0.42,15,0.42,0
-0.79564,1.4379,-0.00074082,0,-0.79564,0.39891,1,0.43,15,0.43,0
-0.68179,1.4431,-0.00087008,0,-0.68179,0.41352,1,0.44,15,0.44,0
-0.56794,1.4483,-0.00099933,0,-0.56794,0.42813,1,0.45,15,0.45,0
-0.45408,1.4535,-0.0011286,0,-0.45408,0.44273,1,0.46,15,0.46,0
