"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1706,0,0,0,-6.1706,0,1,0,8,0,0
-6.048,0.056367,0.0021467,0,-6.048,0.0013303,1,0.01,8,0.01,0
-5.9254,0.11273,0.0042935,0,-5.9254,0.0026607,1,0.02,8,0.02,0
-5.8028,0.1691,0.0064402,0,-5.8028,0.003991,1,0.03,8,0.03,0
-5.588,0.22743,0.0049389,0,-5.588,0.0053181,1,0.04,8,0.04,0
-5.4439,0.28088,0.0036777,0,-5.4439,0.008406,1,0.05,8,0.05,0
-5.3336,0.33271,0.0030736,0,-5.3336,0.011965,1,0.06,8,0.06,0
-5.2251,0.38462,0.0020829,0,-5.2251,0.015506,1,0.07,8,0.07,0
-5.1226,0.43682,-0.00029601,0,-5.1226,0.018986,1,0.08,8,0.08,0
-5.0125,0.48915,-0.0024537,0,-5.0125,0.022784,1,0.09,8,0.09,0
-4.8783,0.53493,-0.0032916,0,-4.8783,0.028544,1,0.1,8,0.1,0
-4.7495,0.57589,-0.0038651,0,-4.7495,0.034727,1,0.11,8,0.11,0
-4.6207,0.61684,-0.0044386,0,-4.6207,0.04091,1,0.12,8,0.12,0
-4.4919,0.6578,-0.0050121,0,-4.4919,0.047092,1,0.13,8,0.13,0
-4.3631,0.69875,-0.0055856,0,-4.3631,0.053275,1,0.14,8,0.14,0
-4.2345,0.74591,-0.0055189,0,-4.2345,0.060889,1,0.15,8,0.15,0
-4.106,0.79485,-0.0052778,0,-4.106,0.068901,1,0.16,8,0.16,0
-3.9774,0.84378,-0.0050366,0,-3.9774,0.076914,1,0.17,8,0.17,0
-3.8489,0.89271,-0.0047954,0,-3.8489,0.084926,1,0.18,8,0.18,0
-3.7257,0.92883,-0.0030225,0,-3.7257,0.094439,1,0.19,8,0.19,0
-3.604,0.9611,-0.00078784,0,-3.604,0.1044,1,0.2,8,0.2,0
-3.4824,0.99336,0.0014468,0,-3.4824,0.11437,1,0.21,8,0.21,0
-3.3608,1.0256,0.0036815,0,-3.3608,0.12433,1,0.22,8,0.22,0
-3.2396,1.0559,0.0037719,0,-3.2396,0.13454,1,0.23,8,0.23,0
-3.1185,1.0859,0.0035197,0,-3.1185,0.14479,1,0.24,8,0.24,0
-2.9978,1.1156,0.0029433,0,-2.9978,0.15566,1,0.25,8,0.25,0
-2.8777,1.1449,0.0018337,0,-2.8777,0.16755,1,0.26,8,0.26,0
-2.7576,1.1741,0.00072416,0,-2.7576,0.17944,1,0.27,8,0.27,0
-2.6375,1.2034,-0.00038541,0,-2.6375,0.19133,1,0.28,8,0.28,0
-2.5175,1.2326,-0.001495,0,-2.5175,0.20322,1,0.29,8,0.29,0
-2.3975,1.2617,-0.0023542,0,-2.3975,0.21516,1,0.3,8,0.3,0
-2.278,1.2835,-0.0023987,0,-2.278,0.22807,1,0.31,8,0.31,0
-2.1585,1.3019,-0.0031945,0,-2.1585,0.24143,1,0.32,8,0.32,0
-2.039,1.3202,-0.0033301,0,-2.039,0.25472,1,0.33,8,0.33,0
-1.9195,1.3385,-0.0034144,0,-1.9195,0.26801,1,0.34,8,0.34,0
-1.8,1.3567,-0.0034987,0,-1.8,0.2813,1,0.35,8,0.35,0
-1.6805,1.375,-0.003583,0,-1.6805,0.29459,1,0.36,8,0.36,0
-1.5609,1.3927,-0.0050973,0,-1.5609,0.30828,1,0.37,8,0.37,0
-1.4419,1.4058,-0.0043579,0,-1.4419,0.32252,1,0.38,8,0.38,0
-1.323,1.4177,-0.0028336,0,-1.323,0.33687,1,0.39,8,0.39,0
-1.204,1.4301,-0.0014828,0,-1.204,0.3512,1,0.4,8,0.4,0
-1.085,1.4431,-0.00029934,0,-1.085,0.36552,1,0.41,8,0.41,0
-0.96604,1.4561,0.00088407,0,-0.96604,0.37984,1,0.42,8,0.42,0
-0.847,1.4647,0.00093397,0,-0.847,0.39445,1,0.43,8,0.43,0
-0.72793,1.4715,0.00048247,0,-0.72793,0.4092,1,0.44,8,0.44,0
-0.60888,1.4782,-0.00013564,0,-0.60888,0.424,1,0.45,8,0.45,0
-0.48983,1.4848,-0.00075375,0,-0.48983,0.4388,1,0.46,8,0.46,0
-0.3708,1.4908,-0.0012912,0,-0.3708,0.45361,1,0.47,8,0.47,0
-0.25185,1.4918,-0.0012088,0,-0.25185,0.46856,1,0.48,8,0.48,0
-0.1329,1.4929,-0.0011265,0,-0.1329,0.48351,1,0.49,8,0.49,0
-0.013955,1.4939,-0.0010441,0,-0.013955,0.49846,1,0.5,8,0.5,0
0.10499,1.4949,-0.00096174,0,0.10499,0.51341,1,0.51,8,0.51,0
0.22396,1.4947,-0.00097502,0,0.22396,0.52835,1,0.52,8,0.52,0
0.34294,1.4896,-0.00085232,0,0.34294,0.54323,1,0.53,8,0.53,0
0.46191,1.4844,-0.00063841,0,0.46191,0.5581,1,0.54,8,0.54,0
0.58088,1.4793,-0.0004245,0,0.58088,0.57298,1,0.55,8,0.55,0
0.69985,1.4741,-0.00021058,0,0.69985,0.58785,1,0.56,8,0.56,0
0.81899,1.4646,-0.00071893,0,0.81899,0.60243,1,0.57,8,0.57,0
0.93815,1.4546,-0.001308,0,0.93815,0.61699,1,0.58,8,0.58,0
1.0573,1.4446,-0.001897,0,1.0573,0.63154,1,0.59,8,0.59,0
1.1764,1.4341,-0.001858,0,1.1764,0.64602,1,0.6,8,0.6,0
1.2955,1.4232,-0.0012001,0,1.2955,0.66042,1,0.61,8,0.61,0
1.4146,1.4087,-0.00069231,0,1.4146,0.67439,1,0.62,8,0.62,0
1.5338,1.3934,-0.00022201,0,1.5338,0.68826,1,0.63,8,0.63,0
1.653,1.3781,0.00024828,0,1.653,0.70212,1,0.64,8,0.64,0
1.7722,1.3627,0.00071857,0,1.7722,0.71598,1,0.65,8,0.65,0
1.8915,1.3468,0.0010974,0,1.8915,0.72977,1,0.66,8,0.66,0
2.0109,1.3265,0.00081544,0,2.0109,0.74305,1,0.67,8,0.67,0
2.1305,1.305,0.00034266,0,2.1305,0.75615,1,0.68,8,0.68,0
2.2502,1.2815,-0.00048937,0,2.2502,0.76893,1,0.69,8,0.69,0
2.37,1.258,-0.0013214,0,2.37,0.78171,1,0.7,8,0.7,0
2.4897,1.2345,-0.0021534,0,2.4897,0.79449,1,0.71,8,0.71,0
2.6095,1.21,-0.0027378,0,2.6095,0.80643,1,0.72,8,0.72,0
2.7293,1.1852,-0.003282,0,2.7293,0.81823,1,0.73,8,0.73,0
2.8491,1.1605,-0.0038262,0,2.8491,0.83002,1,0.74,8,0.74,0
2.9687,1.1329,-0.0029033,0,2.9687,0.84147,1,0.75,8,0.75,0
3.0882,1.1052,-0.0018791,0,3.0882,0.8529,1,0.76,8,0.76,0
3.2076,1.0706,-0.00081733,0,3.2076,0.86357,1,0.77,8,0.77,0
3.327,1.0314,0.00027056,0,3.327,0.87371,1,0.78,8,0.78,0
3.4463,0.99215,0.0013584,0,3.4463,0.88385,1,0.79,8,0.79,0
3.5657,0.95292,0.0024463,0,3.5657,0.89399,1,0.8,8,0.8,0
3.6852,0.91643,0.0017996,0,3.6852,0.90389,1,0.81,8,0.81,0
3.8035,0.8769,0.0017789,0,3.8035,0.91204,1,0.82,8,0.82,0
3.9217,0.83716,0.0018292,0,3.9217,0.92011,1,0.83,8,0.83,0
4.0403,0.79958,0.00082108,0,4.0403,0.92832,1,0.84,8,0.84,0
4.1589,0.76201,-0.00018704,0,4.1589,0.93652,1,0.85,8,0.85,0
4.2775,0.72443,-0.0011952,0,4.2775,0.94473,1,0.86,8,0.86,0
4.3954,0.68518,-0.0015347,0,4.3954,0.95262,1,0.87,8,0.87,0
