"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.9805,0,0,0,-8.9805,0,1,0,15,0,0
-8.641,0.08479,-0.0013294,0,-8.641,0.0039262,1,0.01,15,0.01,0
-8.3015,0.16958,-0.0026588,0,-8.3015,0.0078523,1,0.02,15,0.02,0
-7.9619,0.25437,-0.0039882,0,-7.9619,0.011778,1,0.03,15,0.03,0
-7.6102,0.33835,-0.0049236,0,-7.6102,0.015762,1,0.04,15,0.04,0
-7.1761,0.4169,-0.003215,0,-7.1761,0.020127,1,0.05,15,0.05,0
-6.742,0.49545,-0.0015065,0,-6.742,0.024492,1,0.06,15,0.06,0
-6.3079,0.574,0.0002021,0,-6.3079,0.028857,1,0.07,15,0.07,0
-5.8739,0.65255,0.0019106,0,-5.8739,0.033222,1,0.08,15,0.08,0
-5.4863,0.70864,0.0042854,0,-5.4863,0.039928,1,0.09,15,0.09,0
-5.1336,0.74784,0.0071616,0,-5.1336,0.048396,1,0.1,15,0.1,0
-4.781,0.78704,0.010038,0,-4.781,0.056864,1,0.11,15,0.11,0
-4.4283,0.82624,0.012914,0,-4.4283,0.065332,1,0.12,15,0.12,0
-4.0756,0.86544,0.01579,0,-4.0756,0.0738,1,0.13,15,0.13,0
-3.723,0.90464,0.018666,0,-3.723,0.082268,1,0.14,15,0.14,0
-3.3703,0.94384,0.021542,0,-3.3703,0.090736,1,0.15,15,0.15,0
-3.031,0.98219,0.022899,0,-3.031,0.099368,1,0.16,15,0.16,0
-2.7541,1.0166,0.017162,0,-2.7541,0.10877,1,0.17,15,0.17,0
-2.4771,1.051,0.011426,0,-2.4771,0.11817,1,0.18,15,0.18,0
-2.2918,1.0635,0.010832,0,-2.2918,0.12962,1,0.19,15,0.19,0
-2.107,1.0759,0.010266,0,-2.107,0.14109,1,0.2,15,0.2,0
-1.9222,1.0884,0.0096998,0,-1.9222,0.15255,1,0.21,15,0.21,0
-1.7375,1.1008,0.0091339,0,-1.7375,0.16402,1,0.22,15,0.22,0
-1.5507,1.1137,0.0082868,0,-1.5507,0.17545,1,0.23,15,0.23,0
-1.3574,1.1283,0.0064681,0,-1.3574,0.1868,1,0.24,15,0.24,0
-1.164,1.1429,0.0046493,0,-1.164,0.19815,1,0.25,15,0.25,0
-0.97063,1.1575,0.0028305,0,-0.97063,0.2095,1,0.26,15,0.26,0
-0.77726,1.1721,0.0010117,0,-0.77726,0.22086,1,0.27,15,0.27,0
-0.58389,1.1867,-0.00080709,0,-0.58389,0.23221,1,0.28,15,0.28,0
-0.43164,1.1964,-0.0029929,0,-0.43164,0.24389,1,0.29,15,0.29,0
-0.31132,1.2023,-0.0054636,0,-0.31132,0.25585,1,0.3,15,0.3,0
-0.25736,1.2052,-0.0055754,0,-0.25736,0.26798,1,0.31,15,0.31,0
-0.22516,1.207,-0.0049132,0,-0.22516,0.28016,1,0.32,15,0.32,0
-0.19296,1.2088,-0.004251,0,-0.19296,0.29235,1,0.33,15,0.33,0
-0.16077,1.2107,-0.0035887,0,-0.16077,0.30454,1,0.34,15,0.34,0
-0.12857,1.2125,-0.0029265,0,-0.12857,0.31672,1,0.35,15,0.35,0
-0.096374,1.2144,-0.0022643,0,-0.096374,0.32891,1,0.36,15,0.36,0
-0.061546,1.2165,-0.0015627,0,-0.061546,0.34109,1,0.37,15,0.37,0
-0.025603,1.2187,-0.0008444,0,-0.025603,0.35328,1,0.38,15,0.38,0
0.01034,1.2209,-0.00012608,0,0.01034,0.36546,1,0.39,15,0.39,0
0.04057,1.2228,0.0004931,0,0.04057,0.37765,1,0.4,15,0.4,0
0.033201,1.2226,0.00045968,0,0.033201,0.38986,1,0.41,15,0.41,0
0.025831,1.2225,0.00042626,0,0.025831,0.40207,1,0.42,15,0.42,0
0.018461,1.2223,0.00039283,0,0.018461,0.41428,1,0.43,15,0.43,0
0.011092,1.2222,0.00035941,0,0.011092,0.42649,1,0.44,15,0.44,0
0.003722,1.2221,0.00032599,0,0.003722,0.4387,1,0.45,15,0.45,0
-0.0036477,1.2219,0.00029257,0,-0.0036477,0.45091,1,0.46,15,0.46,0
-0.011017,1.2218,0.00025915,0,-0.011017,0.46312,1,0.47,15,0.47,0
-0.017904,1.2216,0.00018075,0,-0.017904,0.47533,1,0.48,15,0.48,0
-0.024786,1.2215,0.00010192,0,-0.024786,0.48754,1,0.49,15,0.49,0
-0.031667,1.2214,2.3092e-05,0,-0.031667,0.49975,1,0.5,15,0.5,0
-0.037064,1.2213,3.2204e-05,0,-0.037064,0.51196,1,0.51,15,0.51,0
-0.034846,1.2217,8.094e-05,0,-0.034846,0.52419,1,0.52,15,0.52,0
-0.030681,1.2221,0.00010626,0,-0.030681,0.53643,1,0.53,15,0.53,0
-0.026517,1.2225,0.00013158,0,-0.026517,0.54867,1,0.54,15,0.54,0
-0.022352,1.2229,0.0001569,0,-0.022352,0.56091,1,0.55,15,0.55,0
-0.018187,1.2233,0.00018221,0,-0.018187,0.57315,1,0.56,15,0.56,0
-0.014022,1.2238,0.00020753,0,-0.014022,0.58539,1,0.57,15,0.57,0
-0.0098572,1.2242,0.00023285,0,-0.0098572,0.59763,1,0.58,15,0.58,0
-0.0056924,1.2246,0.00025817,0,-0.0056924,0.60987,1,0.59,15,0.59,0
-0.0015276,1.225,0.00028349,0,-0.0015276,0.62211,1,0.6,15,0.6,0
0.0026373,1.2254,0.00030881,0,0.0026373,0.63435,1,0.61,15,0.61,0
0.0068021,1.2258,0.00033413,0,0.0068021,0.64658,1,0.62,15,0.62,0
0.011945,1.226,0.00059022,0,0.011945,0.65881,1,0.63,15,0.63,0
0.017989,1.2259,0.0010591,0,0.017989,0.67104,1,0.64,15,0.64,0
0.067344,1.2231,0.0010774,0,0.067344,0.6832,1,0.65,15,0.65,0
0.15395,1.218,0.00070811,0,0.15395,0.69533,1,0.66,15,0.66,0
0.24216,1.2126,0.00037247,0,0.24216,0.70743,1,0.67,15,0.67,0
0.33697,1.2063,0.00017549,0,0.33697,0.71946,1,0.68,15,0.68,0
0.43177,1.2001,-2.1496e-05,0,0.43177,0.73149,1,0.69,15,0.69,0
0.52657,1.1938,-0.00021848,0,0.52657,0.74352,1,0.7,15,0.7,0
0.62138,1.1875,-0.00041546,0,0.62138,0.75555,1,0.71,15,0.71,0
0.71618,1.1812,-0.00061245,0,0.71618,0.76758,1,0.72,15,0.72,0
0.81098,1.1749,-0.00080943,0,0.81098,0.77961,1,0.73,15,0.73,0
0.90579,1.1686,-0.0010064,0,0.90579,0.79164,1,0.74,15,0.74,0
1.0006,1.1623,-0.0012034,0,1.0006,0.80367,1,0.75,15,0.75,0
1.1952,1.1475,-0.0014305,0,1.1952,0.81482,1,0.76,15,0.76,0
1.4271,1.1294,-0.0016689,0,1.4271,0.82564,1,0.77,15,0.77,0
1.6591,1.1114,-0.0019073,0,1.6591,0.83646,1,0.78,15,0.78,0
1.891,1.0933,-0.0021457,0,1.891,0.84728,1,0.79,15,0.79,0
2.123,1.0753,-0.0023841,0,2.123,0.85809,1,0.8,15,0.8,0
2.366,1.0539,-0.0028102,0,2.366,0.86875,1,0.81,15,0.81,0
2.6106,1.0321,-0.0032642,0,2.6106,0.87938,1,0.82,15,0.82,0
2.8553,1.0102,-0.0037183,0,2.8553,0.89,1,0.83,15,0.83,0
3.0999,0.98841,-0.0041723,0,3.0999,0.90063,1,0.84,15,0.84,0
3.3741,0.95985,-0.0045427,0,3.3741,0.91049,1,0.85,15,0.85,0
3.7088,0.91747,-0.0047412,0,3.7088,0.91875,1,0.86,15,0.86,0
4.0435,0.87509,-0.0049396,0,4.0435,0.92702,1,0.87,15,0.87,0
4.3782,0.83271,-0.0051381,0,4.3782,0.93529,1,0.88,15,0.88,0
4.7129,0.79033,-0.0053365,0,4.7129,0.94355,1,0.89,15,0.89,0
5.0477,0.74795,-0.005535,0,5.0477,0.95182,1,0.9,15,0.9,0
5.3817,0.69781,-0.0055147,0,5.3817,0.95924,1,0.91,15,0.91,0
5.7135,0.62361,-0.0048165,0,5.7135,0.964,1,0.92,15,0.92,0
6.0453,0.54942,-0.0041184,0,6.0453,0.96877,1,0.93,15,0.93,0
6.3771,0.47523,-0.0034202,0,6.3771,0.97354,1,0.94,15,0.94,0
6.7089,0.40104,-0.002722,0,6.7089,0.97831,1,0.95,15,0.95,0
7.0407,0.32684,-0.0020238,0,7.0407,0.98308,1,0.96,15,0.96,0
7.3696,0.25103,-0.0013672,0,7.3696,0.98773,1,0.97,15,0.97,0
7.6844,0.16735,-0.00091144,0,7.6844,0.99182,1,0.98,15,0.98,0
7.9991,0.083676,-0.00045572,0,7.9991,0.99591,1,0.99,15,0.99,0
8.3139,0,0,0,8.3139,1,1,1,15,1,0
