"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.1205,0,0,0,-8.1205,0,1,0,5,0,0
-7.8415,0.082278,0.0067995,0,-7.8415,0.0020696,1,0.01,5,0.01,0
-7.5625,0.16456,0.013599,0,-7.5625,0.0041393,1,0.02,5,0.02,0
-7.2836,0.24684,0.020399,0,-7.2836,0.0062089,1,0.03,5,0.03,0
-7.0681,0.32599,0.025243,0,-7.0681,0.0084561,1,0.04,5,0.04,0
-7.0068,0.39699,0.024976,0,-7.0068,0.01122,1,0.05,5,0.05,0
-6.7099,0.45694,0.017881,0,-6.7099,0.016582,1,0.06,5,0.06,0
-6.4131,0.51689,0.010786,0,-6.4131,0.021944,1,0.07,5,0.07,0
-6.1163,0.57685,0.0036904,0,-6.1163,0.027305,1,0.08,5,0.08,0
-5.8195,0.6368,-0.0034047,0,-5.8195,0.032667,1,0.09,5,0.09,0
-5.5071,0.69834,-0.0081224,0,-5.5071,0.038352,1,0.1,5,0.1,0
-5.1445,0.76112,-0.0050942,0,-5.1445,0.045591,1,0.11,5,0.11,0
-4.8092,0.80451,-0.005854,0,-4.8092,0.054463,1,0.12,5,0.12,0
-4.4742,0.84807,-0.0063957,0,-4.4742,0.063326,1,0.13,5,0.13,0
-4.1415,0.89343,-0.0045539,0,-4.1415,0.072073,1,0.14,5,0.14,0
-3.8089,0.9388,-0.0027121,0,-3.8089,0.08082,1,0.15,5,0.15,0
-3.4763,0.98417,-0.00087029,0,-3.4763,0.089568,1,0.16,5,0.16,0
-3.1899,1.0133,-0.00093912,0,-3.1899,0.099817,1,0.17,5,0.17,0
-2.9165,1.0379,-0.0015482,0,-2.9165,0.11049,1,0.18,5,0.18,0
-2.6502,1.0617,-0.00094142,0,-2.6502,0.12123,1,0.19,5,0.19,0
-2.385,1.0854,-0.000153,0,-2.385,0.13199,1,0.2,5,0.2,0
-2.1197,1.1091,0.00063541,0,-2.1197,0.14274,1,0.21,5,0.21,0
-1.8544,1.1327,0.0014238,0,-1.8544,0.1535,1,0.22,5,0.22,0
-1.6599,1.1492,0.0012379,0,-1.6599,0.16514,1,0.23,5,0.23,0
-1.4761,1.1646,0.00090213,0,-1.4761,0.17691,1,0.24,5,0.24,0
-1.2924,1.18,0.00056637,0,-1.2924,0.18869,1,0.25,5,0.25,0
-1.1087,1.1954,0.00023062,0,-1.1087,0.20047,1,0.26,5,0.26,0
-0.93618,1.2094,-8.6808e-05,0,-0.93618,0.21232,1,0.27,5,0.27,0
