"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-17.389,0,0,0,-17.389,0,1,0,15,0,0
-15.492,0.1484,-0.0030154,0,-15.492,0.0079472,1,0.01,15,0.01,0
-13.595,0.2968,-0.0060308,0,-13.595,0.015894,1,0.02,15,0.02,0
-11.699,0.44521,-0.0090463,0,-11.699,0.023841,1,0.03,15,0.03,0
-9.797,0.59119,-0.011493,0,-9.797,0.031834,1,0.04,15,0.04,0
-7.8625,0.72099,-0.010127,0,-7.8625,0.040134,1,0.05,15,0.05,0
-5.9281,0.85078,-0.0087598,0,-5.9281,0.048433,1,0.06,15,0.06,0
-3.9936,0.98057,-0.0073931,0,-3.9936,0.056733,1,0.07,15,0.07,0
-2.0591,1.1104,-0.0060264,0,-2.0591,0.065033,1,0.08,15,0.08,0
-1.112,1.1567,-0.0035906,0,-1.112,0.074643,1,0.09,15,0.09,0
-0.90775,1.1401,-0.00035037,0,-0.90775,0.08524,1,0.1,15,0.1,0
-0.70351,1.1236,0.0028899,0,-0.70351,0.095837,1,0.11,15,0.11,0
-0.49928,1.107,0.0061301,0,-0.49928,0.10643,1,0.12,15,0.12,0
-0.29505,1.0905,0.0093704,0,-0.29505,0.11703,1,0.13,15,0.13,0
-0.090818,1.074,0.012611,0,-0.090818,0.12763,1,0.14,15,0.14,0
0.11341,1.0574,0.015851,0,0.11341,0.13822,1,0.15,15,0.15,0
0.29677,1.0401,0.017621,0,0.29677,0.14884,1,0.16,15,0.16,0
0.38267,1.0192,0.012531,0,0.38267,0.15956,1,0.17,15,0.17,0
0.46858,0.9983,0.0074404,0,0.46858,0.17027,1,0.18,15,0.18,0
0.39586,1.0019,0.0084157,0,0.39586,0.18057,1,0.19,15,0.19,0
0.32226,1.0056,0.0094248,0,0.32226,0.19087,1,0.2,15,0.2,0
0.24866,1.0094,0.010434,0,0.24866,0.20116,1,0.21,15,0.21,0
0.17506,1.0131,0.011443,0,0.17506,0.21146,1,0.22,15,0.22,0
0.10777,1.0169,0.012,0,0.10777,0.22176,1,0.23,15,0.23,0
0.062271,1.021,0.010996,0,0.062271,0.2321,1,0.24,15,0.24,0
0.016773,1.025,0.0099911,0,0.016773,0.24243,1,0.25,15,0.25,0
-0.028724,1.0291,0.0089866,0,-0.028724,0.25277,1,0.26,15,0.26,0
