"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-15.405,0,0,0,-15.405,0,1,0,5,0,0
-14.366,0.13904,-0.0019829,0,-14.366,0.0031512,1,0.01,5,0.01,0
-13.327,0.27808,-0.0039658,0,-13.327,0.0063024,1,0.02,5,0.02,0
-12.288,0.41712,-0.0059487,0,-12.288,0.0094537,1,0.03,5,0.03,0
-11.249,0.55616,-0.0079316,0,-11.249,0.012605,1,0.04,5,0.04,0
-9.8941,0.6564,-0.01273,0,-9.8941,0.019191,1,0.05,5,0.05,0
-8.4945,0.73739,-0.014367,0,-8.4945,0.027054,1,0.06,5,0.06,0
-7.0999,0.81549,-0.015044,0,-7.0999,0.035063,1,0.07,5,0.07,0
-5.7054,0.89359,-0.015721,0,-5.7054,0.043072,1,0.08,5,0.08,0
-4.5377,0.95098,-0.013386,0,-4.5377,0.052187,1,0.09,5,0.09,0
-3.5377,0.99307,-0.0088222,0,-3.5377,0.062121,1,0.1,5,0.1,0
-2.6271,1.0309,-0.0048552,0,-2.6271,0.072183,1,0.11,5,0.11,0
-1.9138,1.0572,-0.0028876,0,-1.9138,0.082539,1,0.12,5,0.12,0
-1.4486,1.0679,-0.0038757,0,-1.4486,0.093275,1,0.13,5,0.13,0
-0.98337,1.0785,-0.0048638,0,-0.98337,0.10401,1,0.14,5,0.14,0
-0.52779,1.089,-0.0058358,0,-0.52779,0.11475,1,0.15,5,0.15,0
-0.28082,1.0952,-0.0057342,0,-0.28082,0.12564,1,0.16,5,0.16,0
-0.20813,1.097,-0.0047235,0,-0.20813,0.13663,1,0.17,5,0.17,0
-0.13482,1.0986,-0.0040871,0,-0.13482,0.14763,1,0.18,5,0.18,0
-0.061518,1.1002,-0.0034507,0,-0.061518,0.15863,1,0.19,5,0.19,0
-0.0018823,1.1014,-0.002989,0,-0.0018823,0.16963,1,0.2,5,0.2,0
0.012031,1.1015,-0.0031122,0,0.012031,0.18063,1,0.21,5,0.21,0
0.021709,1.1015,-0.0031399,0,0.021709,0.19164,1,0.22,5,0.22,0
0.015871,1.1015,-0.0028177,0,0.015871,0.20265,1,0.23,5,0.23,0
0.010034,1.1014,-0.0024956,0,0.010034,0.21367,1,0.24,5,0.24,0
0.0048254,1.1014,-0.0021679,0,0.0048254,0.22468,1,0.25,5,0.25,0
0.0012179,1.1014,-0.0018261,0,0.0012179,0.23568,1,0.26,5,0.26,0
9.7611e-05,1.1011,-0.0016771,0,9.7611e-05,0.24669,1,0.27,5,0.27,0
-0.00037046,1.1007,-0.0015446,0,-0.00037046,0.2577,1,0.28,5,0.28,0
-0.00078688,1.1004,-0.0013991,0,-0.00078688,0.26871,1,0.29,5,0.29,0
-0.00077031,1.1007,-0.0012625,0,-0.00077031,0.27972,1,0.3,5,0.3,0
-0.0006563,1.1012,-0.0011355,0,-0.0006563,0.29073,1,0.31,5,0.31,0
-0.00058778,1.1016,-0.0010409,0,-0.00058778,0.30174,1,0.32,5,0.32,0
-0.00051721,1.102,-0.00094907,0,-0.00051721,0.31275,1,0.33,5,0.33,0
-0.000431,1.1017,-0.00087831,0,-0.000431,0.32376,1,0.34,5,0.34,0
-0.00034506,1.1015,-0.00080755,0,-0.00034506,0.33477,1,0.35,5,0.35,0
-0.0002818,1.1015,-0.00073683,0,-0.0002818,0.34578,1,0.36,5,0.36,0
-0.00021854,1.1016,-0.00066611,0,-0.00021854,0.35679,1,0.37,5,0.37,0
-0.00015707,1.1017,-0.00059933,0,-0.00015707,0.36781,1,0.38,5,0.38,0
-0.00010047,1.1019,-0.00054325,0,-0.00010047,0.37882,1,0.39,5,0.39,0
-7.6514e-05,1.1015,-0.00050202,0,-7.6514e-05,0.38983,1,0.4,5,0.4,0
-5.0492e-05,1.1012,-0.00045752,0,-5.0492e-05,0.40084,1,0.41,5,0.41,0
-2.3646e-05,1.1009,-0.00041209,0,-2.3646e-05,0.41185,1,0.42,5,0.42,0
-6.8624e-06,1.1009,-0.00036731,0,-6.8624e-06,0.42287,1,0.43,5,0.43,0
-6.1566e-07,1.1011,-0.00032319,0,-6.1566e-07,0.43388,1,0.44,5,0.44,0
2.5824e-07,1.1011,-0.0002834,0,2.5824e-07,0.44489,1,0.45,5,0.45,0
5.8471e-07,1.1011,-0.00024509,0,5.8471e-07,0.4559,1,0.46,5,0.46,0
4.4709e-07,1.1011,-0.00021056,0,4.4709e-07,0.46691,1,0.47,5,0.47,0
3.008e-07,1.1011,-0.00017535,0,3.008e-07,0.47793,1,0.48,5,0.48,0
1.0104e-07,1.101,-0.0001359,0,1.0104e-07,0.48894,1,0.49,5,0.49,0
3.17e-08,1.1008,-0.00010614,0,3.17e-08,0.49995,1,0.5,5,0.5,0
-3.7642e-08,1.1005,-7.6384e-05,0,-3.7642e-08,0.51097,1,0.51,5,0.51,0
-1.4317e-07,1.1006,-4.0917e-05,0,-1.4317e-07,0.52198,1,0.52,5,0.52,0
-2.7382e-07,1.1011,-1.4216e-06,0,-2.7382e-07,0.53299,1,0.53,5,0.53,0
-4.0448e-07,1.1015,3.8074e-05,0,-4.0448e-07,0.54401,1,0.54,5,0.54,0
-4.2749e-07,1.1015,7.2136e-05,0,-4.2749e-07,0.55502,1,0.55,5,0.55,0
2.3846e-07,1.1014,0.00010317,0,2.3846e-07,0.56603,1,0.56,5,0.56,0
1.0453e-06,1.1013,0.00013375,0,1.0453e-06,0.57704,1,0.57,5,0.57,0
2.6431e-06,1.1012,0.00016459,0,2.6431e-06,0.58806,1,0.58,5,0.58,0
6.1471e-06,1.1009,0.0001962,0,6.1471e-06,0.59907,1,0.59,5,0.59,0
1.2937e-05,1.1008,0.00023303,0,1.2937e-05,0.61008,1,0.6,5,0.6,0
2.2979e-05,1.1009,0.00027283,0,2.2979e-05,0.6211,1,0.61,5,0.61,0
3.965e-05,1.1013,0.0003187,0,3.965e-05,0.63211,1,0.62,5,0.62,0
5.788e-05,1.1015,0.00036023,0,5.788e-05,0.64312,1,0.63,5,0.63,0
7.8042e-05,1.1016,0.00039638,0,7.8042e-05,0.65413,1,0.64,5,0.64,0
0.00012752,1.1013,0.00046469,0,0.00012752,0.66514,1,0.65,5,0.65,0
0.00018423,1.101,0.00054093,0,0.00018423,0.67616,1,0.66,5,0.66,0
0.00026418,1.1007,0.00061846,0,0.00026418,0.68717,1,0.67,5,0.67,0
0.00045437,1.1009,0.00069562,0,0.00045437,0.69818,1,0.68,5,0.68,0
0.00063703,1.1011,0.00076074,0,0.00063703,0.70919,1,0.69,5,0.69,0
0.00080353,1.1013,0.00083894,0,0.00080353,0.7202,1,0.7,5,0.7,0
0.00089663,1.1012,0.00097654,0,0.00089663,0.73122,1,0.71,5,0.71,0
0.00098972,1.101,0.0011141,0,0.00098972,0.74223,1,0.72,5,0.72,0
0.00023357,1.1009,0.0012703,0,0.00023357,0.75324,1,0.73,5,0.73,0
-0.0027266,1.1009,0.0014746,0,-0.0027266,0.76425,1,0.74,5,0.74,0
-0.0056868,1.1009,0.0016789,0,-0.0056868,0.77526,1,0.75,5,0.75,0
-0.0086469,1.1008,0.0018832,0,-0.0086469,0.78627,1,0.76,5,0.76,0
-0.015751,1.1012,0.0021026,0,-0.015751,0.79728,1,0.77,5,0.77,0
-0.01783,1.1014,0.0021985,0,-0.01783,0.80829,1,0.78,5,0.78,0
-0.018146,1.1016,0.0022541,0,-0.018146,0.8193,1,0.79,5,0.79,0
0.0014399,1.1013,0.0026269,0,0.0014399,0.83031,1,0.8,5,0.8,0
0.0582,1.1003,0.0035926,0,0.0582,0.84132,1,0.81,5,0.81,0
0.11496,1.0993,0.0045582,0,0.11496,0.85232,1,0.82,5,0.82,0
0.17181,1.0983,0.0055209,0,0.17181,0.86333,1,0.83,5,0.83,0
0.23271,1.0971,0.0063446,0,0.23271,0.87432,1,0.84,5,0.84,0
0.55652,1.0892,0.0057403,0,0.55652,0.88516,1,0.85,5,0.85,0
1.0015,1.0784,0.0042162,0,1.0015,0.89593,1,0.86,5,0.86,0
1.4474,1.0676,0.0026845,0,1.4474,0.9067,1,0.87,5,0.87,0
1.8934,1.0567,0.0011527,0,1.8934,0.91747,1,0.88,5,0.88,0
2.6544,1.0271,0.0041965,0,2.6544,0.92776,1,0.89,5,0.89,0
3.5598,0.9903,0.0088431,0,3.5598,0.93785,1,0.9,5,0.9,0
4.5827,0.95043,0.013744,0,4.5827,0.94777,1,0.91,5,0.91,0
5.7446,0.89544,0.01663,0,5.7446,0.95695,1,0.92,5,0.92,0
7.1232,0.81692,0.016378,0,7.1232,0.96495,1,0.93,5,0.93,0
8.5017,0.7384,0.016127,0,8.5017,0.97295,1,0.94,5,0.94,0
9.8843,0.65766,0.015097,0,9.8843,0.98084,1,0.95,5,0.95,0
11.236,0.55526,0.0093485,0,11.236,0.98743,1,0.96,5,0.96,0
12.255,0.41645,0.0070114,0,12.255,0.99057,1,0.97,5,0.97,0
13.275,0.27763,0.0046743,0,13.275,0.99371,1,0.98,5,0.98,0
14.294,0.13882,0.0023371,0,14.294,0.99686,1,0.99,5,0.99,0
15.313,0,0,0,15.313,1,1,1,5,1,0
