"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-15.163,0,0,0,1,0,5,0,0
-13.922,0.1412,0.0122,0,1,0.01,5,0.01,0
-12.682,0.28241,0.024399,0,1,0.02,5,0.02,0
-11.441,0.42361,0.036599,0,1,0.03,5,0.03,0
-10.295,0.55735,0.045552,0,1,0.04,5,0.04,0
-9.3837,0.67085,0.04605,0,1,0.05,5,0.05,0
-8.2246,0.7313,0.036436,0,1,0.06,5,0.06,0
-7.0654,0.79174,0.026821,0,1,0.07,5,0.07,0
-5.9062,0.85219,0.017207,0,1,0.08,5,0.08,0
-4.747,0.91264,0.0075928,0,1,0.09,5,0.09,0
-3.6183,0.97236,0.0012184,0,1,0.1,5,0.1,0
-2.7107,1.021,0.0055787,0,1,0.11,5,0.11,0
-2.2806,1.0334,0.0055479,0,1,0.12,5,0.12,0
-1.8456,1.0461,0.0056355,0,1,0.13,5,0.13,0
-1.3577,1.0624,0.0070167,0,1,0.14,5,0.14,0
-0.86977,1.0787,0.008398,0,1,0.15,5,0.15,0
-0.38184,1.0949,0.0097792,0,1,0.16,5,0.16,0
-0.22972,1.0991,0.0094893,0,1,0.17,5,0.17,0
-0.17255,1.0999,0.0087268,0,1,0.18,5,0.18,0
-0.12733,1.1009,0.0082382,0,1,0.19,5,0.19,0
-0.08389,1.102,0.0077904,0,1,0.2,5,0.2,0
-0.040455,1.1031,0.0073427,0,1,0.21,5,0.21,0
0.0029803,1.1041,0.0068949,0,1,0.22,5,0.22,0
0.0068653,1.1042,0.0064447,0,1,0.23,5,0.23,0
0.004669,1.1042,0.005994,0,1,0.24,5,0.24,0
0.0024728,1.1041,0.0055433,0,1,0.25,5,0.25,0
0.00027652,1.1041,0.0050926,0,1,0.26,5,0.26,0
-0.0014541,1.104,0.0046523,0,1,0.27,5,0.27,0
-0.0014377,1.104,0.0042312,0,1,0.28,5,0.28,0
-0.0014214,1.1039,0.0038101,0,1,0.29,5,0.29,0
-0.0014051,1.1039,0.003389,0,1,0.3,5,0.3,0
-0.0013887,1.1039,0.0029679,0,1,0.31,5,0.31,0
-0.0013192,1.1039,0.0027116,0,1,0.32,5,0.32,0
-0.00123,1.1039,0.0025165,0,1,0.33,5,0.33,0
-0.0011407,1.1039,0.0023215,0,1,0.34,5,0.34,0
-0.0010514,1.104,0.0021264,0,1,0.35,5,0.35,0
-0.00086007,1.104,0.0019279,0,1,0.36,5,0.36,0
-0.00073054,1.1041,0.0018167,0,1,0.37,5,0.37,0
-0.00061372,1.104,0.0017325,0,1,0.38,5,0.38,0
-0.0004969,1.104,0.0016483,0,1,0.39,5,0.39,0
-0.00038008,1.104,0.0015642,0,1,0.4,5,0.4,0
-0.00026327,1.104,0.00148,0,1,0.41,5,0.41,0
-0.00018226,1.104,0.0014117,0,1,0.42,5,0.42,0
-0.00011862,1.1039,0.0013507,0,1,0.43,5,0.43,0
-9.1182e-05,1.1039,0.0012901,0,1,0.44,5,0.44,0
-6.3744e-05,1.1039,0.0012295,0,1,0.45,5,0.45,0
-3.6305e-05,1.1039,0.0011689,0,1,0.46,5,0.46,0
-1.0619e-05,1.1038,0.0011163,0,1,0.47,5,0.47,0
3.3992e-06,1.1038,0.0011174,0,1,0.48,5,0.48,0
1.7417e-05,1.1038,0.0011185,0,1,0.49,5,0.49,0
3.1435e-05,1.1038,0.0011196,0,1,0.5,5,0.5,0
4.5453e-05,1.1038,0.0011207,0,1,0.51,5,0.51,0
5.372e-05,1.1038,0.0011152,0,1,0.52,5,0.52,0
7.3896e-05,1.1038,0.001154,0,1,0.53,5,0.53,0
9.9309e-05,1.1038,0.0011976,0,1,0.54,5,0.54,0
0.00012472,1.1038,0.0012411,0,1,0.55,5,0.55,0
0.00015013,1.1038,0.0012847,0,1,0.56,5,0.56,0
0.00017555,1.1038,0.0013283,0,1,0.57,5,0.57,0
0.00020096,1.1038,0.0013719,0,1,0.58,5,0.58,0
0.00018701,1.1038,0.0014562,0,1,0.59,5,0.59,0
0.00015805,1.1037,0.001556,0,1,0.6,5,0.6,0
0.00012744,1.1037,0.0016576,0,1,0.61,5,0.61,0
8.9914e-05,1.1038,0.0017668,0,1,0.62,5,0.62,0
5.2386e-05,1.1039,0.0018761,0,1,0.63,5,0.63,0
1.4858e-05,1.104,0.0019853,0,1,0.64,5,0.64,0
-0.0001214,1.1041,0.0021181,0,1,0.65,5,0.65,0
-0.0004269,1.1041,0.0022913,0,1,0.66,5,0.66,0
-0.0007324,1.1042,0.0024646,0,1,0.67,5,0.67,0
-0.0015546,1.1041,0.0027311,0,1,0.68,5,0.68,0
-0.0028409,1.104,0.0030813,0,1,0.69,5,0.69,0
-0.0038253,1.104,0.0034111,0,1,0.7,5,0.7,0
-0.0043372,1.1042,0.003709,0,1,0.71,5,0.71,0
-0.00561,1.1044,0.0040059,0,1,0.72,5,0.72,0
-0.0082166,1.1044,0.0043013,0,1,0.73,5,0.73,0
-0.010823,1.1044,0.0045966,0,1,0.74,5,0.74,0
-0.00792,1.1045,0.0051678,0,1,0.75,5,0.75,0
-0.0011981,1.1046,0.0059301,0,1,0.76,5,0.76,0
0.0055239,1.1048,0.0066924,0,1,0.77,5,0.77,0
0.012246,1.105,0.0074547,0,1,0.78,5,0.78,0
0.022913,1.1049,0.0081553,0,1,0.79,5,0.79,0
0.04381,1.1046,0.0087148,0,1,0.8,5,0.8,0
0.11494,1.1031,0.0085934,0,1,0.81,5,0.81,0
0.18607,1.1016,0.008472,0,1,0.82,5,0.82,0
