"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.86038,0,0,0,0.86038,0,1,0,0.5,0,0
0.7759,-0.0070638,-2.2921e-05,0,0.7759,-7.0141e-05,1,0.01,0.5,0.01,0
0.69141,-0.014128,-4.5842e-05,0,0.69141,-0.00014028,1,0.02,0.5,0.02,0
0.63581,-0.019888,1.437e-05,0,0.63581,-0.00032168,1,0.03,0.5,0.03,0
0.59495,-0.024883,0.00011976,0,0.59495,-0.00056571,1,0.04,0.5,0.04,0
0.55408,-0.029878,0.00022516,0,0.55408,-0.00080974,1,0.05,0.5,0.05,0
0.52001,-0.03555,0.00025902,0,0.52001,-0.0010924,1,0.06,0.5,0.06,0
0.49557,-0.04096,0.00019753,0,0.49557,-0.0015196,1,0.07,0.5,0.07,0
0.47093,-0.046313,4.5985e-05,0,0.47093,-0.0019497,1,0.08,0.5,0.08,0
0.44824,-0.051331,3.4721e-05,0,0.44824,-0.0024284,1,0.09,0.5,0.09,0
0.42786,-0.055953,1.2196e-05,0,0.42786,-0.0029718,1,0.1,0.5,0.1,0
0.40811,-0.060622,-0.00034213,0,0.40811,-0.0035563,1,0.11,0.5,0.11,0
0.3893,-0.065693,-0.00032349,0,0.3893,-0.0042005,1,0.12,0.5,0.12,0
0.37095,-0.070793,-0.00024914,0,0.37095,-0.0048595,1,0.13,0.5,0.13,0
0.3538,-0.075189,-0.00048439,0,0.3538,-0.0056151,1,0.14,0.5,0.14,0
0.33665,-0.079387,-0.0005397,0,0.33665,-0.0063954,1,0.15,0.5,0.15,0
0.31952,-0.083903,-0.00034314,0,0.31952,-0.007194,1,0.16,0.5,0.16,0
0.3033,-0.08954,-2.9548e-05,0,0.3033,-0.0080802,1,0.17,0.5,0.17,0
0.28674,-0.094623,0.00034823,0,0.28674,-0.0089877,1,0.18,0.5,0.18,0
0.26979,-0.099071,0.00069594,0,0.26979,-0.0099611,1,0.19,0.5,0.19,0
0.25281,-0.10354,0.00086922,0,0.25281,-0.011003,1,0.2,0.5,0.2,0
0.23585,-0.10801,0.0010345,0,0.23585,-0.012044,1,0.21,0.5,0.21,0
0.21832,-0.11254,0.0012387,0,0.21832,-0.013143,1,0.22,0.5,0.22,0
0.19985,-0.11726,0.0017433,0,0.19985,-0.014305,1,0.23,0.5,0.23,0
0.18137,-0.12197,0.0022479,0,0.18137,-0.015466,1,0.24,0.5,0.24,0
0.16083,-0.1274,0.0023975,0,0.16083,-0.016752,1,0.25,0.5,0.25,0
0.13987,-0.13267,0.0028896,0,0.13987,-0.018046,1,0.26,0.5,0.26,0
0.11694,-0.13686,0.0037038,0,0.11694,-0.019406,1,0.27,0.5,0.27,0
0.092858,-0.14052,0.004144,0,0.092858,-0.020818,1,0.28,0.5,0.28,0
0.06754,-0.14502,0.0050943,0,0.06754,-0.022262,1,0.29,0.5,0.29,0
0.040299,-0.15084,0.0067347,0,0.040299,-0.023755,1,0.3,0.5,0.3,0
0.011036,-0.15579,0.0079113,0,0.011036,-0.025299,1,0.31,0.5,0.31,0
-0.019365,-0.16041,0.0087125,0,-0.019365,-0.026864,1,0.32,0.5,0.32,0
-0.05297,-0.16519,0.01003,0,-0.05297,-0.028504,1,0.33,0.5,0.33,0
-0.089119,-0.17009,0.011758,0,-0.089119,-0.030203,1,0.34,0.5,0.34,0
-0.12623,-0.17494,0.013161,0,-0.12623,-0.031917,1,0.35,0.5,0.35,0
-0.16879,-0.17866,0.014698,0,-0.16879,-0.033728,1,0.36,0.5,0.36,0
-0.21089,-0.18234,0.016282,0,-0.21089,-0.035526,1,0.37,0.5,0.37,0
-0.25589,-0.18584,0.018607,0,-0.25589,-0.037357,1,0.38,0.5,0.38,0
-0.30335,-0.18907,0.021204,0,-0.30335,-0.039221,1,0.39,0.5,0.39,0
-0.35588,-0.19316,0.023458,0,-0.35588,-0.041172,1,0.4,0.5,0.4,0
-0.40933,-0.19767,0.025722,0,-0.40933,-0.04313,1,0.41,0.5,0.41,0
-0.46725,-0.19998,0.028731,0,-0.46725,-0.045123,1,0.42,0.5,0.42,0
-0.52424,-0.20134,0.032526,0,-0.52424,-0.047089,1,0.43,0.5,0.43,0
