"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.1409,0,0,0,2.1409,0,1,0,0,0.5,0
1.9017,-0.00059125,0.017524,0,1.9017,-0.00018137,1,0.01,0.01,0.5,0
1.6625,-0.0011825,0.035047,0,1.6625,-0.00036274,1,0.02,0.02,0.5,0
1.4921,-0.0025483,0.048434,0,1.4921,-0.00080133,1,0.03,0.03,0.5,0
1.3568,-0.0043611,0.05945,0,1.3568,-0.0013854,1,0.04,0.04,0.5,0
1.2214,-0.0061739,0.070466,0,1.2214,-0.0019695,1,0.05,0.05,0.5,0
1.0983,-0.0084566,0.083044,0,1.0983,-0.0026655,1,0.06,0.06,0.5,0
1.0044,-0.0117,0.09296,0,1.0044,-0.0036302,1,0.07,0.07,0.5,0
0.91143,-0.01511,0.10275,0,0.91143,-0.0045906,1,0.08,0.08,0.5,0
0.82154,-0.018309,0.11158,0,0.82154,-0.0056566,1,0.09,0.09,0.5,0
0.73809,-0.021595,0.11911,0,0.73809,-0.006833,1,0.1,0.1,0.5,0
0.66236,-0.025679,0.12605,0,0.66236,-0.0080279,1,0.11,0.11,0.5,0
0.58696,-0.029659,0.13282,0,0.58696,-0.0093701,1,0.12,0.12,0.5,0
0.51659,-0.03336,0.13859,0,0.51659,-0.010684,1,0.13,0.13,0.5,0
0.45455,-0.037795,0.14313,0,0.45455,-0.012082,1,0.14,0.14,0.5,0
0.39233,-0.042543,0.14712,0,0.39233,-0.013551,1,0.15,0.15,0.5,0
0.33104,-0.047253,0.15071,0,0.33104,-0.015046,1,0.16,0.16,0.5,0
0.27879,-0.051836,0.15379,0,0.27879,-0.016543,1,0.17,0.17,0.5,0
0.22537,-0.056191,0.15678,0,0.22537,-0.01811,1,0.18,0.18,0.5,0
0.17387,-0.060585,0.15924,0,0.17387,-0.019744,1,0.19,0.19,0.5,0
0.12797,-0.065496,0.16094,0,0.12797,-0.021349,1,0.2,0.2,0.5,0
0.082084,-0.070408,0.16264,0,0.082084,-0.022954,1,0.21,0.21,0.5,0
0.039339,-0.075317,0.16344,0,0.039339,-0.024551,1,0.22,0.22,0.5,0
-0.0027485,-0.080155,0.16362,0,-0.0027485,-0.026211,1,0.23,0.23,0.5,0
-0.044836,-0.084992,0.16381,0,-0.044836,-0.027872,1,0.24,0.24,0.5,0
-0.083299,-0.089974,0.16404,0,-0.083299,-0.029502,1,0.25,0.25,0.5,0
-0.12121,-0.094977,0.16429,0,-0.12121,-0.031127,1,0.26,0.26,0.5,0
-0.1597,-0.10003,0.16332,0,-0.1597,-0.03278,1,0.27,0.27,0.5,0
-0.19643,-0.10508,0.16208,0,-0.19643,-0.034389,1,0.28,0.28,0.5,0
-0.23542,-0.10964,0.16125,0,-0.23542,-0.036063,1,0.29,0.29,0.5,0
-0.27107,-0.1151,0.15878,0,-0.27107,-0.037632,1,0.3,0.3,0.5,0
-0.30824,-0.12035,0.15638,0,-0.30824,-0.039229,1,0.31,0.31,0.5,0
-0.34545,-0.12504,0.15454,0,-0.34545,-0.040805,1,0.32,0.32,0.5,0
-0.3817,-0.1295,0.15217,0,-0.3817,-0.042313,1,0.33,0.33,0.5,0
-0.41962,-0.13426,0.14855,0,-0.41962,-0.043836,1,0.34,0.34,0.5,0
-0.45755,-0.13902,0.14493,0,-0.45755,-0.045358,1,0.35,0.35,0.5,0
-0.49117,-0.14378,0.14143,0,-0.49117,-0.046726,1,0.36,0.36,0.5,0
-0.528,-0.14857,0.13806,0,-0.528,-0.048112,1,0.37,0.37,0.5,0
-0.56674,-0.15339,0.13487,0,-0.56674,-0.049529,1,0.38,0.38,0.5,0
-0.60611,-0.15765,0.13025,0,-0.60611,-0.050881,1,0.39,0.39,0.5,0
-0.64127,-0.16334,0.12529,0,-0.64127,-0.052104,1,0.4,0.4,0.5,0
-0.68076,-0.16869,0.11981,0,-0.68076,-0.053372,1,0.41,0.41,0.5,0
-0.71844,-0.17259,0.11418,0,-0.71844,-0.054536,1,0.42,0.42,0.5,0
-0.75467,-0.17606,0.10862,0,-0.75467,-0.055655,1,0.43,0.43,0.5,0
-0.79081,-0.18056,0.10226,0,-0.79081,-0.056695,1,0.44,0.44,0.5,0
-0.82766,-0.1856,0.09559,0,-0.82766,-0.057706,1,0.45,0.45,0.5,0
-0.86258,-0.19011,0.08874,0,-0.86258,-0.058602,1,0.46,0.46,0.5,0
-0.89689,-0.19446,0.081834,0,-0.89689,-0.05946,1,0.47,0.47,0.5,0
-0.93254,-0.19849,0.073952,0,-0.93254,-0.060263,1,0.48,0.48,0.5,0
-0.9648,-0.20237,0.065861,0,-0.9648,-0.060946,1,0.49,0.49,0.5,0
-0.99705,-0.20624,0.05777,0,-0.99705,-0.061629,1,0.5,0.5,0.5,0
-1.0258,-0.2096,0.048745,0,-1.0258,-0.062097,1,0.51,0.51,0.5,0
-1.0545,-0.21296,0.03972,0,-1.0545,-0.062566,1,0.52,0.52,0.5,0
-1.0766,-0.21631,0.030117,0,-1.0766,-0.062893,1,0.53,0.53,0.5,0
-1.0968,-0.21992,0.019814,0,-1.0968,-0.063117,1,0.54,0.54,0.5,0
-1.1192,-0.22375,0.0091861,0,-1.1192,-0.063316,1,0.55,0.55,0.5,0
-1.1315,-0.22673,-0.0012315,0,-1.1315,-0.06332,1,0.56,0.56,0.5,0
-1.1427,-0.22983,-0.012894,0,-1.1427,-0.063222,1,0.57,0.57,0.5,0
-1.154,-0.23292,-0.024556,0,-1.154,-0.063125,1,0.58,0.58,0.5,0
-1.1509,-0.23437,-0.035588,0,-1.1509,-0.062732,1,0.59,0.59,0.5,0
-1.1477,-0.23544,-0.046547,0,-1.1477,-0.0623,1,0.6,0.6,0.5,0
-1.1446,-0.23652,-0.057505,0,-1.1446,-0.061868,1,0.61,0.61,0.5,0
-1.1355,-0.23813,-0.069464,0,-1.1355,-0.06124,1,0.62,0.62,0.5,0
-1.1134,-0.23942,-0.081988,0,-1.1134,-0.060402,1,0.63,0.63,0.5,0
-1.0914,-0.2399,-0.094029,0,-1.0914,-0.059573,1,0.64,0.64,0.5,0
-1.0582,-0.2397,-0.10649,0,-1.0582,-0.058569,1,0.65,0.65,0.5,0
-1.0137,-0.23883,-0.11937,0,-1.0137,-0.057392,1,0.66,0.66,0.5,0
-0.96915,-0.23796,-0.13226,0,-0.96915,-0.056214,1,0.67,0.67,0.5,0
-0.91027,-0.23611,-0.14363,0,-0.91027,-0.054787,1,0.68,0.68,0.5,0
-0.84186,-0.23331,-0.15352,0,-0.84186,-0.05322,1,0.69,0.69,0.5,0
-0.77346,-0.23051,-0.1634,0,-0.77346,-0.051654,1,0.7,0.7,0.5,0
-0.70157,-0.2276,-0.1732,0,-0.70157,-0.050055,1,0.71,0.71,0.5,0
-0.61044,-0.22345,-0.18375,0,-0.61044,-0.048235,1,0.72,0.72,0.5,0
-0.51094,-0.21829,-0.19541,0,-0.51094,-0.046295,1,0.73,0.73,0.5,0
-0.40851,-0.21226,-0.20417,0,-0.40851,-0.044349,1,0.74,0.74,0.5,0
-0.29305,-0.2058,-0.21212,0,-0.29305,-0.04224,1,0.75,0.75,0.5,0
-0.1731,-0.19938,-0.22035,0,-0.1731,-0.040072,1,0.76,0.76,0.5,0
-0.039915,-0.19226,-0.2252,0,-0.039915,-0.037821,1,0.77,0.77,0.5,0
0.09327,-0.18513,-0.23004,0,0.09327,-0.03557,1,0.78,0.78,0.5,0
0.23902,-0.17645,-0.23351,0,0.23902,-0.033194,1,0.79,0.79,0.5,0
0.38374,-0.16594,-0.23505,0,0.38374,-0.030821,1,0.8,0.8,0.5,0
0.5282,-0.15542,-0.23657,0,0.5282,-0.02845,1,0.81,0.81,0.5,0
0.66126,-0.14566,-0.23618,0,0.66126,-0.026196,1,0.82,0.82,0.5,0
