"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.59583,0,0,0,0.59583,0,1,0,0.5,0,0
0.59371,-0.00056533,-4.4318e-06,0,0.59371,-3.2131e-05,1,0.001,0.5,0.001,0
0.5916,-0.0011307,-8.8635e-06,0,0.5916,-6.4261e-05,1,0.002,0.5,0.002,0
0.58949,-0.001696,-1.3295e-05,0,0.58949,-9.6392e-05,1,0.003,0.5,0.003,0
0.58738,-0.0022613,-1.7727e-05,0,0.58738,-0.00012852,1,0.004,0.5,0.004,0
0.58526,-0.0028267,-2.2159e-05,0,0.58526,-0.00016065,1,0.005,0.5,0.005,0
0.58315,-0.003392,-2.6591e-05,0,0.58315,-0.00019278,1,0.006,0.5,0.006,0
0.58104,-0.0039573,-3.1022e-05,0,0.58104,-0.00022491,1,0.007,0.5,0.007,0
0.57893,-0.0045227,-3.5454e-05,0,0.57893,-0.00025704,1,0.008,0.5,0.008,0
0.57682,-0.005088,-3.9886e-05,0,0.57682,-0.00028918,1,0.009,0.5,0.009,0
0.5747,-0.0056533,-4.4318e-05,0,0.5747,-0.00032131,1,0.01,0.5,0.01,0
0.57259,-0.0062187,-4.8749e-05,0,0.57259,-0.00035344,1,0.011,0.5,0.011,0
0.57048,-0.006784,-5.3181e-05,0,0.57048,-0.00038557,1,0.012,0.5,0.012,0
0.56837,-0.0073493,-5.7613e-05,0,0.56837,-0.0004177,1,0.013,0.5,0.013,0
0.56626,-0.0079146,-6.2045e-05,0,0.56626,-0.00044983,1,0.014,0.5,0.014,0
0.56414,-0.00848,-6.6476e-05,0,0.56414,-0.00048196,1,0.015,0.5,0.015,0
0.56203,-0.0090453,-7.0908e-05,0,0.56203,-0.00051409,1,0.016,0.5,0.016,0
0.55992,-0.0096106,-7.534e-05,0,0.55992,-0.00054622,1,0.017,0.5,0.017,0
0.55781,-0.010176,-7.9772e-05,0,0.55781,-0.00057835,1,0.018,0.5,0.018,0
0.55569,-0.010741,-8.4203e-05,0,0.55569,-0.00061048,1,0.019,0.5,0.019,0
0.55358,-0.011307,-8.8635e-05,0,0.55358,-0.00064261,1,0.02,0.5,0.02,0
0.55147,-0.011872,-9.3067e-05,0,0.55147,-0.00067474,1,0.021,0.5,0.021,0
0.54936,-0.012437,-9.7499e-05,0,0.54936,-0.00070687,1,0.022,0.5,0.022,0
0.54725,-0.013003,-0.00010193,0,0.54725,-0.000739,1,0.023,0.5,0.023,0
0.54513,-0.013568,-0.00010636,0,0.54513,-0.00077113,1,0.024,0.5,0.024,0
0.54302,-0.014133,-0.00011079,0,0.54302,-0.00080326,1,0.025,0.5,0.025,0
0.54091,-0.014699,-0.00011523,0,0.54091,-0.00083539,1,0.026,0.5,0.026,0
0.5388,-0.015264,-0.00011966,0,0.5388,-0.00086753,1,0.027,0.5,0.027,0
0.53669,-0.015829,-0.00012409,0,0.53669,-0.00089966,1,0.028,0.5,0.028,0
0.53457,-0.016395,-0.00012852,0,0.53457,-0.00093179,1,0.029,0.5,0.029,0
0.53246,-0.01696,-0.00013295,0,0.53246,-0.00096392,1,0.03,0.5,0.03,0
