"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3747,0,0,0,1.3747,0,1,0,0.5,0,0
1.2585,-0.011228,-9.3369e-05,0,1.2585,-0.0001156,1,0.01,0.5,0.01,0
1.1423,-0.022456,-0.00018674,0,1.1423,-0.00023119,1,0.02,0.5,0.02,0
1.0782,-0.032397,-0.00040659,0,1.0782,-0.00053506,1,0.03,0.5,0.03,0
1.041,-0.041566,-0.00069842,0,1.041,-0.00094498,1,0.04,0.5,0.04,0
1.0037,-0.050735,-0.00099024,0,1.0037,-0.0013549,1,0.05,0.5,0.05,0
0.97802,-0.061479,-0.001395,0,0.97802,-0.0018413,1,0.06,0.5,0.06,0
0.97578,-0.07284,-0.0021048,0,0.97578,-0.0025997,1,0.07,0.5,0.07,0
0.97396,-0.084112,-0.0029865,0,0.97396,-0.0033618,1,0.08,0.5,0.08,0
0.97309,-0.095412,-0.0034677,0,0.97309,-0.0042386,1,0.09,0.5,0.09,0
0.97505,-0.10676,-0.0040109,0,0.97505,-0.0052625,1,0.1,0.5,0.1,0
0.97961,-0.11842,-0.0056094,0,0.97961,-0.0063761,1,0.11,0.5,0.11,0
0.97695,-0.13112,-0.0062675,0,0.97695,-0.0076499,1,0.12,0.5,0.12,0
0.97629,-0.14407,-0.0066303,0,0.97629,-0.0089545,1,0.13,0.5,0.13,0
0.96349,-0.15663,-0.0077103,0,0.96349,-0.010521,1,0.14,0.5,0.14,0
0.94492,-0.1688,-0.0082335,0,0.94492,-0.012158,1,0.15,0.5,0.15,0
0.92097,-0.18154,-0.0079508,0,0.92097,-0.013848,1,0.16,0.5,0.16,0
0.87898,-0.19716,-0.0070438,0,0.87898,-0.015785,1,0.17,0.5,0.17,0
0.82906,-0.21145,-0.0059839,0,0.82906,-0.017784,1,0.18,0.5,0.18,0
0.75702,-0.22391,-0.004867,0,0.75702,-0.019968,1,0.19,0.5,0.19,0
0.66386,-0.23595,-0.0039532,0,0.66386,-0.022344,1,0.2,0.5,0.2,0
0.5708,-0.24798,-0.0030627,0,0.5708,-0.024718,1,0.21,0.5,0.21,0
