"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5595,0,0,0,1.5595,0,1,0,0,0.5,0
1.3584,-0.00062165,0.012693,0,1.3584,-0.00013256,1,0.01,0.01,0.5,0
1.1573,-0.0012433,0.025386,0,1.1573,-0.00026513,1,0.02,0.02,0.5,0
1.0128,-0.0026944,0.034542,0,1.0128,-0.0005729,1,0.03,0.03,0.5,0
0.89741,-0.0046212,0.041684,0,0.89741,-0.00098004,1,0.04,0.04,0.5,0
0.78197,-0.0065479,0.048825,0,0.78197,-0.0013872,1,0.05,0.05,0.5,0
0.67599,-0.0088139,0.056964,0,0.67599,-0.0018755,1,0.06,0.06,0.5,0
0.60492,-0.011828,0.062738,0,0.60492,-0.0025206,1,0.07,0.07,0.5,0
0.53533,-0.014943,0.068437,0,0.53533,-0.0031597,1,0.08,0.08,0.5,0
0.47142,-0.017795,0.073511,0,0.47142,-0.0038678,1,0.09,0.09,0.5,0
0.41731,-0.020558,0.077716,0,0.41731,-0.0046397,1,0.1,0.1,0.5,0
0.37327,-0.023989,0.081492,0,0.37327,-0.0054043,1,0.11,0.11,0.5,0
0.33433,-0.027969,0.08529,0,0.33433,-0.0062738,1,0.12,0.12,0.5,0
0.30035,-0.031746,0.088272,0,0.30035,-0.007109,1,0.13,0.13,0.5,0
0.27865,-0.035409,0.090705,0,0.27865,-0.0079832,1,0.14,0.14,0.5,0
0.25899,-0.03938,0.092889,0,0.25899,-0.0089118,1,0.15,0.15,0.5,0
0.2412,-0.043749,0.094861,0,0.2412,-0.0098595,1,0.16,0.16,0.5,0
0.23377,-0.048831,0.09675,0,0.23377,-0.010786,1,0.17,0.17,0.5,0
0.22631,-0.053314,0.098813,0,0.22631,-0.011778,1,0.18,0.18,0.5,0
0.22165,-0.057431,0.10097,0,0.22165,-0.012828,1,0.19,0.19,0.5,0
0.22179,-0.062127,0.10296,0,0.22179,-0.013847,1,0.2,0.2,0.5,0
0.22193,-0.066821,0.10494,0,0.22193,-0.014865,1,0.21,0.21,0.5,0
0.22365,-0.071705,0.10639,0,0.22365,-0.01589,1,0.22,0.22,0.5,0
0.22517,-0.077017,0.10786,0,0.22517,-0.016992,1,0.23,0.23,0.5,0
0.22668,-0.082329,0.10933,0,0.22668,-0.018095,1,0.24,0.24,0.5,0
0.22774,-0.086777,0.11149,0,0.22774,-0.019196,1,0.25,0.25,0.5,0
0.22873,-0.091093,0.11376,0,0.22873,-0.020296,1,0.26,0.26,0.5,0
0.22499,-0.097219,0.11538,0,0.22499,-0.021468,1,0.27,0.27,0.5,0
0.22197,-0.10409,0.11687,0,0.22197,-0.022608,1,0.28,0.28,0.5,0
0.21142,-0.11007,0.11936,0,0.21142,-0.023854,1,0.29,0.29,0.5,0
0.20176,-0.11554,0.11976,0,0.20176,-0.025021,1,0.3,0.3,0.5,0
0.18581,-0.12191,0.12096,0,0.18581,-0.026254,1,0.31,0.31,0.5,0
0.16618,-0.12984,0.12355,0,0.16618,-0.0275,1,0.32,0.32,0.5,0
0.1429,-0.13804,0.12497,0,0.1429,-0.028721,1,0.33,0.33,0.5,0
0.11111,-0.14538,0.1243,0,0.11111,-0.030013,1,0.34,0.34,0.5,0
0.079306,-0.15272,0.12363,0,0.079306,-0.031304,1,0.35,0.35,0.5,0
0.053005,-0.15874,0.12367,0,0.053005,-0.032451,1,0.36,0.36,0.5,0
0.011625,-0.16653,0.12514,0,0.011625,-0.033706,1,0.37,0.37,0.5,0
-0.037176,-0.17259,0.12701,0,-0.037176,-0.035027,1,0.38,0.38,0.5,0
-0.093407,-0.17884,0.12612,0,-0.093407,-0.036349,1,0.39,0.39,0.5,0
-0.14011,-0.18682,0.1244,0,-0.14011,-0.037524,1,0.4,0.4,0.5,0
