"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.60579,0,0,0,0.60579,0,1,0,0.5,0,0
0.55625,-0.0049501,-8.0501e-05,0,0.55625,-4.8951e-05,1,0.01,0.5,0.01,0
0.50671,-0.0099002,-0.000161,0,0.50671,-9.7902e-05,1,0.02,0.5,0.02,0
0.48559,-0.014386,-0.00037537,0,0.48559,-0.00023083,1,0.03,0.5,0.03,0
0.47926,-0.018588,-0.00066562,0,0.47926,-0.0004111,1,0.04,0.5,0.04,0
0.47293,-0.02279,-0.00095587,0,0.47293,-0.00059138,1,0.05,0.5,0.05,0
0.47275,-0.027762,-0.0013189,0,0.47275,-0.00080927,1,0.06,0.5,0.06,0
0.4894,-0.033057,-0.0018042,0,0.4894,-0.0011557,1,0.07,0.5,0.07,0
0.50652,-0.038295,-0.0023625,0,0.50652,-0.0015036,1,0.08,0.5,0.08,0
0.52608,-0.043504,-0.0027076,0,0.52608,-0.0019113,1,0.09,0.5,0.09,0
0.55016,-0.048711,-0.003068,0,0.55016,-0.002396,1,0.1,0.5,0.1,0
0.57884,-0.054588,-0.0039615,0,0.57884,-0.0029297,1,0.11,0.5,0.11,0
0.60796,-0.06277,-0.0044178,0,0.60796,-0.0035542,1,0.12,0.5,0.12,0
0.63984,-0.071341,-0.0046658,0,0.63984,-0.0041981,1,0.13,0.5,0.13,0
0.67276,-0.078364,-0.0052217,0,0.67276,-0.0050032,1,0.14,0.5,0.14,0
0.70404,-0.085276,-0.0054541,0,0.70404,-0.0058525,1,0.15,0.5,0.15,0
0.734,-0.093781,-0.0052071,0,0.734,-0.0067403,1,0.16,0.5,0.16,0
0.76255,-0.10709,-0.0044696,0,0.76255,-0.0077999,1,0.17,0.5,0.17,0
0.78694,-0.11842,-0.0035903,0,0.78694,-0.0089048,1,0.18,0.5,0.18,0
0.80177,-0.12796,-0.0025595,0,0.80177,-0.010158,1,0.19,0.5,0.19,0
0.80887,-0.13838,-0.0015537,0,0.80887,-0.011566,1,0.2,0.5,0.2,0
0.81602,-0.14879,-0.00056512,0,0.81602,-0.012975,1,0.21,0.5,0.21,0
0.8086,-0.15998,0.00070426,0,0.8086,-0.014541,1,0.22,0.5,0.22,0
0.78682,-0.17234,0.0026645,0,0.78682,-0.016258,1,0.23,0.5,0.23,0
0.76504,-0.18469,0.0046247,0,0.76504,-0.017975,1,0.24,0.5,0.24,0
0.71203,-0.19801,0.0063194,0,0.71203,-0.019999,1,0.25,0.5,0.25,0
0.65571,-0.21065,0.00871,0,0.65571,-0.022043,1,0.26,0.5,0.26,0
0.57791,-0.21893,0.012015,0,0.57791,-0.024244,1,0.27,0.5,0.27,0
0.48403,-0.2248,0.014834,0,0.48403,-0.026579,1,0.28,0.5,0.28,0
0.37757,-0.23377,0.01848,0,0.37757,-0.028982,1,0.29,0.5,0.29,0
0.25038,-0.24736,0.023231,0,0.25038,-0.031501,1,0.3,0.5,0.3,0
0.11005,-0.25808,0.027344,0,0.11005,-0.034102,1,0.31,0.5,0.31,0
-0.047225,-0.26933,0.030716,0,-0.047225,-0.036773,1,0.32,0.5,0.32,0
-0.21781,-0.27795,0.03494,0,-0.21781,-0.039549,1,0.33,0.5,0.33,0
-0.39881,-0.28445,0.039845,0,-0.39881,-0.042408,1,0.34,0.5,0.34,0
-0.58746,-0.2903,0.044127,0,-0.58746,-0.045306,1,0.35,0.5,0.35,0
-0.78078,-0.29149,0.048303,0,-0.78078,-0.048265,1,0.36,0.5,0.36,0
-0.97275,-0.29273,0.052551,0,-0.97275,-0.051203,1,0.37,0.5,0.37,0
-1.1606,-0.29198,0.05766,0,-1.1606,-0.054105,1,0.38,0.5,0.38,0
-1.349,-0.2894,0.063211,0,-1.349,-0.057015,1,0.39,0.5,0.39,0
-1.5316,-0.28727,0.067061,0,-1.5316,-0.059927,1,0.4,0.5,0.4,0
-1.7133,-0.2856,0.070506,0,-1.7133,-0.062825,1,0.41,0.5,0.41,0
-1.8733,-0.27854,0.074531,0,-1.8733,-0.06561,1,0.42,0.5,0.42,0
-2.0262,-0.27005,0.079487,0,-2.0262,-0.068316,1,0.43,0.5,0.43,0
-2.1545,-0.2609,0.083906,0,-2.1545,-0.070984,1,0.44,0.5,0.44,0
-2.2768,-0.25215,0.087574,0,-2.2768,-0.073556,1,0.45,0.5,0.45,0
-2.3787,-0.24212,0.090577,0,-2.3787,-0.075976,1,0.46,0.5,0.46,0
-2.4634,-0.23036,0.092483,0,-2.4634,-0.078317,1,0.47,0.5,0.47,0
-2.5338,-0.21747,0.094019,0,-2.5338,-0.080548,1,0.48,0.5,0.48,0
-2.5888,-0.2035,0.095697,0,-2.5888,-0.082647,1,0.49,0.5,0.49,0
-2.6438,-0.18952,0.097375,0,-2.6438,-0.084746,1,0.5,0.5,0.5,0
-2.6674,-0.17737,0.098353,0,-2.6674,-0.086416,1,0.51,0.5,0.51,0
-2.691,-0.16522,0.09933,0,-2.691,-0.088087,1,0.52,0.5,0.52,0
-2.7146,-0.15307,0.10031,0,-2.7146,-0.089757,1,0.53,0.5,0.53,0
-2.7274,-0.139,0.10166,0,-2.7274,-0.091167,1,0.54,0.5,0.54,0
-2.7316,-0.12359,0.10324,0,-2.7316,-0.092392,1,0.55,0.5,0.55,0
-2.7358,-0.10819,0.10482,0,-2.7358,-0.093618,1,0.56,0.5,0.56,0
-2.7322,-0.094174,0.10572,0,-2.7322,-0.094559,1,0.57,0.5,0.57,0
-2.7275,-0.080823,0.10628,0,-2.7275,-0.095375,1,0.58,0.5,0.58,0
-2.7224,-0.067168,0.1069,0,-2.7224,-0.09616,1,0.59,0.5,0.59,0
-2.714,-0.051931,0.10755,0,-2.714,-0.096729,1,0.6,0.5,0.6,0
-2.7023,-0.036974,0.10738,0,-2.7023,-0.097126,1,0.61,0.5,0.61,0
-2.69,-0.023468,0.1077,0,-2.69,-0.097413,1,0.62,0.5,0.62,0
-2.677,-0.011685,0.10862,0,-2.677,-0.097566,1,0.63,0.5,0.63,0
-2.6619,0.00013721,0.10976,0,-2.6619,-0.097653,1,0.64,0.5,0.64,0
-2.6432,0.013479,0.11044,0,-2.6432,-0.097569,1,0.65,0.5,0.65,0
-2.6221,0.029666,0.10966,0,-2.6221,-0.097321,1,0.66,0.5,0.66,0
-2.5966,0.045918,0.10915,0,-2.5966,-0.097011,1,0.67,0.5,0.67,0
-2.5653,0.058122,0.10986,0,-2.5653,-0.096476,1,0.68,0.5,0.68,0
-2.5294,0.070848,0.11142,0,-2.5294,-0.09575,1,0.69,0.5,0.69,0
-2.4886,0.084511,0.11191,0,-2.4886,-0.094942,1,0.7,0.5,0.7,0
-2.4434,0.098909,0.11147,0,-2.4434,-0.094052,1,0.71,0.5,0.71,0
-2.3914,0.11187,0.11137,0,-2.3914,-0.092938,1,0.72,0.5,0.72,0
-2.3332,0.12434,0.11088,0,-2.3332,-0.091748,1,0.73,0.5,0.73,0
-2.2716,0.13702,0.11042,0,-2.2716,-0.09046,1,0.74,0.5,0.74,0
-2.1981,0.14939,0.10951,0,-2.1981,-0.088959,1,0.75,0.5,0.75,0
-2.1234,0.16165,0.10855,0,-2.1234,-0.087428,1,0.76,0.5,0.76,0
-2.0408,0.17329,0.1073,0,-2.0408,-0.085694,1,0.77,0.5,0.77,0
-1.9582,0.18492,0.10604,0,-1.9582,-0.08396,1,0.78,0.5,0.78,0
-1.8686,0.19541,0.10355,0,-1.8686,-0.082069,1,0.79,0.5,0.79,0
-1.772,0.20508,0.10083,0,-1.772,-0.079992,1,0.8,0.5,0.8,0
-1.6754,0.21476,0.098127,0,-1.6754,-0.077913,1,0.81,0.5,0.81,0
-1.5799,0.22399,0.095776,0,-1.5799,-0.075699,1,0.82,0.5,0.82,0
-1.4876,0.23249,0.093286,0,-1.4876,-0.073383,1,0.83,0.5,0.83,0
-1.3972,0.2406,0.090499,0,-1.3972,-0.07105,1,0.84,0.5,0.84,0
-1.3486,0.2494,0.087274,0,-1.3486,-0.068541,1,0.85,0.5,0.85,0
-1.3088,0.25777,0.083475,0,-1.3088,-0.065994,1,0.86,0.5,0.86,0
-1.3005,0.2656,0.078941,0,-1.3005,-0.063424,1,0.87,0.5,0.87,0
-1.4254,0.27502,0.073604,0,-1.4254,-0.060689,1,0.88,0.5,0.88,0
-1.6002,0.28568,0.06758,0,-1.6002,-0.057837,1,0.89,0.5,0.89,0
-1.9584,0.30035,0.061038,0,-1.9584,-0.054939,1,0.9,0.5,0.9,0
-2.4688,0.31724,0.056162,0,-2.4688,-0.051803,1,0.91,0.5,0.91,0
-3.245,0.34741,0.051615,0,-3.245,-0.048369,1,0.92,0.5,0.92,0
-4.2224,0.38906,0.04673,0,-4.2224,-0.044746,1,0.93,0.5,0.93,0
-5.2368,0.43187,0.040559,0,-5.2368,-0.041073,1,0.94,0.5,0.94,0
-6.9414,0.50608,0.031648,0,-6.9414,-0.035737,1,0.95,0.5,0.95,0
-8.7646,0.57803,0.021027,0,-8.7646,-0.029984,1,0.96,0.5,0.96,0
-10.588,0.64998,0.010406,0,-10.588,-0.02423,1,0.97,0.5,0.97,0
-12.318,0.74269,0.0030359,0,-12.318,-0.017414,1,0.98,0.5,0.98,0
-13.916,0.87135,0.0015179,0,-13.916,-0.0087071,1,0.99,0.5,0.99,0
-15.514,1,0,0,-15.514,0,1,1,0.5,1,0
