"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.899,0,0,0,2.899,0,1,0,0,0.5,0
2.4811,-0.00057238,0.023496,0,2.4811,-0.000251,1,0.01,0.01,0.5,0
2.0632,-0.0011448,0.046991,0,2.0632,-0.00050201,1,0.02,0.02,0.5,0
1.763,-0.0024557,0.063164,0,1.763,-0.001067,1,0.03,0.03,0.5,0
1.5241,-0.0041933,0.075148,0,1.5241,-0.0018095,1,0.04,0.04,0.5,0
1.2853,-0.0059309,0.087132,0,1.2853,-0.002552,1,0.05,0.05,0.5,0
1.0733,-0.0079632,0.10066,0,1.0733,-0.0034112,1,0.06,0.06,0.5,0
0.94075,-0.01115,0.11057,0,0.94075,-0.0045542,1,0.07,0.07,0.5,0
0.81016,-0.014553,0.12032,0,0.81016,-0.0056929,1,0.08,0.08,0.5,0
0.69572,-0.017539,0.12903,0,0.69572,-0.0069377,1,0.09,0.09,0.5,0
0.6055,-0.020485,0.13633,0,0.6055,-0.0082916,1,0.1,0.1,0.5,0
0.53407,-0.024534,0.14304,0,0.53407,-0.00966,1,0.11,0.11,0.5,0
0.4744,-0.028669,0.15001,0,0.4744,-0.011176,1,0.12,0.12,0.5,0
0.42341,-0.032642,0.15605,0,0.42341,-0.012661,1,0.13,0.13,0.5,0
0.39002,-0.037014,0.16147,0,0.39002,-0.01425,1,0.14,0.14,0.5,0
0.35859,-0.04149,0.16653,0,0.35859,-0.01591,1,0.15,0.15,0.5,0
0.32799,-0.046053,0.1715,0,0.32799,-0.0176,1,0.16,0.16,0.5,0
0.30651,-0.051186,0.17717,0,0.30651,-0.019326,1,0.17,0.17,0.5,0
0.28114,-0.055705,0.1828,0,0.28114,-0.021137,1,0.18,0.18,0.5,0
0.25039,-0.060037,0.18826,0,0.25039,-0.023057,1,0.19,0.19,0.5,0
0.21834,-0.065284,0.19349,0,0.21834,-0.024994,1,0.2,0.2,0.5,0
0.18634,-0.070534,0.19871,0,0.18634,-0.02693,1,0.21,0.21,0.5,0
0.14629,-0.075836,0.20326,0,0.14629,-0.028903,1,0.22,0.22,0.5,0
0.093392,-0.080879,0.20762,0,0.093392,-0.030994,1,0.23,0.23,0.5,0
0.04049,-0.085923,0.21198,0,0.04049,-0.033085,1,0.24,0.24,0.5,0
-0.026111,-0.091456,0.21654,0,-0.026111,-0.035251,1,0.25,0.25,0.5,0
-0.094811,-0.097066,0.22113,0,-0.094811,-0.03743,1,0.26,0.26,0.5,0
-0.18003,-0.10245,0.22435,0,-0.18003,-0.039682,1,0.27,0.27,0.5,0
-0.26925,-0.10813,0.22727,0,-0.26925,-0.041916,1,0.28,0.28,0.5,0
-0.37104,-0.11307,0.23059,0,-0.37104,-0.044264,1,0.29,0.29,0.5,0
-0.47713,-0.11879,0.23124,0,-0.47713,-0.046544,1,0.3,0.3,0.5,0
-0.59316,-0.12459,0.23181,0,-0.59316,-0.048889,1,0.31,0.31,0.5,0
-0.71651,-0.13041,0.23276,0,-0.71651,-0.051234,1,0.32,0.32,0.5,0
-0.84281,-0.13566,0.23238,0,-0.84281,-0.053525,1,0.33,0.33,0.5,0
-0.97633,-0.14029,0.22993,0,-0.97633,-0.05587,1,0.34,0.34,0.5,0
-1.1098,-0.14492,0.22749,0,-1.1098,-0.058216,1,0.35,0.35,0.5,0
-1.2386,-0.14984,0.22486,0,-1.2386,-0.060418,1,0.36,0.36,0.5,0
-1.3732,-0.15456,0.22112,0,-1.3732,-0.06264,1,0.37,0.37,0.5,0
-1.5042,-0.1589,0.21689,0,-1.5042,-0.064848,1,0.38,0.38,0.5,0
-1.6368,-0.16238,0.2108,0,-1.6368,-0.067018,1,0.39,0.39,0.5,0
-1.7648,-0.16688,0.20362,0,-1.7648,-0.069051,1,0.4,0.4,0.5,0
-1.8862,-0.16923,0.19527,0,-1.8862,-0.071063,1,0.41,0.41,0.5,0
-1.9994,-0.17277,0.18719,0,-1.9994,-0.072972,1,0.42,0.42,0.5,0
-2.1111,-0.17713,0.17942,0,-2.1111,-0.074849,1,0.43,0.43,0.5,0
-2.2098,-0.18035,0.16915,0,-2.2098,-0.076552,1,0.44,0.44,0.5,0
-2.3013,-0.18292,0.15765,0,-2.3013,-0.078178,1,0.45,0.45,0.5,0
-2.3849,-0.18503,0.14665,0,-2.3849,-0.079672,1,0.46,0.46,0.5,0
-2.4659,-0.187,0.13582,0,-2.4659,-0.081125,1,0.47,0.47,0.5,0
-2.5291,-0.18832,0.12334,0,-2.5291,-0.082422,1,0.48,0.48,0.5,0
-2.5864,-0.18892,0.11036,0,-2.5864,-0.083584,1,0.49,0.49,0.5,0
-2.6438,-0.18952,0.097375,0,-2.6438,-0.084746,1,0.5,0.5,0.5,0
-2.6744,-0.19065,0.084236,0,-2.6744,-0.085494,1,0.51,0.51,0.5,0
-2.705,-0.19179,0.071097,0,-2.705,-0.086241,1,0.52,0.52,0.5,0
-2.7395,-0.19556,0.058463,0,-2.7395,-0.086884,1,0.53,0.53,0.5,0
-2.768,-0.19937,0.044804,0,-2.768,-0.087395,1,0.54,0.54,0.5,0
-2.7863,-0.20087,0.02944,0,-2.7863,-0.087811,1,0.55,0.55,0.5,0
-2.8062,-0.2014,0.014503,0,-2.8062,-0.087999,1,0.56,0.56,0.5,0
-2.8213,-0.20316,0.0014284,0,-2.8213,-0.088062,1,0.57,0.57,0.5,0
-2.8363,-0.20491,-0.011646,0,-2.8363,-0.088124,1,0.58,0.58,0.5,0
-2.8529,-0.20615,-0.025318,0,-2.8529,-0.087841,1,0.59,0.59,0.5,0
-2.8651,-0.2077,-0.039188,0,-2.8651,-0.087474,1,0.6,0.6,0.5,0
-2.8773,-0.20925,-0.053064,0,-2.8773,-0.087106,1,0.61,0.61,0.5,0
-2.8878,-0.21059,-0.06681,0,-2.8878,-0.08652,1,0.62,0.62,0.5,0
-2.8996,-0.21303,-0.081705,0,-2.8996,-0.085664,1,0.63,0.63,0.5,0
-2.9068,-0.21533,-0.096614,0,-2.9068,-0.084759,1,0.64,0.64,0.5,0
-2.9238,-0.21707,-0.11167,0,-2.9238,-0.083715,1,0.65,0.65,0.5,0
-2.9507,-0.21826,-0.12686,0,-2.9507,-0.082532,1,0.66,0.66,0.5,0
-2.9777,-0.21944,-0.14206,0,-2.9777,-0.081349,1,0.67,0.67,0.5,0
-2.9993,-0.22279,-0.15689,0,-2.9993,-0.079819,1,0.68,0.68,0.5,0
-3.0087,-0.22754,-0.17177,0,-3.0087,-0.078035,1,0.69,0.69,0.5,0
-3.0182,-0.23228,-0.18665,0,-3.0182,-0.076251,1,0.7,0.7,0.5,0
-3.0151,-0.23645,-0.20179,0,-3.0151,-0.074383,1,0.71,0.71,0.5,0
-2.9896,-0.23924,-0.21897,0,-2.9896,-0.072185,1,0.72,0.72,0.5,0
-2.9852,-0.24262,-0.23745,0,-2.9852,-0.069931,1,0.73,0.73,0.5,0
-2.9168,-0.24413,-0.25434,0,-2.9168,-0.067478,1,0.74,0.74,0.5,0
-2.8342,-0.24561,-0.27073,0,-2.8342,-0.064798,1,0.75,0.75,0.5,0
-2.7575,-0.24748,-0.28734,0,-2.7575,-0.062071,1,0.76,0.76,0.5,0
-2.5696,-0.24803,-0.30412,0,-2.5696,-0.059033,1,0.77,0.77,0.5,0
-2.3816,-0.24857,-0.32091,0,-2.3816,-0.055995,1,0.78,0.78,0.5,0
-2.1367,-0.24767,-0.33594,0,-2.1367,-0.052715,1,0.79,0.79,0.5,0
-1.7919,-0.24366,-0.34745,0,-1.7919,-0.049204,1,0.8,0.8,0.5,0
-1.4467,-0.23962,-0.35894,0,-1.4467,-0.045694,1,0.81,0.81,0.5,0
-1.0199,-0.23229,-0.36545,0,-1.0199,-0.042165,1,0.82,0.82,0.5,0
-0.50486,-0.22394,-0.37037,0,-0.50486,-0.038461,1,0.83,0.83,0.5,0
0.043027,-0.21641,-0.37649,0,0.043027,-0.034618,1,0.84,0.84,0.5,0
0.60437,-0.20171,-0.37053,0,0.60437,-0.03096,1,0.85,0.85,0.5,0
1.1811,-0.18561,-0.36297,0,1.1811,-0.027277,1,0.86,0.86,0.5,0
1.7794,-0.17006,-0.35433,0,1.7794,-0.023523,1,0.87,0.87,0.5,0
2.3183,-0.15254,-0.33598,0,2.3183,-0.020059,1,0.88,0.88,0.5,0
2.7507,-0.13216,-0.31631,0,2.7507,-0.016898,1,0.89,0.89,0.5,0
3.2128,-0.113,-0.29237,0,3.2128,-0.013674,1,0.9,0.9,0.5,0
3.4963,-0.097646,-0.2677,0,3.4963,-0.010941,1,0.91,0.91,0.5,0
3.6501,-0.082143,-0.23666,0,3.6501,-0.0085574,1,0.92,0.92,0.5,0
3.7533,-0.065285,-0.19979,0,3.7533,-0.0063089,1,0.93,0.93,0.5,0
3.8349,-0.048155,-0.16283,0,3.8349,-0.0041381,1,0.94,0.94,0.5,0
3.6334,-0.036324,-0.13135,0,3.6334,-0.0030447,1,0.95,0.95,0.5,0
3.4161,-0.024204,-0.10192,0,3.4161,-0.0020447,1,0.96,0.96,0.5,0
3.1988,-0.012083,-0.072485,0,3.1988,-0.0010446,1,0.97,0.97,0.5,0
2.9764,-0.0036645,-0.045338,0,2.9764,-0.0003414,1,0.98,0.98,0.5,0
2.7544,-0.0018322,-0.022669,0,2.7544,-0.0001707,1,0.99,0.99,0.5,0
2.5323,0,0,0,2.5323,0,1,1,1,0.5,0
