"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.142,0,0,0.58699,0,1,0,5,0,0
0,2.1369,-8.9421e-05,0,0.61477,0.029011,1,0.013609,5,0.013609,0
0,2.1318,-0.00017884,0,0.64255,0.058022,1,0.027217,5,0.027217,0
0,2.1267,-0.00026826,0,0.67032,0.087034,1,0.040826,5,0.040826,0
0,2.1216,-0.00035768,0,0.6981,0.11604,1,0.054435,5,0.054435,0
0,2.1166,-0.00044711,0,0.72587,0.14506,1,0.068044,5,0.068044,0
0,2.1115,-0.00053653,0,0.75365,0.17407,1,0.081652,5,0.081652,0
0,2.0986,0.0010151,0,0.81843,0.2024,1,0.095261,5,0.095261,0
0,2.085,0.0027249,0,0.88678,0.23067,1,0.10887,5,0.10887,0
0,2.0714,0.0044347,0,0.95513,0.25894,1,0.12248,5,0.12248,0
0,2.056,0.0047783,0,1.0351,0.28695,1,0.13609,5,0.13609,0
0,2.0399,0.0046736,0,1.1189,0.31489,1,0.1497,5,0.1497,0
0,2.0235,0.0043005,0,1.208,0.3427,1,0.1633,5,0.1633,0
0,2.0059,0.0030809,0,1.3135,0.37013,1,0.17691,5,0.17691,0
0,1.9881,0.0019005,0,1.4197,0.39753,1,0.19052,5,0.19052,0
0,1.9662,0.0022316,0,1.5513,0.424,1,0.20413,5,0.20413,0
0,1.9443,0.0025627,0,1.6829,0.45047,1,0.21774,5,0.21774,0
0,1.9224,0.0028938,0,1.8145,0.47694,1,0.23135,5,0.23135,0
0,1.8969,0.0042408,0,1.9514,0.503,1,0.24496,5,0.24496,0
0,1.8669,0.0067983,0,2.0953,0.52854,1,0.25857,5,0.25857,0
0,1.8352,0.0084529,0,2.2454,0.55364,1,0.27217,5,0.27217,0
0,1.8036,0.010107,0,2.3956,0.57874,1,0.28578,5,0.28578,0
0,1.7707,0.011832,0,2.5462,0.60337,1,0.29939,5,0.29939,0
0,1.7338,0.01378,0,2.6982,0.62648,1,0.313,5,0.313,0
0,1.697,0.015727,0,2.8503,0.64959,1,0.32661,5,0.32661,0
0,1.6601,0.017675,0,3.0024,0.6727,1,0.34022,5,0.34022,0
0,1.6235,0.019409,0,3.1544,0.6958,1,0.35383,5,0.35383,0
0,1.5785,0.017307,0,3.2967,0.71701,1,0.36743,5,0.36743,0
0,1.531,0.014053,0,3.4364,0.73768,1,0.38104,5,0.38104,0
