"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.04122,2.6131,0,0,1.3712,0,1,0,5,0,0
0.042734,2.6051,0.00038799,0,1.3999,0.035488,1,0.013609,5,0.013609,0
0.044249,2.5971,0.00077597,0,1.4286,0.070976,1,0.027218,5,0.027218,0
0.045924,2.5873,0.0015304,0,1.4601,0.10641,1,0.040827,5,0.040827,0
0.049259,2.5594,0.0060944,0,1.5207,0.14135,1,0.054436,5,0.054436,0
0.054249,2.5353,0.0070655,0,1.6109,0.17586,1,0.068045,5,0.068045,0
0.05951,2.5117,0.0074469,0,1.706,0.2103,1,0.081654,5,0.081654,0
0.06624,2.4883,0.0082509,0,1.8255,0.24423,1,0.095263,5,0.095263,0
0.073816,2.4623,0.01079,0,1.9589,0.27786,1,0.10887,5,0.10887,0
0.081392,2.4362,0.01333,0,2.0922,0.3115,1,0.12248,5,0.12248,0
0.091434,2.4055,0.016752,0,2.2611,0.34413,1,0.13609,5,0.13609,0
0.10223,2.3739,0.020419,0,2.4408,0.37645,1,0.1497,5,0.1497,0
0.11302,2.3422,0.024086,0,2.6205,0.40878,1,0.16331,5,0.16331,0
0.12483,2.3057,0.0267,0,2.8112,0.44059,1,0.17692,5,0.17692,0
0.13911,2.2559,0.0275,0,3.0284,0.47115,1,0.19053,5,0.19053,0
0.15338,2.2061,0.0283,0,3.2457,0.50172,1,0.20414,5,0.20414,0
0.1679,2.1572,0.029392,0,3.4632,0.5321,1,0.21774,5,0.21774,0
0.18527,2.1065,0.02883,0,3.6858,0.56045,1,0.23135,5,0.23135,0
0.20317,2.0536,0.027178,0,3.9096,0.58845,1,0.24496,5,0.24496,0
0.22105,2.0007,0.025549,0,4.1334,0.61644,1,0.25857,5,0.25857,0
0.23913,1.9483,0.024917,0,4.356,0.64424,1,0.27218,5,0.27218,0
0.25932,1.8864,0.029281,0,4.5596,0.66969,1,0.28579,5,0.28579,0
0.27952,1.8243,0.034074,0,4.7619,0.69507,1,0.2994,5,0.2994,0
0.29999,1.7608,0.038962,0,4.9593,0.72008,1,0.31301,5,0.31301,0
0.32232,1.6869,0.044545,0,5.1197,0.74244,1,0.32662,5,0.32662,0
0.34466,1.6129,0.050127,0,5.28,0.7648,1,0.34023,5,0.34023,0
0.36698,1.5393,0.055349,0,5.4422,0.78725,1,0.35383,5,0.35383,0
0.39069,1.4631,0.054219,0,5.5612,0.80735,1,0.36744,5,0.36744,0
0.41487,1.3858,0.04882,0,5.6549,0.82628,1,0.38105,5,0.38105,0
0.43905,1.3086,0.043422,0,5.7486,0.84521,1,0.39466,5,0.39466,0
0.46328,1.2248,0.043105,0,5.8024,0.86236,1,0.40827,5,0.40827,0
0.48754,1.1374,0.045703,0,5.8333,0.87848,1,0.42188,5,0.42188,0
0.51164,1.0531,0.043595,0,5.83,0.89336,1,0.43549,5,0.43549,0
0.5355,0.973,0.037157,0,5.7909,0.90697,1,0.4491,5,0.4491,0
