"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.2764,0,0,0.89455,0,1,0,5,0,0
0,2.2706,-0.0022318,0,0.89989,0.022667,1,0.01,5,0.01,0
0,2.2648,-0.0044636,0,0.90522,0.045335,1,0.02,5,0.02,0
0,2.2589,-0.0066955,0,0.91056,0.068002,1,0.03,5,0.03,0
0,2.2531,-0.0089273,0,0.91589,0.090669,1,0.04,5,0.04,0
0,2.2473,-0.011149,0,0.92135,0.11336,1,0.05,5,0.05,0
0,2.2383,-0.012748,0,0.93718,0.13565,1,0.06,5,0.06,0
0,2.2288,-0.014538,0,0.9537,0.15785,1,0.07,5,0.07,0
0,2.2194,-0.016328,0,0.97023,0.18005,1,0.08,5,0.08,0
0,2.21,-0.018118,0,0.98676,0.20226,1,0.09,5,0.09,0
0,2.2005,-0.019908,0,1.0033,0.22446,1,0.1,5,0.1,0
0,2.19,-0.022206,0,1.0327,0.24628,1,0.11,5,0.11,0
0,2.1795,-0.024528,0,1.0626,0.26807,1,0.12,5,0.12,0
0,2.1689,-0.02685,0,1.0926,0.28987,1,0.13,5,0.13,0
0,2.1586,-0.028957,0,1.1229,0.31162,1,0.14,5,0.14,0
0,2.1489,-0.030344,0,1.1552,0.33319,1,0.15,5,0.15,0
0,2.1364,-0.032217,0,1.206,0.35438,1,0.16,5,0.16,0
0,2.1238,-0.034091,0,1.2568,0.37557,1,0.17,5,0.17,0
0,2.1112,-0.035965,0,1.3076,0.39675,1,0.18,5,0.18,0
0,2.0987,-0.037839,0,1.3584,0.41794,1,0.19,5,0.19,0
0,2.0862,-0.039551,0,1.4084,0.43914,1,0.2,5,0.2,0
0,2.0724,-0.040844,0,1.4815,0.45991,1,0.21,5,0.21,0
0,2.0568,-0.041902,0,1.5746,0.48021,1,0.22,5,0.22,0
0,2.0414,-0.042995,0,1.6653,0.50054,1,0.23,5,0.23,0
0,2.0261,-0.044087,0,1.756,0.52088,1,0.24,5,0.24,0
0,2.0108,-0.045179,0,1.8467,0.54121,1,0.25,5,0.25,0
0,1.9955,-0.046271,0,1.9375,0.56155,1,0.26,5,0.26,0
0,1.9788,-0.047744,0,2.038,0.58168,1,0.27,5,0.27,0
0,1.9577,-0.049932,0,2.172,0.60116,1,0.28,5,0.28,0
0,1.936,-0.05017,0,2.3278,0.62033,1,0.29,5,0.29,0
0,1.9142,-0.050408,0,2.4836,0.6395,1,0.3,5,0.3,0
0,1.8924,-0.050646,0,2.6394,0.65867,1,0.31,5,0.31,0
0,1.8695,-0.050944,0,2.8008,0.67771,1,0.32,5,0.32,0
0,1.8402,-0.051569,0,2.993,0.69608,1,0.33,5,0.33,0
0,1.8047,-0.0513,0,3.2017,0.71409,1,0.34,5,0.34,0
0,1.7682,-0.050897,0,3.4129,0.73205,1,0.35,5,0.35,0
0,1.7316,-0.050494,0,3.6242,0.75001,1,0.36,5,0.36,0
0,1.6935,-0.050512,0,3.8665,0.76722,1,0.37,5,0.37,0
0,1.6532,-0.051062,0,4.1479,0.7835,1,0.38,5,0.38,0
0,1.613,-0.051611,0,4.4294,0.79978,1,0.39,5,0.39,0
0,1.5728,-0.05216,0,4.7108,0.81606,1,0.4,5,0.4,0
