"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,1,0,5,0,0
0,0,0,0,0.0016257,0,1,0.001,5,0.001,0
0,0,0,0,0.0032514,0,1,0.002,5,0.002,0
0,0,0,0,0.0048772,0,1,0.003,5,0.003,0
0,0,0,0,0.0065029,0,1,0.004,5,0.004,0
0,0,0,0,0.0081287,0,1,0.005,5,0.005,0
0,0,0,0,0.0097545,0,1,0.006,5,0.006,0
0,0,0,0,0.01138,0,1,0.007,5,0.007,0
0,0,0,0,0.013006,0,1,0.008,5,0.008,0
0,0,0,0,0.014632,0,1,0.009,5,0.009,0
0,0,0,0,0.016258,0,1,0.01,5,0.01,0
0,0,0,0,0.017883,0,1,0.011,5,0.011,0
0,0,0,0,0.019509,0,1,0.012,5,0.012,0
0,0,0,0,0.021135,0,1,0.013,5,0.013,0
0,0,0,0,0.022761,0,1,0.014,5,0.014,0
0,0,0,0,0.024387,0,1,0.015,5,0.015,0
0,0,0,0,0.026013,0,1,0.016,5,0.016,0
0,0,0,0,0.027639,0,1,0.017,5,0.017,0
0,0,0,0,0.029264,0,1,0.018,5,0.018,0
0,0,0,0,0.03089,0,1,0.019,5,0.019,0
0,0,0,0,0.032516,0,1,0.02,5,0.02,0
0,0,0,0,0.034142,0,1,0.021,5,0.021,0
0,0,0,0,0.035768,0,1,0.022,5,0.022,0
0,0,0,0,0.037394,0,1,0.023,5,0.023,0
0,0,0,0,0.03902,0,1,0.024,5,0.024,0
0,0,0,0,0.040646,0,1,0.025,5,0.025,0
0,0,0,0,0.042272,0,1,0.026,5,0.026,0
0,0,0,0,0.043898,0,1,0.027,5,0.027,0
0,0,0,0,0.045524,0,1,0.028,5,0.028,0
0,0,0,0,0.04715,0,1,0.029,5,0.029,0
0,0,0,0,0.048776,0,1,0.03,5,0.03,0
0,0,0,0,0.050402,0,1,0.031,5,0.031,0
0,0,0,0,0.052028,0,1,0.032,5,0.032,0
0,0,0,0,0.053654,0,1,0.033,5,0.033,0
0,0,0,0,0.05528,0,1,0.034,5,0.034,0
0,0,0,0,0.056906,0,1,0.035,5,0.035,0
0,0,0,0,0.058532,0,1,0.036,5,0.036,0
0,0,0,0,0.060159,0,1,0.037,5,0.037,0
0,0,0,0,0.061785,0,1,0.038,5,0.038,0
0,0,0,0,0.063411,0,1,0.039,5,0.039,0
0,0,0,0,0.065037,0,1,0.04,5,0.04,0
0,0,0,0,0.066664,0,1,0.041,5,0.041,0
0,0,0,0,0.06829,0,1,0.042,5,0.042,0
0,0,0,0,0.069916,0,1,0.043,5,0.043,0
0,0,0,0,0.071543,0,1,0.044,5,0.044,0
0,0,0,0,0.073169,0,1,0.045,5,0.045,0
0,0,0,0,0.074796,0,1,0.046,5,0.046,0
0,0,0,0,0.076422,0,1,0.047,5,0.047,0
0,0,0,0,0.078049,0,1,0.048,5,0.048,0
