"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.0729,0,0,0,0.0014,1,0,5,0,0
0.00095075,2.0742,-2.5019e-05,0,0.0020858,0.001401,1,0.001,5,0.001,0
0.0019085,2.0754,-4.9986e-05,0,0.0041716,0.0014027,1,0.002,5,0.002,0
0.0028732,2.0766,-7.4901e-05,0,0.0062574,0.001405,1,0.003,5,0.003,0
0.0038449,2.0777,-9.9763e-05,0,0.0083432,0.001408,1,0.004,5,0.004,0
0.0048236,2.0787,-0.00012457,0,0.010429,0.0014116,1,0.005,5,0.005,0
0.0058092,2.0797,-0.00014933,0,0.012515,0.0014158,1,0.006,5,0.006,0
0.0068019,2.0807,-0.00017403,0,0.0146,0.0014207,1,0.007,5,0.007,0
0.0078015,2.0815,-0.00019869,0,0.016686,0.0014263,1,0.008,5,0.008,0
0.0088081,2.0824,-0.00022329,0,0.018772,0.0014325,1,0.009,5,0.009,0
0.0098217,2.0832,-0.00024783,0,0.020857,0.0014393,1,0.01,5,0.01,0
0.010842,2.0839,-0.00027233,0,0.022943,0.0014468,1,0.011,5,0.011,0
0.01187,2.0845,-0.00029677,0,0.025029,0.0014549,1,0.012,5,0.012,0
0.012904,2.0852,-0.00032116,0,0.027114,0.0014637,1,0.013,5,0.013,0
0.013946,2.0857,-0.0003455,0,0.0292,0.0014731,1,0.014,5,0.014,0
0.014994,2.0862,-0.00036978,0,0.031285,0.0014832,1,0.015,5,0.015,0
0.01605,2.0867,-0.00039402,0,0.033371,0.0014939,1,0.016,5,0.016,0
0.017112,2.0871,-0.0004182,0,0.035456,0.0015053,1,0.017,5,0.017,0
0.018182,2.0874,-0.00044233,0,0.037542,0.0015173,1,0.018,5,0.018,0
0.019258,2.0877,-0.0004664,0,0.039627,0.0015299,1,0.019,5,0.019,0
0.020342,2.0879,-0.00049042,0,0.041713,0.0015432,1,0.02,5,0.02,0
0.021432,2.0881,-0.00051439,0,0.043798,0.0015572,1,0.021,5,0.021,0
0.022529,2.0882,-0.00053831,0,0.045883,0.0015718,1,0.022,5,0.022,0
0.023634,2.0883,-0.00056218,0,0.047969,0.001587,1,0.023,5,0.023,0
0.024745,2.0883,-0.00058599,0,0.050054,0.0016029,1,0.024,5,0.024,0
0.025864,2.0882,-0.00060975,0,0.05214,0.0016194,1,0.025,5,0.025,0
0.026989,2.0881,-0.00063346,0,0.054225,0.0016366,1,0.026,5,0.026,0
