"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,2.5446,0,0,0.00093523,0,3.714,0,0,0,0,0,1,0,5,0,0
0.0036458,0,0,0,2.541,0,0,0.00089938,0,3.7119,-0.00016876,0,0,0,0,1,0.001,5,0.001,0
0.0072917,0,0,0,2.5374,0,0,0.00086352,0,3.7097,-0.00033752,0,0,0,0,1,0.002,5,0.002,0
0.010938,0,0,0,2.5339,0,0,0.00082767,0,3.7075,-0.00050628,0,0,0,0,1,0.003,5,0.003,0
0.014583,0,0,0,2.5303,0,0,0.00079181,0,3.7053,-0.00067504,0,0,0,0,1,0.004,5,0.004,0
0.018229,0,0,0,2.5267,0,0,0.00075596,0,3.7031,-0.0008438,0,0,0,0,1,0.005,5,0.005,0
0.021875,0,0,0,2.5232,0,0,0.0007201,0,3.7009,-0.0010126,0,0,0,0,1,0.006,5,0.006,0
0.025521,0,0,0,2.5196,0,0,0.00068425,0,3.6987,-0.0011813,0,0,0,0,1,0.007,5,0.007,0
0.029167,0,0,0,2.516,0,0,0.00064839,0,3.6965,-0.0013501,0,0,0,0,1,0.008,5,0.008,0
0.032813,0,0,0,2.5125,0,0,0.00061254,0,3.6943,-0.0015188,0,0,0,0,1,0.009,5,0.009,0
0.036458,0,0,0,2.5089,0,0,0.00057668,0,3.6921,-0.0016876,0,0,0,0,1,0.01,5,0.01,0
0.040104,0,0,0,2.5053,0,0,0.00054083,0,3.6899,-0.0018564,0,0,0,0,1,0.011,5,0.011,0
0.04375,0,0,0,2.5017,0,0,0.00050497,0,3.6878,-0.0020251,0,0,0,0,1,0.012,5,0.012,0
0.047396,0,0,0,2.4982,0,0,0.00046912,0,3.6856,-0.0021939,0,0,0,0,1,0.013,5,0.013,0
0.051042,0,0,0,2.4946,0,0,0.00043326,0,3.6834,-0.0023626,0,0,0,0,1,0.014,5,0.014,0
0.054688,0,0,0,2.491,0,0,0.00039741,0,3.6812,-0.0025314,0,0,0,0,1,0.015,5,0.015,0
0.058333,0,0,0,2.4875,0,0,0.00036155,0,3.679,-0.0027002,0,0,0,0,1,0.016,5,0.016,0
0.061979,0,0,0,2.4839,0,0,0.0003257,0,3.6768,-0.0028689,0,0,0,0,1,0.017,5,0.017,0
0.065625,0,0,0,2.4803,0,0,0.00028984,0,3.6746,-0.0030377,0,0,0,0,1,0.018,5,0.018,0
0.069271,0,0,0,2.4768,0,0,0.00025399,0,3.6724,-0.0032064,0,0,0,0,1,0.019,5,0.019,0
0.072917,0,0,0,2.4732,0,0,0.00021813,0,3.6702,-0.0033752,0,0,0,0,1,0.02,5,0.02,0
0.076563,0,0,0,2.4696,0,0,0.00018228,0,3.668,-0.003544,0,0,0,0,1,0.021,5,0.021,0
0.080209,0,0,0,2.466,0,0,0.00014642,0,3.6658,-0.0037127,0,0,0,0,1,0.022,5,0.022,0
0.083854,0,0,0,2.4625,0,0,0.00011057,0,3.6636,-0.0038815,0,0,0,0,1,0.023,5,0.023,0
0.0875,0,0,0,2.4589,0,0,7.4714e-05,0,3.6615,-0.0040502,0,0,0,0,1,0.024,5,0.024,0
0.091146,0,0,0,2.4553,0,0,3.886e-05,0,3.6593,-0.004219,0,0,0,0,1,0.025,5,0.025,0
0.094792,0,0,0,2.4518,0,0,3.0046e-06,0,3.6571,-0.0043878,0,0,0,0,1,0.026,5,0.026,0
0.098438,0,0,0,2.4482,0,0,-3.285e-05,0,3.6549,-0.0045565,0,0,0,0,1,0.027,5,0.027,0
0.10208,0,0,0,2.4446,0,0,-6.8705e-05,0,3.6527,-0.0047253,0,0,0,0,1,0.028,5,0.028,0
0.10573,0,0,0,2.4411,0,0,-0.00010456,0,3.6505,-0.004894,0,0,0,0,1,0.029,5,0.029,0
0.10938,0,0,0,2.4375,0,0,-0.00014042,0,3.6483,-0.0050628,0,0,0,0,1,0.03,5,0.03,0
0.11302,0,0,0,2.4339,0,0,-0.00017627,0,3.6461,-0.0052316,0,0,0,0,1,0.031,5,0.031,0
0.11667,0,0,0,2.4303,0,0,-0.00021213,0,3.6439,-0.0054003,0,0,0,0,1,0.032,5,0.032,0
0.12031,0,0,0,2.4268,0,0,-0.00024798,0,3.6417,-0.0055691,0,0,0,0,1,0.033,5,0.033,0
0.12396,0,0,0,2.4232,0,0,-0.00028383,0,3.6395,-0.0057378,0,0,0,0,1,0.034,5,0.034,0
0.1276,0,0,0,2.4196,0,0,-0.00031969,0,3.6374,-0.0059066,0,0,0,0,1,0.035,5,0.035,0
0.13125,0,0,0,2.4161,0,0,-0.00035554,0,3.6352,-0.0060754,0,0,0,0,1,0.036,5,0.036,0
0.1349,0,0,0,2.4125,0,0,-0.0003914,0,3.633,-0.0062441,0,0,0,0,1,0.037,5,0.037,0
0.13854,0,0,0,2.4089,0,0,-0.00042725,0,3.6308,-0.0064129,0,0,0,0,1,0.038,5,0.038,0
0.14219,0,0,0,2.4054,0,0,-0.00046311,0,3.6286,-0.0065816,0,0,0,0,1,0.039,5,0.039,0
0.14583,0,0,0,2.4018,0,0,-0.00049896,0,3.6264,-0.0067504,0,0,0,0,1,0.04,5,0.04,0
0.14948,0,0,0,2.3982,0,0,-0.00053482,0,3.6242,-0.0069192,0,0,0,0,1,0.041,5,0.041,0
0.15313,0,0,0,2.3946,0,0,-0.00057067,0,3.622,-0.0070879,0,0,0,0,1,0.042,5,0.042,0
0.15677,0,0,0,2.3911,0,0,-0.00060653,0,3.6198,-0.0072567,0,0,0,0,1,0.043,5,0.043,0
0.16042,0,0,0,2.3875,0,0,-0.00064238,0,3.6176,-0.0074255,0,0,0,0,1,0.044,5,0.044,0
0.16406,0,0,0,2.3839,0,0,-0.00067824,0,3.6154,-0.0075942,0,0,0,0,1,0.045,5,0.045,0
0.16771,0,0,0,2.3804,0,0,-0.00071409,0,3.6133,-0.007763,0,0,0,0,1,0.046,5,0.046,0
0.17135,0,0,0,2.3768,0,0,-0.00074995,0,3.6111,-0.0079317,0,0,0,0,1,0.047,5,0.047,0
0.175,0,0,0,2.3732,0,0,-0.0007858,0,3.6089,-0.0081005,0,0,0,0,1,0.048,5,0.048,0
0.17865,0,0,0,2.3697,0,0,-0.00082166,0,3.6067,-0.0082693,0,0,0,0,1,0.049,5,0.049,0
0.18229,0,0,0,2.3661,0,0,-0.00085751,0,3.6045,-0.008438,0,0,0,0,1,0.05,5,0.05,0
0.18594,0,0,0,2.3625,0,0,-0.00089337,0,3.6023,-0.0086068,0,0,0,0,1,0.051,5,0.051,0
0.18958,0,0,0,2.359,0,0,-0.00092922,0,3.6001,-0.0087755,0,0,0,0,1,0.052,5,0.052,0
0.19323,0,0,0,2.3554,0,0,-0.00096508,0,3.5979,-0.0089443,0,0,0,0,1,0.053,5,0.053,0
0.19688,0,0,0,2.3518,0,0,-0.0010009,0,3.5957,-0.0091131,0,0,0,0,1,0.054,5,0.054,0
0.20052,0,0,0,2.3483,0,0,-0.0010367,0,3.5935,-0.0092876,0,0,0,0,1,0.055,5,0.055,0
0.20417,0,0,0,2.3454,0,0,-0.001072,0,3.5912,-0.0095283,0,0,0,0,1,0.056,5,0.056,0
0.20782,0,0,0,2.3425,0,0,-0.0011073,0,3.5889,-0.009769,0,0,0,0,1,0.057,5,0.057,0
0.21147,0,0,0,2.3396,0,0,-0.0011425,0,3.5866,-0.01001,0,0,0,0,1,0.058,5,0.058,0
0.21513,0,0,0,2.3367,0,0,-0.0011778,0,3.5843,-0.01025,0,0,0,0,1,0.059,5,0.059,0
0.21876,0,0,0,2.3372,0,0,-0.0012094,0,3.5819,-0.010464,0,0,0,0,1,0.06,5,0.06,0
0.22226,0,0,0,2.3631,0,0,-0.0012145,0,3.5788,-0.010474,0,0,0,0,1,0.061,5,0.061,0
0.22576,0,0,0,2.389,0,0,-0.0012196,0,3.5757,-0.010484,0,0,0,0,1,0.062,5,0.062,0
0.22927,0,0,0,2.4149,0,0,-0.0012247,0,3.5726,-0.010495,0,0,0,0,1,0.063,5,0.063,0
0.23277,0,0,0,2.4408,0,0,-0.0012297,0,3.5695,-0.010505,0,0,0,0,1,0.064,5,0.064,0
0.23628,0,0,0,2.4663,0,0,-0.0012353,0,3.5665,-0.010503,0,0,0,0,1,0.065,5,0.065,0
0.23979,0,0,0,2.4916,0,0,-0.0012412,0,3.5636,-0.010493,0,0,0,0,1,0.066,5,0.066,0
0.2433,0,0,0,2.5168,0,0,-0.001247,0,3.5607,-0.010483,0,0,0,0,1,0.067,5,0.067,0
0.2468,0,0,0,2.542,0,0,-0.0012529,0,3.5578,-0.010473,0,0,0,0,1,0.068,5,0.068,0
0.25031,0,0,0,2.5673,0,0,-0.0012588,0,3.5549,-0.010463,0,0,0,0,1,0.069,5,0.069,0
0.25382,0,0,0,2.5925,0,0,-0.0012647,0,3.552,-0.010453,0,0,0,0,1,0.07,5,0.07,0
0.25733,0,0,0,2.6178,0,0,-0.0012706,0,3.5491,-0.010443,0,0,0,0,1,0.071,5,0.071,0
0.26084,0,0,0,2.643,0,0,-0.0012764,0,3.5462,-0.010433,0,0,0,0,1,0.072,5,0.072,0
0.26435,0,0,0,2.6682,0,0,-0.0012823,0,3.5433,-0.010423,0,0,0,0,1,0.073,5,0.073,0
0.26786,0,0,0,2.6935,0,0,-0.0012882,0,3.5404,-0.010413,0,0,0,0,1,0.074,5,0.074,0
0.27137,0,0,0,2.7187,0,0,-0.0012941,0,3.5375,-0.010402,0,0,0,0,1,0.075,5,0.075,0
0.27488,0,0,0,2.7439,0,0,-0.0013,0,3.5346,-0.010392,0,0,0,0,1,0.076,5,0.076,0
0.27839,0,0,0,2.7692,0,0,-0.0013058,0,3.5317,-0.010382,0,0,0,0,1,0.077,5,0.077,0
0.2819,0,0,0,2.7944,0,0,-0.0013117,0,3.5288,-0.010372,0,0,0,0,1,0.078,5,0.078,0
0.28541,0,0,0,2.8196,0,0,-0.0013176,0,3.5259,-0.010362,0,0,0,0,1,0.079,5,0.079,0
0.28892,0,0,0,2.8449,0,0,-0.0013235,0,3.523,-0.010352,0,0,0,0,1,0.08,5,0.08,0
0.29243,0,0,0,2.8701,0,0,-0.0013294,0,3.5201,-0.010342,0,0,0,0,1,0.081,5,0.081,0
0.29594,0,0,0,2.8954,0,0,-0.0013352,0,3.5172,-0.010332,0,0,0,0,1,0.082,5,0.082,0
0.29945,0,0,0,2.9206,0,0,-0.0013411,0,3.5142,-0.010322,0,0,0,0,1,0.083,5,0.083,0
0.30296,0,0,0,2.9458,0,0,-0.001347,0,3.5113,-0.010312,0,0,0,0,1,0.084,5,0.084,0
0.30647,0,0,0,2.9711,0,0,-0.0013529,0,3.5084,-0.010302,0,0,0,0,1,0.085,5,0.085,0
0.30998,0,0,0,2.9963,0,0,-0.0013588,0,3.5055,-0.010292,0,0,0,0,1,0.086,5,0.086,0
0.31349,0,0,0,3.0215,0,0,-0.0013646,0,3.5026,-0.010281,0,0,0,0,1,0.087,5,0.087,0
0.317,0,0,0,3.0468,0,0,-0.0013705,0,3.4997,-0.010271,0,0,0,0,1,0.088,5,0.088,0
0.32051,0,0,0,3.072,0,0,-0.0013764,0,3.4968,-0.010261,0,0,0,0,1,0.089,5,0.089,0
0.32402,0,0,0,3.0972,0,0,-0.0013823,0,3.4939,-0.010251,0,0,0,0,1,0.09,5,0.09,0
0.32752,0,0,0,3.1225,0,0,-0.0013882,0,3.491,-0.010241,0,0,0,0,1,0.091,5,0.091,0
0.33103,0,0,0,3.1477,0,0,-0.001394,0,3.4881,-0.010231,0,0,0,0,1,0.092,5,0.092,0
0.33454,0,0,0,3.173,0,0,-0.0013999,0,3.4852,-0.010221,0,0,0,0,1,0.093,5,0.093,0
0.33805,0,0,0,3.1982,0,0,-0.0014058,0,3.4823,-0.010211,0,0,0,0,1,0.094,5,0.094,0
0.34156,0,0,0,3.2234,0,0,-0.0014117,0,3.4794,-0.010201,0,0,0,0,1,0.095,5,0.095,0
0.34507,0,0,0,3.2487,0,0,-0.0014175,0,3.4765,-0.010191,0,0,0,0,1,0.096,5,0.096,0
0.34858,0,0,0,3.2739,0,0,-0.0014234,0,3.4736,-0.010181,0,0,0,0,1,0.097,5,0.097,0
0.35209,0,0,0,3.2991,0,0,-0.0014293,0,3.4707,-0.010171,0,0,0,0,1,0.098,5,0.098,0
0.3556,0,0,0,3.3244,0,0,-0.0014352,0,3.4678,-0.010161,0,0,0,0,1,0.099,5,0.099,0
0.35911,0,0,0,3.3496,0,0,-0.0014411,0,3.4649,-0.01015,0,0,0,0,1,0.1,5,0.1,0
0.36262,0,0,0,3.3749,0,0,-0.0014469,0,3.462,-0.01014,0,0,0,0,1,0.101,5,0.101,0
0.36613,0,0,0,3.4001,0,0,-0.0014528,0,3.4591,-0.01013,0,0,0,0,1,0.102,5,0.102,0
0.36964,0,0,0,3.4253,0,0,-0.0014587,0,3.4562,-0.01012,0,0,0,0,1,0.103,5,0.103,0
0.37315,0,0,0,3.4506,0,0,-0.0014646,0,3.4533,-0.01011,0,0,0,0,1,0.104,5,0.104,0
0.37666,0,0,0,3.4758,0,0,-0.0014705,0,3.4504,-0.0101,0,0,0,0,1,0.105,5,0.105,0
0.38017,0,0,0,3.501,0,0,-0.0014763,0,3.4475,-0.01009,0,0,0,0,1,0.106,5,0.106,0
0.38368,0,0,0,3.5263,0,0,-0.0014822,0,3.4446,-0.01008,0,0,0,0,1,0.107,5,0.107,0
0.38719,0,0,0,3.5515,0,0,-0.0014881,0,3.4417,-0.01007,0,0,0,0,1,0.108,5,0.108,0
0.3907,0,0,0,3.5767,0,0,-0.001494,0,3.4388,-0.01006,0,0,0,0,1,0.109,5,0.109,0
0.39421,0,0,0,3.602,0,0,-0.0014999,0,3.4359,-0.01005,0,0,0,0,1,0.11,5,0.11,0
0.39772,0,0,0,3.6272,0,0,-0.0015057,0,3.433,-0.01004,0,0,0,0,1,0.111,5,0.111,0
0.40123,0,0,0,3.6525,0,0,-0.0015116,0,3.4301,-0.010029,0,0,0,0,1,0.112,5,0.112,0
0.40457,0,0,0,3.6977,0,0,-0.0014958,0,3.4255,-0.0097806,0,0,0,0,1,0.113,5,0.113,0
0.40789,0,0,0,3.7452,0,0,-0.0014776,0,3.4207,-0.009506,0,0,0,0,1,0.114,5,0.114,0
0.41121,0,0,0,3.7926,0,0,-0.0014594,0,3.4159,-0.0092315,0,0,0,0,1,0.115,5,0.115,0
0.41453,0,0,0,3.84,0,0,-0.0014412,0,3.4112,-0.0089569,0,0,0,0,1,0.116,5,0.116,0
0.41785,0,0,0,3.8875,0,0,-0.001423,0,3.4064,-0.0086824,0,0,0,0,1,0.117,5,0.117,0
0.42117,0,0,0,3.9349,0,0,-0.0014049,0,3.4016,-0.0084078,0,0,0,0,1,0.118,5,0.118,0
0.42449,0,0,0,3.9823,0,0,-0.0013867,0,3.3968,-0.0081332,0,0,0,0,1,0.119,5,0.119,0
0.42782,0,0,0,4.0298,0,0,-0.0013685,0,3.392,-0.0078587,0,0,0,0,1,0.12,5,0.12,0
0.43114,0,0,0,4.0772,0,0,-0.0013503,0,3.3872,-0.0075841,0,0,0,0,1,0.121,5,0.121,0
0.43446,0,0,0,4.1246,0,0,-0.0013321,0,3.3825,-0.0073095,0,0,0,0,1,0.122,5,0.122,0
0.43778,0,0,0,4.1721,0,0,-0.0013139,0,3.3777,-0.007035,0,0,0,0,1,0.123,5,0.123,0
0.4411,0,0,0,4.2195,0,0,-0.0012958,0,3.3729,-0.0067604,0,0,0,0,1,0.124,5,0.124,0
0.44442,0,0,0,4.2669,0,0,-0.0012776,0,3.3681,-0.0064858,0,0,0,0,1,0.125,5,0.125,0
0.44774,0,0,0,4.3144,0,0,-0.0012594,0,3.3633,-0.0062113,0,0,0,0,1,0.126,5,0.126,0
0.45107,0,0,0,4.3618,0,0,-0.0012412,0,3.3586,-0.0059367,0,0,0,0,1,0.127,5,0.127,0
0.45439,0,0,0,4.4092,0,0,-0.001223,0,3.3538,-0.0056621,0,0,0,0,1,0.128,5,0.128,0
0.45771,0,0,0,4.4567,0,0,-0.0012048,0,3.349,-0.0053876,0,0,0,0,1,0.129,5,0.129,0
0.46103,0,0,0,4.5041,0,0,-0.0011867,0,3.3442,-0.005113,0,0,0,0,1,0.13,5,0.13,0
0.46435,0,0,0,4.5515,0,0,-0.0011685,0,3.3394,-0.0048384,0,0,0,0,1,0.131,5,0.131,0
0.46767,0,0,0,4.599,0,0,-0.0011503,0,3.3347,-0.0045639,0,0,0,0,1,0.132,5,0.132,0
0.47099,0,0,0,4.6464,0,0,-0.0011321,0,3.3299,-0.0042893,0,0,0,0,1,0.133,5,0.133,0
0.47432,0,0,0,4.6939,0,0,-0.0011139,0,3.3251,-0.0040148,0,0,0,0,1,0.134,5,0.134,0
0.47764,0,0,0,4.7413,0,0,-0.0010957,0,3.3203,-0.0037402,0,0,0,0,1,0.135,5,0.135,0
0.48096,0,0,0,4.7887,0,0,-0.0010776,0,3.3155,-0.0034656,0,0,0,0,1,0.136,5,0.136,0
0.48428,0,0,0,4.8362,0,0,-0.0010594,0,3.3107,-0.0031911,0,0,0,0,1,0.137,5,0.137,0
0.4876,0,0,0,4.8836,0,0,-0.0010412,0,3.306,-0.0029165,0,0,0,0,1,0.138,5,0.138,0
