"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.017385,3.5626,0,0,0.69292,0,1,0,5,0,0
0.020591,3.5546,-0.00079032,0,0.8138,0.035424,1,0.01,5,0.01,0
0.023796,3.5465,-0.0015806,0,0.93468,0.070848,1,0.02,5,0.02,0
0.027001,3.5384,-0.002371,0,1.0556,0.10627,1,0.03,5,0.03,0
0.030207,3.5303,-0.0031613,0,1.1764,0.1417,1,0.04,5,0.04,0
0.033412,3.5223,-0.0039516,0,1.2973,0.17712,1,0.05,5,0.05,0
0.036617,3.5142,-0.0047419,0,1.4182,0.21254,1,0.06,5,0.06,0
0.039823,3.5061,-0.0055323,0,1.5391,0.24797,1,0.07,5,0.07,0
0.043419,3.4942,-0.0066308,0,1.676,0.28335,1,0.08,5,0.08,0
0.05272,3.4657,-0.0056209,0,2.0304,0.31767,1,0.09,5,0.09,0
0.063412,3.438,-0.0061524,0,2.4334,0.35185,1,0.1,5,0.1,0
0.074104,3.4103,-0.0066838,0,2.8364,0.38602,1,0.11,5,0.11,0
0.084796,3.3826,-0.0072153,0,3.2394,0.42019,1,0.12,5,0.12,0
0.095488,3.3549,-0.0077467,0,3.6424,0.45436,1,0.13,5,0.13,0
0.10727,3.3224,-0.0059482,0,4.0916,0.48818,1,0.14,5,0.14,0
0.12423,3.2671,0.0068697,0,4.7593,0.52032,1,0.15,5,0.15,0
0.14118,3.2118,0.019688,0,5.427,0.55247,1,0.16,5,0.16,0
0.15811,3.1566,0.032321,0,6.0933,0.58463,1,0.17,5,0.17,0
0.17845,3.0811,0.032308,0,6.904,0.61557,1,0.18,5,0.18,0
0.20058,2.9938,0.026695,0,7.7923,0.64572,1,0.19,5,0.19,0
0.22272,2.9065,0.021083,0,8.6807,0.67588,1,0.2,5,0.2,0
0.24578,2.8165,0.021421,0,9.5821,0.70531,1,0.21,5,0.21,0
0.27259,2.7161,0.045818,0,10.536,0.73183,1,0.22,5,0.22,0
0.29939,2.6156,0.070215,0,11.491,0.75834,1,0.23,5,0.23,0
0.32734,2.4947,0.084476,0,12.452,0.7841,1,0.24,5,0.24,0
0.35436,2.361,0.08582,0,13.279,0.80841,1,0.25,5,0.25,0
0.38137,2.2272,0.087163,0,14.106,0.83271,1,0.26,5,0.26,0
0.40678,2.0708,0.079769,0,14.548,0.85307,1,0.27,5,0.27,0
0.43146,1.9043,0.06844,0,14.816,0.87165,1,0.28,5,0.28,0
0.45616,1.7457,0.063838,0,15.039,0.88964,1,0.29,5,0.29,0
0.48089,1.601,0.07095,0,15.186,0.9066,1,0.3,5,0.3,0
0.50562,1.4562,0.078062,0,15.332,0.92355,1,0.31,5,0.31,0
0.5222,1.3087,0.089388,0,15.077,0.93686,1,0.32,5,0.32,0
0.53743,1.1609,0.10142,0,14.755,0.94957,1,0.33,5,0.33,0
0.54922,1.0116,0.098154,0,14.119,0.95949,1,0.34,5,0.34,0
0.55945,0.86168,0.087928,0,13.339,0.96814,1,0.35,5,0.35,0
0.56968,0.71176,0.077701,0,12.56,0.97679,1,0.36,5,0.36,0
0.57651,0.59274,0.070507,0,11.727,0.98384,1,0.37,5,0.37,0
0.5791,0.48403,0.063004,0,10.699,0.98812,1,0.38,5,0.38,0
0.58145,0.37583,0.055472,0,9.6604,0.99225,1,0.39,5,0.39,0
0.5838,0.26762,0.04794,0,8.6215,0.99637,1,0.4,5,0.4,0
0.58471,0.19881,0.040666,0,7.5103,0.9983,1,0.41,5,0.41,0
0.58519,0.14262,0.033649,0,6.3741,0.99955,1,0.42,5,0.42,0
0.58568,0.086435,0.026631,0,5.2379,1.0008,1,0.43,5,0.43,0
0.58607,0.030164,0.0195,0,4.0974,1.002,1,0.44,5,0.44,0
0.58553,0.0010591,0.013264,0,2.9131,1.0018,1,0.45,5,0.45,0
0.58672,-0.02547,0.007999,0,1.7515,1.0015,1,0.46,5,0.46,0
0.58792,-0.051999,0.0027346,0,0.58991,1.0012,1,0.47,5,0.47,0
0.58764,-0.039988,0.0010266,0,-0.60288,1.0008,1,0.48,5,0.48,0
0.58796,-0.020538,0.00044313,0,-1.7774,1.0004,1,0.49,5,0.49,0
0.58849,-0.0005982,1.2907e-05,0,-2.9463,1,1,0.5,5,0.5,0
nan,nan,nan,nan,nan,nan,0,0.51,5,0.51,0
nan,nan,nan,nan,nan,nan,0,0.52,5,0.52,0
nan,nan,nan,nan,nan,nan,0,0.53,5,0.53,0
nan,nan,nan,nan,nan,nan,0,0.54,5,0.54,0
nan,nan,nan,nan,nan,nan,0,0.55,5,0.55,0
nan,nan,nan,nan,nan,nan,0,0.56,5,0.56,0
nan,nan,nan,nan,nan,nan,0,0.57,5,0.57,0
nan,nan,nan,nan,nan,nan,0,0.58,5,0.58,0
nan,nan,nan,nan,nan,nan,0,0.59,5,0.59,0
nan,nan,nan,nan,nan,nan,0,0.6,5,0.6,0
nan,nan,nan,nan,nan,nan,0,0.61,5,0.61,0
nan,nan,nan,nan,nan,nan,0,0.62,5,0.62,0
nan,nan,nan,nan,nan,nan,0,0.63,5,0.63,0
nan,nan,nan,nan,nan,nan,0,0.64,5,0.64,0
nan,nan,nan,nan,nan,nan,0,0.65,5,0.65,0
nan,nan,nan,nan,nan,nan,0,0.66,5,0.66,0
nan,nan,nan,nan,nan,nan,0,0.67,5,0.67,0
nan,nan,nan,nan,nan,nan,0,0.68,5,0.68,0
nan,nan,nan,nan,nan,nan,0,0.69,5,0.69,0
nan,nan,nan,nan,nan,nan,0,0.7,5,0.7,0
nan,nan,nan,nan,nan,nan,0,0.71,5,0.71,0
nan,nan,nan,nan,nan,nan,0,0.72,5,0.72,0
nan,nan,nan,nan,nan,nan,0,0.73,5,0.73,0
nan,nan,nan,nan,nan,nan,0,0.74,5,0.74,0
