"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3.2386,0,0,0,0.00635,1,0,5,0,0
0.0086691,3.2382,-0.00013548,0,0.0032403,0.0063342,1,0.001,5,0.001,0
0.017383,3.2378,-0.00026959,0,0.0064801,0.0063231,1,0.002,5,0.002,0
0.02614,3.2375,-0.00040231,0,0.0097193,0.0063167,1,0.003,5,0.003,0
0.034942,3.2371,-0.00053365,0,0.012958,0.006315,1,0.004,5,0.004,0
0.043788,3.2367,-0.00066362,0,0.016196,0.0063179,1,0.005,5,0.005,0
0.052679,3.2363,-0.00079221,0,0.019434,0.0063256,1,0.006,5,0.006,0
0.061613,3.2359,-0.00091941,0,0.022671,0.0063379,1,0.007,5,0.007,0
0.070592,3.2355,-0.0010452,0,0.025908,0.0063549,1,0.008,5,0.008,0
0.079615,3.2351,-0.0011697,0,0.029144,0.0063765,1,0.009,5,0.009,0
0.088683,3.2347,-0.0012928,0,0.03238,0.0064029,1,0.01,5,0.01,0
0.097794,3.2343,-0.0014144,0,0.035615,0.0064339,1,0.011,5,0.011,0
0.10695,3.2339,-0.0015348,0,0.038849,0.0064696,1,0.012,5,0.012,0
0.11615,3.2335,-0.0016537,0,0.042083,0.00651,1,0.013,5,0.013,0
0.12539,3.2331,-0.0017712,0,0.045317,0.0065551,1,0.014,5,0.014,0
0.13468,3.2326,-0.0018874,0,0.04855,0.0066048,1,0.015,5,0.015,0
0.14402,3.2322,-0.0020022,0,0.051782,0.0066592,1,0.016,5,0.016,0
0.15339,3.2318,-0.0021156,0,0.055014,0.0067183,1,0.017,5,0.017,0
0.16281,3.2313,-0.0022276,0,0.058246,0.0067821,1,0.018,5,0.018,0
0.17228,3.2309,-0.0023383,0,0.061477,0.0068506,1,0.019,5,0.019,0
0.18179,3.2304,-0.0024476,0,0.064707,0.0069237,1,0.02,5,0.02,0
0.19134,3.23,-0.0025555,0,0.067937,0.0070016,1,0.021,5,0.021,0
0.20094,3.2295,-0.002662,0,0.071166,0.0070841,1,0.022,5,0.022,0
0.21059,3.2291,-0.0027671,0,0.074395,0.0071712,1,0.023,5,0.023,0
0.22027,3.2286,-0.0028709,0,0.077623,0.0072631,1,0.024,5,0.024,0
0.23,3.2281,-0.0029732,0,0.080851,0.0073596,1,0.025,5,0.025,0
0.23978,3.2276,-0.0030742,0,0.084078,0.0074609,1,0.026,5,0.026,0
0.2496,3.2272,-0.0031739,0,0.087305,0.0075668,1,0.027,5,0.027,0
0.25946,3.2267,-0.0032721,0,0.090531,0.0076773,1,0.028,5,0.028,0
0.26937,3.2262,-0.003369,0,0.093757,0.0077926,1,0.029,5,0.029,0
0.27932,3.2257,-0.0034644,0,0.096982,0.0079125,1,0.03,5,0.03,0
0.28932,3.2252,-0.0035585,0,0.10021,0.0080372,1,0.031,5,0.031,0
0.29936,3.2247,-0.0036513,0,0.10343,0.0081665,1,0.032,5,0.032,0
0.30945,3.2242,-0.0037426,0,0.10665,0.0083004,1,0.033,5,0.033,0
0.31958,3.2237,-0.0038326,0,0.10988,0.0084391,1,0.034,5,0.034,0
0.32975,3.2231,-0.0039211,0,0.1131,0.0085824,1,0.035,5,0.035,0
0.33997,3.2226,-0.0040083,0,0.11632,0.0087305,1,0.036,5,0.036,0
0.35023,3.2221,-0.0040942,0,0.11954,0.0088832,1,0.037,5,0.037,0
0.36054,3.2215,-0.0041786,0,0.12276,0.0090405,1,0.038,5,0.038,0
0.37089,3.221,-0.0042617,0,0.12599,0.0092026,1,0.039,5,0.039,0
0.38128,3.2205,-0.0043434,0,0.12921,0.0093693,1,0.04,5,0.04,0
0.39172,3.2199,-0.0044237,0,0.13242,0.0095407,1,0.041,5,0.041,0
0.4022,3.2194,-0.0045026,0,0.13564,0.0097168,1,0.042,5,0.042,0
0.41273,3.2188,-0.0045801,0,0.13886,0.0098976,1,0.043,5,0.043,0
0.4233,3.2182,-0.0046563,0,0.14208,0.010083,1,0.044,5,0.044,0
0.43392,3.2177,-0.0047311,0,0.1453,0.010273,1,0.045,5,0.045,0
0.44458,3.2171,-0.0048045,0,0.14851,0.010468,1,0.046,5,0.046,0
0.45528,3.2165,-0.0048765,0,0.15173,0.010668,1,0.047,5,0.047,0
0.46603,3.216,-0.0049472,0,0.15495,0.010872,1,0.048,5,0.048,0
0.47683,3.2154,-0.0050164,0,0.15816,0.011081,1,0.049,5,0.049,0
0.48766,3.2148,-0.0050843,0,0.16138,0.011294,1,0.05,5,0.05,0
0.49855,3.2142,-0.0051508,0,0.16459,0.011512,1,0.051,5,0.051,0
0.50947,3.2136,-0.005216,0,0.1678,0.011735,1,0.052,5,0.052,0
