"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.6264,0,0,0,2.9234e-05,1,0,5,0,0
-3.2929e-08,2.6263,-7.2841e-05,0,0.0026309,2.913e-05,1,0.001,5,0.001,0
-6.2753e-08,2.6263,-0.00014166,0,0.0052615,2.9025e-05,1,0.002,5,0.002,0
-8.947e-08,2.6263,-0.00020646,0,0.0078917,2.892e-05,1,0.003,5,0.003,0
-1.1308e-07,2.6262,-0.00026725,0,0.010522,2.8815e-05,1,0.004,5,0.004,0
-1.3359e-07,2.6262,-0.00032401,0,0.013151,2.8709e-05,1,0.005,5,0.005,0
-1.5099e-07,2.6261,-0.00037676,0,0.01578,2.8602e-05,1,0.006,5,0.006,0
-1.6528e-07,2.6261,-0.00042548,0,0.018409,2.8495e-05,1,0.007,5,0.007,0
-1.7647e-07,2.626,-0.00047019,0,0.021038,2.8388e-05,1,0.008,5,0.008,0
-1.8455e-07,2.6259,-0.00051088,0,0.023666,2.828e-05,1,0.009,5,0.009,0
-1.8952e-07,2.6258,-0.00054755,0,0.026293,2.8171e-05,1,0.01,5,0.01,0
-1.9139e-07,2.6257,-0.0005802,0,0.028921,2.8062e-05,1,0.011,5,0.011,0
-1.9016e-07,2.6256,-0.00060883,0,0.031548,2.7953e-05,1,0.012,5,0.012,0
-1.8581e-07,2.6255,-0.00063344,0,0.034174,2.7843e-05,1,0.013,5,0.013,0
-1.7837e-07,2.6254,-0.00065403,0,0.036801,2.7732e-05,1,0.014,5,0.014,0
-1.6781e-07,2.6252,-0.00067061,0,0.039427,2.7621e-05,1,0.015,5,0.015,0
-1.5415e-07,2.6251,-0.00068316,0,0.042052,2.7509e-05,1,0.016,5,0.016,0
-1.3739e-07,2.6249,-0.0006917,0,0.044678,2.7397e-05,1,0.017,5,0.017,0
-1.1751e-07,2.6247,-0.00069622,0,0.047302,2.7285e-05,1,0.018,5,0.018,0
-9.4535e-08,2.6246,-0.00069671,0,0.049927,2.7171e-05,1,0.019,5,0.019,0
-6.8451e-08,2.6244,-0.00069319,0,0.052551,2.7058e-05,1,0.02,5,0.02,0
-3.9261e-08,2.6242,-0.00068565,0,0.055175,2.6944e-05,1,0.021,5,0.021,0
-6.9651e-09,2.624,-0.00067409,0,0.057798,2.6829e-05,1,0.022,5,0.022,0
2.8437e-08,2.6238,-0.00065851,0,0.060422,2.6714e-05,1,0.023,5,0.023,0
6.6945e-08,2.6236,-0.00063892,0,0.063044,2.6598e-05,1,0.024,5,0.024,0
1.0856e-07,2.6233,-0.0006153,0,0.065667,2.6482e-05,1,0.025,5,0.025,0
1.5328e-07,2.6231,-0.00058766,0,0.068289,2.6365e-05,1,0.026,5,0.026,0
2.011e-07,2.6228,-0.00055601,0,0.07091,2.6248e-05,1,0.027,5,0.027,0
2.5204e-07,2.6226,-0.00052033,0,0.073532,2.613e-05,1,0.028,5,0.028,0
3.0607e-07,2.6223,-0.00048064,0,0.076153,2.6012e-05,1,0.029,5,0.029,0
3.6322e-07,2.6221,-0.00043693,0,0.078773,2.5893e-05,1,0.03,5,0.03,0
4.2347e-07,2.6218,-0.0003892,0,0.081394,2.5774e-05,1,0.031,5,0.031,0
4.8682e-07,2.6215,-0.00033745,0,0.084014,2.5654e-05,1,0.032,5,0.032,0
5.5329e-07,2.6212,-0.00028168,0,0.086633,2.5534e-05,1,0.033,5,0.033,0
6.2285e-07,2.6209,-0.00022189,0,0.089252,2.5413e-05,1,0.034,5,0.034,0
6.9553e-07,2.6205,-0.00015808,0,0.091871,2.5292e-05,1,0.035,5,0.035,0
7.7131e-07,2.6202,-9.0258e-05,0,0.09449,2.517e-05,1,0.036,5,0.036,0
8.5019e-07,2.6199,-1.8412e-05,0,0.097108,2.5048e-05,1,0.037,5,0.037,0
9.3218e-07,2.6195,5.7452e-05,0,0.099726,2.4925e-05,1,0.038,5,0.038,0
1.0173e-06,2.6192,0.00013734,0,0.10234,2.4802e-05,1,0.039,5,0.039,0
1.1055e-06,2.6188,0.00022124,0,0.10496,2.4678e-05,1,0.04,5,0.04,0
1.1968e-06,2.6184,0.00030916,0,0.10758,2.4554e-05,1,0.041,5,0.041,0
1.2912e-06,2.6181,0.0004011,0,0.11019,2.4429e-05,1,0.042,5,0.042,0
1.3887e-06,2.6177,0.00049706,0,0.11281,2.4304e-05,1,0.043,5,0.043,0
1.4894e-06,2.6173,0.00059704,0,0.11542,2.4178e-05,1,0.044,5,0.044,0
1.5931e-06,2.6168,0.00070104,0,0.11804,2.4051e-05,1,0.045,5,0.045,0
1.6999e-06,2.6164,0.00080905,0,0.12066,2.3924e-05,1,0.046,5,0.046,0
1.8099e-06,2.616,0.00092109,0,0.12327,2.3797e-05,1,0.047,5,0.047,0
1.9229e-06,2.6156,0.0010371,0,0.12588,2.3669e-05,1,0.048,5,0.048,0
2.0391e-06,2.6151,0.0011572,0,0.1285,2.3541e-05,1,0.049,5,0.049,0
2.1583e-06,2.6147,0.0012813,0,0.13111,2.3412e-05,1,0.05,5,0.05,0
2.2807e-06,2.6142,0.0014094,0,0.13372,2.3282e-05,1,0.051,5,0.051,0
2.4062e-06,2.6137,0.0015416,0,0.13634,2.3152e-05,1,0.052,5,0.052,0
2.5348e-06,2.6132,0.0016777,0,0.13895,2.3022e-05,1,0.053,5,0.053,0
2.6665e-06,2.6127,0.0018179,0,0.14156,2.2891e-05,1,0.054,5,0.054,0
2.8013e-06,2.6122,0.0019621,0,0.14417,2.276e-05,1,0.055,5,0.055,0
2.9392e-06,2.6117,0.0021103,0,0.14679,2.2628e-05,1,0.056,5,0.056,0
3.0802e-06,2.6112,0.0022625,0,0.1494,2.2495e-05,1,0.057,5,0.057,0
3.2243e-06,2.6107,0.0024187,0,0.15201,2.2362e-05,1,0.058,5,0.058,0
3.3715e-06,2.6102,0.002579,0,0.15462,2.2229e-05,1,0.059,5,0.059,0
3.5218e-06,2.6096,0.0027433,0,0.15723,2.2095e-05,1,0.06,5,0.06,0
3.6752e-06,2.6091,0.0029116,0,0.15984,2.196e-05,1,0.061,5,0.061,0
3.8318e-06,2.6085,0.0030839,0,0.16245,2.1825e-05,1,0.062,5,0.062,0
3.9914e-06,2.6079,0.0032603,0,0.16505,2.169e-05,1,0.063,5,0.063,0
4.1542e-06,2.6073,0.0034406,0,0.16766,2.1554e-05,1,0.064,5,0.064,0
4.32e-06,2.6067,0.003625,0,0.17027,2.1417e-05,1,0.065,5,0.065,0
4.489e-06,2.6061,0.0038134,0,0.17288,2.128e-05,1,0.066,5,0.066,0
4.661e-06,2.6055,0.0040058,0,0.17549,2.1142e-05,1,0.067,5,0.067,0
4.8362e-06,2.6049,0.0042022,0,0.17809,2.1004e-05,1,0.068,5,0.068,0
5.0145e-06,2.6043,0.0044027,0,0.1807,2.0866e-05,1,0.069,5,0.069,0
5.1959e-06,2.6037,0.0046072,0,0.18331,2.0727e-05,1,0.07,5,0.07,0
5.3804e-06,2.603,0.0048157,0,0.18591,2.0587e-05,1,0.071,5,0.071,0
5.5679e-06,2.6024,0.0050282,0,0.18852,2.0447e-05,1,0.072,5,0.072,0
5.7586e-06,2.6017,0.0052447,0,0.19112,2.0306e-05,1,0.073,5,0.073,0
5.9525e-06,2.601,0.0054653,0,0.19373,2.0165e-05,1,0.074,5,0.074,0
6.1494e-06,2.6003,0.0056898,0,0.19633,2.0023e-05,1,0.075,5,0.075,0
6.316e-06,2.5997,0.0058089,0,0.19894,1.9863e-05,1,0.076,5,0.076,0
6.4357e-06,2.5991,0.0057439,0,0.20153,1.9672e-05,1,0.077,5,0.077,0
6.5669e-06,2.5985,0.0056765,0,0.20413,1.9479e-05,1,0.078,5,0.078,0
6.7097e-06,2.598,0.0056068,0,0.20673,1.9284e-05,1,0.079,5,0.079,0
6.864e-06,2.5974,0.0055346,0,0.20933,1.9088e-05,1,0.08,5,0.08,0
7.03e-06,2.5967,0.0054602,0,0.21193,1.889e-05,1,0.081,5,0.081,0
6.0678e-06,2.5959,0.0053425,0,0.21452,1.866e-05,1,0.082,5,0.082,0
3.8776e-06,2.5947,0.0051734,0,0.21711,1.8398e-05,1,0.083,5,0.083,0
1.8391e-06,2.5935,0.0050009,0,0.21971,1.8138e-05,1,0.084,5,0.084,0
-4.7469e-08,2.5923,0.0048248,0,0.2223,1.7881e-05,1,0.085,5,0.085,0
-1.7823e-06,2.5911,0.0046453,0,0.22489,1.7628e-05,1,0.086,5,0.086,0
-3.3653e-06,2.5899,0.0044622,0,0.22747,1.7377e-05,1,0.087,5,0.087,0
-4.7964e-06,2.5887,0.0042756,0,0.23006,1.713e-05,1,0.088,5,0.088,0
-6.0758e-06,2.5875,0.0040855,0,0.23265,1.6886e-05,1,0.089,5,0.089,0
-6.9431e-06,2.5864,0.0040217,0,0.23523,1.663e-05,1,0.09,5,0.09,0
-7.2829e-06,2.5853,0.0041748,0,0.23782,1.6353e-05,1,0.091,5,0.091,0
-7.5667e-06,2.5842,0.0043248,0,0.2404,1.6079e-05,1,0.092,5,0.092,0
-7.7947e-06,2.5832,0.0044716,0,0.24298,1.5808e-05,1,0.093,5,0.093,0
-7.9668e-06,2.5821,0.0046153,0,0.24557,1.5539e-05,1,0.094,5,0.094,0
-8.0831e-06,2.581,0.0047558,0,0.24815,1.5274e-05,1,0.095,5,0.095,0
-8.1435e-06,2.58,0.0048932,0,0.25073,1.5012e-05,1,0.096,5,0.096,0
-8.148e-06,2.5789,0.0050275,0,0.25331,1.4753e-05,1,0.097,5,0.097,0
-8.0967e-06,2.5778,0.0051586,0,0.25588,1.4496e-05,1,0.098,5,0.098,0
-7.9895e-06,2.5768,0.0052866,0,0.25846,1.4243e-05,1,0.099,5,0.099,0
-7.8264e-06,2.5757,0.0054115,0,0.26104,1.3992e-05,1,0.1,5,0.1,0
-7.6075e-06,2.5746,0.0055332,0,0.26361,1.3745e-05,1,0.101,5,0.101,0
-7.3328e-06,2.5735,0.0056517,0,0.26618,1.35e-05,1,0.102,5,0.102,0
-7.0021e-06,2.5724,0.0057672,0,0.26876,1.3258e-05,1,0.103,5,0.103,0
-6.6156e-06,2.5714,0.0058795,0,0.27133,1.302e-05,1,0.104,5,0.104,0
-6.1732e-06,2.5703,0.0059886,0,0.2739,1.2784e-05,1,0.105,5,0.105,0
-5.675e-06,2.5692,0.0060946,0,0.27647,1.2551e-05,1,0.106,5,0.106,0
-5.1209e-06,2.5681,0.0061975,0,0.27904,1.2321e-05,1,0.107,5,0.107,0
-4.511e-06,2.567,0.0062972,0,0.2816,1.2094e-05,1,0.108,5,0.108,0
-3.8452e-06,2.5659,0.0063938,0,0.28417,1.1871e-05,1,0.109,5,0.109,0
-3.1235e-06,2.5648,0.0064872,0,0.28673,1.165e-05,1,0.11,5,0.11,0
-2.3459e-06,2.5637,0.0065776,0,0.2893,1.1431e-05,1,0.111,5,0.111,0
-1.5125e-06,2.5626,0.0066647,0,0.29186,1.1216e-05,1,0.112,5,0.112,0
-6.2325e-07,2.5615,0.0067488,0,0.29442,1.1004e-05,1,0.113,5,0.113,0
3.2188e-07,2.5604,0.0068296,0,0.29698,1.0795e-05,1,0.114,5,0.114,0
1.3229e-06,2.5592,0.0069074,0,0.29954,1.0589e-05,1,0.115,5,0.115,0
2.3797e-06,2.5581,0.006982,0,0.3021,1.0385e-05,1,0.116,5,0.116,0
3.4925e-06,2.557,0.0070535,0,0.30466,1.0185e-05,1,0.117,5,0.117,0
4.661e-06,2.5559,0.0071218,0,0.30722,9.9876e-06,1,0.118,5,0.118,0
5.8855e-06,2.5548,0.007187,0,0.30977,9.7931e-06,1,0.119,5,0.119,0
7.1658e-06,2.5536,0.007249,0,0.31233,9.6016e-06,1,0.12,5,0.12,0
8.502e-06,2.5525,0.007308,0,0.31488,9.413e-06,1,0.121,5,0.121,0
9.894e-06,2.5514,0.0073637,0,0.31743,9.2274e-06,1,0.122,5,0.122,0
1.1342e-05,2.5502,0.0074164,0,0.31998,9.0447e-06,1,0.123,5,0.123,0
1.2846e-05,2.5491,0.0074658,0,0.32253,8.8649e-06,1,0.124,5,0.124,0
1.4405e-05,2.548,0.0075122,0,0.32508,8.6881e-06,1,0.125,5,0.125,0
1.6021e-05,2.5468,0.0075554,0,0.32763,8.5143e-06,1,0.126,5,0.126,0
1.7692e-05,2.5457,0.0075955,0,0.33018,8.3434e-06,1,0.127,5,0.127,0
1.9419e-05,2.5446,0.0076324,0,0.33272,8.1755e-06,1,0.128,5,0.128,0
2.1202e-05,2.5434,0.0076662,0,0.33527,8.0105e-06,1,0.129,5,0.129,0
2.3041e-05,2.5423,0.0076969,0,0.33781,7.8484e-06,1,0.13,5,0.13,0
2.4936e-05,2.5411,0.0077244,0,0.34036,7.6893e-06,1,0.131,5,0.131,0
2.6887e-05,2.54,0.0077487,0,0.3429,7.5332e-06,1,0.132,5,0.132,0
2.8893e-05,2.5388,0.00777,0,0.34544,7.38e-06,1,0.133,5,0.133,0
3.0956e-05,2.5376,0.0077881,0,0.34798,7.2298e-06,1,0.134,5,0.134,0
3.3074e-05,2.5365,0.007803,0,0.35052,7.0824e-06,1,0.135,5,0.135,0
3.5248e-05,2.5353,0.0078148,0,0.35305,6.9381e-06,1,0.136,5,0.136,0
3.7478e-05,2.5342,0.0078235,0,0.35559,6.7967e-06,1,0.137,5,0.137,0
3.9764e-05,2.533,0.007829,0,0.35812,6.6582e-06,1,0.138,5,0.138,0
4.3572e-05,2.5311,0.007726,0,0.36066,6.4916e-06,1,0.139,5,0.139,0
4.7761e-05,2.529,0.007595,0,0.36319,6.319e-06,1,0.14,5,0.14,0
5.1805e-05,2.527,0.0074737,0,0.36571,6.1515e-06,1,0.141,5,0.141,0
5.5703e-05,2.5249,0.0073621,0,0.36824,5.989e-06,1,0.142,5,0.142,0
5.9455e-05,2.5228,0.0072603,0,0.37076,5.8316e-06,1,0.143,5,0.143,0
6.3063e-05,2.5207,0.0071682,0,0.37329,5.6792e-06,1,0.144,5,0.144,0
6.6524e-05,2.5186,0.0070858,0,0.37581,5.5318e-06,1,0.145,5,0.145,0
6.9841e-05,2.5165,0.0070132,0,0.37832,5.3894e-06,1,0.146,5,0.146,0
7.3012e-05,2.5144,0.0069503,0,0.38084,5.2521e-06,1,0.147,5,0.147,0
7.6037e-05,2.5123,0.0068971,0,0.38335,5.1198e-06,1,0.148,5,0.148,0
7.8917e-05,2.5102,0.0068536,0,0.38586,4.9926e-06,1,0.149,5,0.149,0
8.1652e-05,2.5081,0.0068199,0,0.38837,4.8703e-06,1,0.15,5,0.15,0
8.4241e-05,2.506,0.0067959,0,0.39088,4.7531e-06,1,0.151,5,0.151,0
8.6685e-05,2.5039,0.0067816,0,0.39339,4.641e-06,1,0.152,5,0.152,0
8.8983e-05,2.5018,0.0067771,0,0.39589,4.5339e-06,1,0.153,5,0.153,0
