"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.32606,3.1827,-3.872e-05,0,0,-1.2197e-05,1,0,5,0,0
-0.31483,3.1829,-1.8227e-06,0,0.0031833,-1.3081e-05,1,0.001,5,0.001,0
-0.3036,3.1831,3.5074e-05,0,0.0063667,-1.3965e-05,1,0.002,5,0.002,0
-0.29237,3.1833,7.1972e-05,0,0.00955,-1.485e-05,1,0.003,5,0.003,0
-0.28114,3.1836,0.00010887,0,0.012733,-1.5734e-05,1,0.004,5,0.004,0
-0.2699,3.1838,0.00014577,0,0.015917,-1.6618e-05,1,0.005,5,0.005,0
-0.25867,3.184,0.00018266,0,0.0191,-1.7503e-05,1,0.006,5,0.006,0
-0.24744,3.1842,0.00021956,0,0.022283,-1.8387e-05,1,0.007,5,0.007,0
-0.23621,3.1845,0.00025646,0,0.025467,-1.9271e-05,1,0.008,5,0.008,0
-0.22498,3.1847,0.00029335,0,0.02865,-2.0156e-05,1,0.009,5,0.009,0
-0.21374,3.1849,0.00033025,0,0.031833,-2.104e-05,1,0.01,5,0.01,0
-0.20251,3.1851,0.00036715,0,0.035017,-2.1924e-05,1,0.011,5,0.011,0
-0.19128,3.1854,0.00040405,0,0.0382,-2.2809e-05,1,0.012,5,0.012,0
-0.18005,3.1856,0.00044094,0,0.041383,-2.3693e-05,1,0.013,5,0.013,0
-0.16882,3.1858,0.00047784,0,0.044567,-2.4577e-05,1,0.014,5,0.014,0
-0.15759,3.186,0.00051474,0,0.04775,-2.5462e-05,1,0.015,5,0.015,0
-0.14635,3.1863,0.00055163,0,0.050933,-2.6346e-05,1,0.016,5,0.016,0
-0.13512,3.1865,0.00058853,0,0.054117,-2.723e-05,1,0.017,5,0.017,0
-0.12389,3.1867,0.00062543,0,0.0573,-2.8115e-05,1,0.018,5,0.018,0
-0.11764,3.1868,0.00065916,0,0.060484,-2.8543e-05,1,0.019,5,0.019,0
-0.11448,3.1867,0.00069094,0,0.063669,-2.8689e-05,1,0.02,5,0.02,0
-0.11132,3.1866,0.00072272,0,0.066853,-2.8835e-05,1,0.021,5,0.021,0
-0.10817,3.1866,0.00075449,0,0.070038,-2.8981e-05,1,0.022,5,0.022,0
-0.10501,3.1865,0.00078627,0,0.073222,-2.9127e-05,1,0.023,5,0.023,0
-0.10192,3.1865,0.00082344,0,0.076407,-2.9295e-05,1,0.024,5,0.024,0
-0.098932,3.1865,0.00086876,0,0.079592,-2.9495e-05,1,0.025,5,0.025,0
-0.095947,3.1865,0.00091407,0,0.082778,-2.9694e-05,1,0.026,5,0.026,0
-0.092962,3.1865,0.00095939,0,0.085963,-2.9894e-05,1,0.027,5,0.027,0
-0.089977,3.1865,0.0010047,0,0.089149,-3.0094e-05,1,0.028,5,0.028,0
-0.086992,3.1865,0.00105,0,0.092334,-3.0294e-05,1,0.029,5,0.029,0
-0.084007,3.1866,0.0010953,0,0.09552,-3.0494e-05,1,0.03,5,0.03,0
-0.081022,3.1866,0.0011406,0,0.098705,-3.0694e-05,1,0.031,5,0.031,0
-0.078036,3.1866,0.001186,0,0.10189,-3.0894e-05,1,0.032,5,0.032,0
-0.075051,3.1866,0.0012313,0,0.10508,-3.1093e-05,1,0.033,5,0.033,0
-0.072066,3.1866,0.0012766,0,0.10826,-3.1293e-05,1,0.034,5,0.034,0
-0.069081,3.1866,0.0013219,0,0.11145,-3.1493e-05,1,0.035,5,0.035,0
-0.066096,3.1866,0.0013672,0,0.11463,-3.1693e-05,1,0.036,5,0.036,0
-0.063052,3.1866,0.0014102,0,0.11782,-3.1829e-05,1,0.037,5,0.037,0
-0.059906,3.1867,0.0014491,0,0.121,-3.1854e-05,1,0.038,5,0.038,0
-0.056761,3.1867,0.001488,0,0.12419,-3.1879e-05,1,0.039,5,0.039,0
-0.053615,3.1868,0.001527,0,0.12737,-3.1904e-05,1,0.04,5,0.04,0
-0.05047,3.1868,0.0015659,0,0.13056,-3.1929e-05,1,0.041,5,0.041,0
-0.047325,3.1868,0.0016048,0,0.13374,-3.1955e-05,1,0.042,5,0.042,0
-0.044179,3.1869,0.0016437,0,0.13693,-3.198e-05,1,0.043,5,0.043,0
-0.041034,3.1869,0.0016826,0,0.14011,-3.2005e-05,1,0.044,5,0.044,0
-0.037888,3.1869,0.0017216,0,0.1433,-3.203e-05,1,0.045,5,0.045,0
-0.034608,3.187,0.0017686,0,0.14648,-3.2119e-05,1,0.046,5,0.046,0
-0.031044,3.1869,0.0018327,0,0.14967,-3.2344e-05,1,0.047,5,0.047,0
-0.027479,3.1869,0.0018968,0,0.15285,-3.2568e-05,1,0.048,5,0.048,0
-0.023914,3.1869,0.0019608,0,0.15604,-3.2792e-05,1,0.049,5,0.049,0
-0.020349,3.1869,0.0020249,0,0.15923,-3.3016e-05,1,0.05,5,0.05,0
-0.016784,3.1869,0.002089,0,0.16241,-3.324e-05,1,0.051,5,0.051,0
-0.013219,3.1868,0.0021531,0,0.1656,-3.3465e-05,1,0.052,5,0.052,0
-0.0096542,3.1868,0.0022172,0,0.16878,-3.3689e-05,1,0.053,5,0.053,0
-0.0060893,3.1868,0.0022813,0,0.17197,-3.3913e-05,1,0.054,5,0.054,0
-0.0020656,3.1868,0.0023611,0,0.17515,-3.3007e-05,1,0.055,5,0.055,0
0.00226,3.1867,0.0024513,0,0.17834,-3.1357e-05,1,0.056,5,0.056,0
0.0065855,3.1867,0.0025416,0,0.18152,-2.9708e-05,1,0.057,5,0.057,0
0.010911,3.1866,0.0026318,0,0.18471,-2.8059e-05,1,0.058,5,0.058,0
0.015237,3.1866,0.002722,0,0.18789,-2.6409e-05,1,0.059,5,0.059,0
0.019562,3.1865,0.0028122,0,0.19108,-2.476e-05,1,0.06,5,0.06,0
0.023888,3.1865,0.0029024,0,0.19426,-2.311e-05,1,0.061,5,0.061,0
0.028213,3.1864,0.0029926,0,0.19744,-2.1461e-05,1,0.062,5,0.062,0
0.032539,3.1864,0.0030828,0,0.20063,-1.9811e-05,1,0.063,5,0.063,0
0.036864,3.1864,0.003173,0,0.20381,-1.8162e-05,1,0.064,5,0.064,0
0.04119,3.1863,0.0032632,0,0.207,-1.6512e-05,1,0.065,5,0.065,0
0.045516,3.1863,0.0033534,0,0.21018,-1.4863e-05,1,0.066,5,0.066,0
0.049841,3.1862,0.0034436,0,0.21337,-1.3213e-05,1,0.067,5,0.067,0
0.054444,3.1862,0.0035386,0,0.21655,-1.2168e-05,1,0.068,5,0.068,0
0.059445,3.1861,0.0036405,0,0.21974,-1.1992e-05,1,0.069,5,0.069,0
0.064446,3.186,0.0037423,0,0.22292,-1.1816e-05,1,0.07,5,0.07,0
0.069447,3.1859,0.0038441,0,0.22611,-1.1639e-05,1,0.071,5,0.071,0
0.074448,3.1858,0.003946,0,0.22929,-1.1463e-05,1,0.072,5,0.072,0
0.079993,3.1856,0.0040205,0,0.23247,-1.1061e-05,1,0.073,5,0.073,0
0.085695,3.1853,0.0040871,0,0.23566,-1.0595e-05,1,0.074,5,0.074,0
0.091397,3.185,0.0041537,0,0.23884,-1.0128e-05,1,0.075,5,0.075,0
0.097098,3.1847,0.0042204,0,0.24202,-9.6618e-06,1,0.076,5,0.076,0
0.1028,3.1845,0.004287,0,0.2452,-9.1953e-06,1,0.077,5,0.077,0
0.1085,3.1842,0.0043537,0,0.24838,-8.7287e-06,1,0.078,5,0.078,0
0.1142,3.1839,0.0044203,0,0.25157,-8.2622e-06,1,0.079,5,0.079,0
0.1199,3.1836,0.0044869,0,0.25475,-7.7957e-06,1,0.08,5,0.08,0
0.12561,3.1833,0.0045536,0,0.25793,-7.3291e-06,1,0.081,5,0.081,0
0.13131,3.183,0.0046202,0,0.26111,-6.8626e-06,1,0.082,5,0.082,0
0.13701,3.1828,0.0046868,0,0.26429,-6.396e-06,1,0.083,5,0.083,0
0.14271,3.1825,0.0047535,0,0.26748,-5.9295e-06,1,0.084,5,0.084,0
0.14841,3.1822,0.0048201,0,0.27066,-5.4629e-06,1,0.085,5,0.085,0
0.15411,3.1819,0.0048867,0,0.27384,-4.9964e-06,1,0.086,5,0.086,0
0.16076,3.1817,0.0049923,0,0.27702,-4.7481e-06,1,0.087,5,0.087,0
0.16796,3.1814,0.0051211,0,0.2802,-4.63e-06,1,0.088,5,0.088,0
0.17516,3.1812,0.0052499,0,0.28338,-4.512e-06,1,0.089,5,0.089,0
0.18236,3.1809,0.0053787,0,0.28656,-4.3939e-06,1,0.09,5,0.09,0
