"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.22595,3.4618,0.0004536,0,0,0.018269,1,0,5.35,0,0
0.23913,3.4614,0.00025834,0,0.0034533,0.018464,1,0.001,5.35,0.001,0
0.2523,3.461,6.3077e-05,0,0.0069066,0.01866,1,0.002,5.35,0.002,0
0.26548,3.4606,-0.00013219,0,0.01036,0.018855,1,0.003,5.35,0.003,0
0.27866,3.4602,-0.00032745,0,0.013813,0.01905,1,0.004,5.35,0.004,0
0.29184,3.4598,-0.00052271,0,0.017267,0.019246,1,0.005,5.35,0.005,0
0.30502,3.4593,-0.00071798,0,0.02072,0.019441,1,0.006,5.35,0.006,0
0.3182,3.4589,-0.00091324,0,0.024173,0.019636,1,0.007,5.35,0.007,0
0.33137,3.4585,-0.0011085,0,0.027626,0.019832,1,0.008,5.35,0.008,0
0.34455,3.4581,-0.0013038,0,0.03108,0.020027,1,0.009,5.35,0.009,0
0.35773,3.4577,-0.001499,0,0.034533,0.020223,1,0.01,5.35,0.01,0
0.37091,3.4573,-0.0016943,0,0.037986,0.020418,1,0.011,5.35,0.011,0
0.38409,3.4569,-0.0018896,0,0.04144,0.020613,1,0.012,5.35,0.012,0
0.39727,3.4565,-0.0020848,0,0.044893,0.020809,1,0.013,5.35,0.013,0
0.41044,3.4561,-0.0022801,0,0.048346,0.021004,1,0.014,5.35,0.014,0
0.42362,3.4557,-0.0024754,0,0.0518,0.0212,1,0.015,5.35,0.015,0
0.4368,3.4552,-0.0026706,0,0.055253,0.021395,1,0.016,5.35,0.016,0
0.44998,3.4548,-0.0028659,0,0.058706,0.02159,1,0.017,5.35,0.017,0
0.46316,3.4544,-0.0030611,0,0.062159,0.021786,1,0.018,5.35,0.018,0
0.47633,3.454,-0.0032564,0,0.065613,0.021981,1,0.019,5.35,0.019,0
0.48951,3.4536,-0.0034517,0,0.069066,0.022176,1,0.02,5.35,0.02,0
0.50269,3.4532,-0.0036469,0,0.072519,0.022372,1,0.021,5.35,0.021,0
0.51587,3.4528,-0.0038422,0,0.075973,0.022567,1,0.022,5.35,0.022,0
0.52905,3.4524,-0.0040375,0,0.079426,0.022763,1,0.023,5.35,0.023,0
0.54223,3.452,-0.0042327,0,0.082879,0.022958,1,0.024,5.35,0.024,0
0.5554,3.4516,-0.004428,0,0.086333,0.023153,1,0.025,5.35,0.025,0
0.56858,3.4512,-0.0046233,0,0.089786,0.023349,1,0.026,5.35,0.026,0
0.58176,3.4507,-0.0048185,0,0.093239,0.023544,1,0.027,5.35,0.027,0
0.59494,3.4503,-0.0050138,0,0.096693,0.023739,1,0.028,5.35,0.028,0
0.60812,3.4499,-0.005209,0,0.10015,0.023935,1,0.029,5.35,0.029,0
0.6213,3.4495,-0.0054043,0,0.1036,0.02413,1,0.03,5.35,0.03,0
0.63447,3.4491,-0.0055996,0,0.10705,0.024326,1,0.031,5.35,0.031,0
0.64765,3.4487,-0.0057948,0,0.11051,0.024521,1,0.032,5.35,0.032,0
0.66083,3.4483,-0.0059901,0,0.11396,0.024716,1,0.033,5.35,0.033,0
0.67401,3.4479,-0.0061854,0,0.11741,0.024912,1,0.034,5.35,0.034,0
0.68719,3.4475,-0.0063806,0,0.12087,0.025107,1,0.035,5.35,0.035,0
0.70037,3.4471,-0.0065759,0,0.12432,0.025303,1,0.036,5.35,0.036,0
0.71354,3.4466,-0.0067712,0,0.12777,0.025498,1,0.037,5.35,0.037,0
0.72672,3.4462,-0.0069664,0,0.13123,0.025693,1,0.038,5.35,0.038,0
0.7399,3.4458,-0.0071617,0,0.13468,0.025889,1,0.039,5.35,0.039,0
0.75308,3.4454,-0.0073569,0,0.13813,0.026084,1,0.04,5.35,0.04,0
0.76626,3.445,-0.0075522,0,0.14159,0.026279,1,0.041,5.35,0.041,0
0.77956,3.4446,-0.0077411,0,0.14504,0.026478,1,0.042,5.35,0.042,0
0.79598,3.4441,-0.007776,0,0.14849,0.026753,1,0.043,5.35,0.043,0
0.81239,3.4436,-0.007811,0,0.15195,0.027029,1,0.044,5.35,0.044,0
0.82881,3.443,-0.0078459,0,0.1554,0.027304,1,0.045,5.35,0.045,0
0.84522,3.4425,-0.0078808,0,0.15886,0.02758,1,0.046,5.35,0.046,0
0.86163,3.442,-0.0079158,0,0.16232,0.027855,1,0.047,5.35,0.047,0
0.87805,3.4415,-0.0079507,0,0.16577,0.028131,1,0.048,5.35,0.048,0
