"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3.7053,0,0,0,0.55841,1,0,5,0,0
0.049426,3.7039,0.00060034,0,0.0037149,0.5584,1,0.001,5,0.001,0
0.098767,3.7024,0.0012017,0,0.0074276,0.5584,1,0.002,5,0.002,0
0.14803,3.701,0.001804,0,0.011138,0.55841,1,0.003,5,0.003,0
0.1972,3.6995,0.0024073,0,0.014847,0.55841,1,0.004,5,0.004,0
0.24629,3.698,0.0030115,0,0.018553,0.55842,1,0.005,5,0.005,0
0.2953,3.6964,0.0036168,0,0.022257,0.55844,1,0.006,5,0.006,0
0.34422,3.6949,0.004223,0,0.025959,0.55845,1,0.007,5,0.007,0
0.39306,3.6933,0.0048303,0,0.029659,0.55847,1,0.008,5,0.008,0
0.44181,3.6917,0.0054385,0,0.033357,0.5585,1,0.009,5,0.009,0
0.49048,3.6901,0.0060476,0,0.037052,0.55852,1,0.01,5,0.01,0
0.53907,3.6885,0.0066578,0,0.040746,0.55855,1,0.011,5,0.011,0
0.58757,3.6869,0.007269,0,0.044437,0.55859,1,0.012,5,0.012,0
0.63599,3.6852,0.0078811,0,0.048126,0.55863,1,0.013,5,0.013,0
0.68433,3.6835,0.0084942,0,0.051813,0.55867,1,0.014,5,0.014,0
0.73258,3.6818,0.0091083,0,0.055498,0.55871,1,0.015,5,0.015,0
0.78075,3.6801,0.0097234,0,0.059181,0.55876,1,0.016,5,0.016,0
0.82883,3.6784,0.010339,0,0.062861,0.55881,1,0.017,5,0.017,0
0.87683,3.6766,0.010957,0,0.066539,0.55887,1,0.018,5,0.018,0
0.92475,3.6748,0.011575,0,0.070216,0.55892,1,0.019,5,0.019,0
0.97258,3.673,0.012194,0,0.07389,0.55898,1,0.02,5,0.02,0
1.0203,3.6712,0.012814,0,0.077562,0.55905,1,0.021,5,0.021,0
1.068,3.6694,0.013435,0,0.081232,0.55912,1,0.022,5,0.022,0
1.1156,3.6675,0.014057,0,0.084899,0.55919,1,0.023,5,0.023,0
1.1631,3.6656,0.014679,0,0.088565,0.55927,1,0.024,5,0.024,0
1.2105,3.6638,0.015303,0,0.092228,0.55934,1,0.025,5,0.025,0
1.2578,3.6618,0.015928,0,0.095889,0.55943,1,0.026,5,0.026,0
1.3051,3.6599,0.016554,0,0.099548,0.55951,1,0.027,5,0.027,0
1.3522,3.658,0.017181,0,0.10321,0.5596,1,0.028,5,0.028,0
1.3993,3.656,0.017809,0,0.10686,0.55969,1,0.029,5,0.029,0
1.4463,3.654,0.018438,0,0.11051,0.55979,1,0.03,5,0.03,0
1.4932,3.652,0.019068,0,0.11416,0.55989,1,0.031,5,0.031,0
1.54,3.65,0.019698,0,0.11781,0.55999,1,0.032,5,0.032,0
1.5868,3.6479,0.02033,0,0.12146,0.5601,1,0.033,5,0.033,0
1.6334,3.6458,0.020963,0,0.1251,0.56021,1,0.034,5,0.034,0
1.68,3.6438,0.021597,0,0.12874,0.56032,1,0.035,5,0.035,0
1.7265,3.6417,0.022232,0,0.13238,0.56044,1,0.036,5,0.036,0
1.7729,3.6395,0.022867,0,0.13602,0.56056,1,0.037,5,0.037,0
1.8192,3.6374,0.023504,0,0.13966,0.56068,1,0.038,5,0.038,0
1.8655,3.6352,0.024142,0,0.14329,0.56081,1,0.039,5,0.039,0
1.9116,3.633,0.02478,0,0.14692,0.56094,1,0.04,5,0.04,0
1.9577,3.6308,0.02542,0,0.15055,0.56108,1,0.041,5,0.041,0
2.0037,3.6286,0.026061,0,0.15418,0.56121,1,0.042,5,0.042,0
2.0496,3.6264,0.026702,0,0.1578,0.56135,1,0.043,5,0.043,0
2.0954,3.6241,0.027345,0,0.16142,0.5615,1,0.044,5,0.044,0
2.1411,3.6219,0.027988,0,0.16505,0.56165,1,0.045,5,0.045,0
2.1868,3.6196,0.028633,0,0.16866,0.5618,1,0.046,5,0.046,0
2.2324,3.6172,0.029279,0,0.17228,0.56195,1,0.047,5,0.047,0
2.2778,3.6149,0.029925,0,0.17589,0.56211,1,0.048,5,0.048,0
2.3232,3.6126,0.030573,0,0.17951,0.56227,1,0.049,5,0.049,0
2.3686,3.6102,0.031221,0,0.18312,0.56244,1,0.05,5,0.05,0
2.4138,3.6078,0.031871,0,0.18672,0.5626,1,0.051,5,0.051,0
2.4589,3.6054,0.032521,0,0.19033,0.56278,1,0.052,5,0.052,0
2.504,3.6029,0.033173,0,0.19393,0.56295,1,0.053,5,0.053,0
2.549,3.6005,0.033825,0,0.19753,0.56313,1,0.054,5,0.054,0
2.5939,3.598,0.034478,0,0.20113,0.56331,1,0.055,5,0.055,0
2.6387,3.5955,0.035133,0,0.20473,0.5635,1,0.056,5,0.056,0
2.6834,3.593,0.035788,0,0.20832,0.56369,1,0.057,5,0.057,0
2.7281,3.5905,0.036445,0,0.21192,0.56388,1,0.058,5,0.058,0
2.7726,3.588,0.037102,0,0.21551,0.56408,1,0.059,5,0.059,0
2.8171,3.5854,0.03776,0,0.21909,0.56428,1,0.06,5,0.06,0
2.8615,3.5828,0.03842,0,0.22268,0.56448,1,0.061,5,0.061,0
2.9058,3.5802,0.03908,0,0.22626,0.56468,1,0.062,5,0.062,0
2.95,3.5776,0.039741,0,0.22985,0.56489,1,0.063,5,0.063,0
2.9942,3.5749,0.040403,0,0.23343,0.56511,1,0.064,5,0.064,0
3.0382,3.5723,0.041067,0,0.237,0.56532,1,0.065,5,0.065,0
3.0822,3.5696,0.041731,0,0.24058,0.56554,1,0.066,5,0.066,0
3.1261,3.5669,0.042396,0,0.24415,0.56577,1,0.067,5,0.067,0
3.1699,3.5642,0.043062,0,0.24772,0.566,1,0.068,5,0.068,0
3.2136,3.5614,0.043729,0,0.25129,0.56623,1,0.069,5,0.069,0
3.2573,3.5587,0.044398,0,0.25486,0.56646,1,0.07,5,0.07,0
3.3008,3.5559,0.045067,0,0.25842,0.5667,1,0.071,5,0.071,0
3.3443,3.5531,0.045737,0,0.26199,0.56694,1,0.072,5,0.072,0
3.3877,3.5503,0.046408,0,0.26555,0.56718,1,0.073,5,0.073,0
3.431,3.5475,0.04708,0,0.26911,0.56743,1,0.074,5,0.074,0
3.4742,3.5446,0.047753,0,0.27266,0.56768,1,0.075,5,0.075,0
3.5174,3.5416,0.04856,0,0.27621,0.56794,1,0.076,5,0.076,0
3.5606,3.5382,0.049592,0,0.27975,0.56821,1,0.077,5,0.077,0
3.6036,3.5349,0.050626,0,0.28328,0.56848,1,0.078,5,0.078,0
