"concentration","vector:0","vector:1","vector:2","vorticity","stream","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0068386,2.258,0,0,0.31881,0,1,0,5,0,0
0.0072137,2.2562,0.0052309,0,0.33465,0.030744,1,0.013609,5,0.013609,0
0.0075889,2.2543,0.010462,0,0.35049,0.061489,1,0.027218,5,0.027218,0
0.0080002,2.2521,0.015691,0,0.36783,0.092212,1,0.040827,5,0.040827,0
0.0087888,2.2452,0.020897,0,0.40086,0.12272,1,0.054436,5,0.054436,0
0.010053,2.2376,0.026595,0,0.45295,0.15321,1,0.068045,5,0.068045,0
0.011396,2.2298,0.032373,0,0.50817,0.18369,1,0.081654,5,0.081654,0
0.013114,2.2223,0.037085,0,0.57839,0.21393,1,0.095263,5,0.095263,0
0.015083,2.2135,0.041649,0,0.65838,0.2441,1,0.10887,5,0.10887,0
0.017053,2.2046,0.046212,0,0.73837,0.27427,1,0.12248,5,0.12248,0
0.01978,2.1919,0.0514,0,0.84622,0.30403,1,0.13609,5,0.13609,0
0.022753,2.1783,0.05668,0,0.96304,0.33369,1,0.1497,5,0.1497,0
0.025727,2.1646,0.06196,0,1.0799,0.36335,1,0.16331,5,0.16331,0
0.029077,2.1482,0.066861,0,1.2088,0.39277,1,0.17692,5,0.17692,0
0.033411,2.1243,0.071285,0,1.369,0.42165,1,0.19053,5,0.19053,0
0.037744,2.1003,0.07571,0,1.5293,0.45053,1,0.20414,5,0.20414,0
0.042165,2.0767,0.080038,0,1.6911,0.47929,1,0.21774,5,0.21774,0
0.04809,2.0488,0.082153,0,1.8845,0.50698,1,0.23135,5,0.23135,0
0.054362,2.019,0.083694,0,2.0855,0.53449,1,0.24496,5,0.24496,0
0.060632,1.9892,0.085256,0,2.2864,0.56201,1,0.25857,5,0.25857,0
0.06711,1.9593,0.087384,0,2.4905,0.58942,1,0.27218,5,0.27218,0
0.075325,1.9207,0.091021,0,2.7156,0.61545,1,0.28579,5,0.28579,0
0.08357,1.8819,0.094875,0,2.9405,0.64142,1,0.2994,5,0.2994,0
0.092175,1.8415,0.098806,0,3.1678,0.66715,1,0.31301,5,0.31301,0
0.10342,1.7891,0.1033,0,3.4128,0.6911,1,0.32662,5,0.32662,0
0.11466,1.7367,0.10779,0,3.6578,0.71504,1,0.34023,5,0.34023,0
0.12584,1.6845,0.1119,0,3.903,0.73906,1,0.35383,5,0.35383,0
0.14048,1.6258,0.10988,0,4.158,0.76131,1,0.36744,5,0.36744,0
0.15673,1.5644,0.1039,0,4.4167,0.78271,1,0.38105,5,0.38105,0
0.17299,1.5029,0.097923,0,4.6755,0.8041,1,0.39466,5,0.39466,0
0.19182,1.4318,0.09612,0,4.9258,0.82398,1,0.40827,5,0.40827,0
0.21213,1.3552,0.096708,0,5.1712,0.84298,1,0.42188,5,0.42188,0
0.23434,1.2767,0.091823,0,5.398,0.86083,1,0.43549,5,0.43549,0
0.25844,1.1975,0.081831,0,5.6057,0.87751,1,0.4491,5,0.4491,0
0.28254,1.118,0.071819,0,5.8129,0.89417,1,0.46271,5,0.46271,0
0.30655,1.033,0.072263,0,5.9316,0.90827,1,0.47631,5,0.47631,0
0.33127,0.95858,0.081923,0,6.0123,0.92121,1,0.48992,5,0.48992,0
0.35652,0.87982,0.089542,0,6.0969,0.93424,1,0.50353,5,0.50353,0
0.37924,0.78089,0.080822,0,6.0642,0.94489,1,0.51714,5,0.51714,0
0.40138,0.67797,0.068087,0,6.0084,0.95507,1,0.53075,5,0.53075,0
0.42146,0.58697,0.058954,0,5.905,0.9642,1,0.54436,5,0.54436,0
0.43807,0.51455,0.056809,0,5.7016,0.97114,1,0.55797,5,0.55797,0
0.45541,0.4455,0.05343,0,5.5016,0.97822,1,0.57158,5,0.57158,0
0.47219,0.37216,0.049913,0,5.2738,0.98486,1,0.58519,5,0.58519,0
0.4827,0.30483,0.042897,0,4.9264,0.98851,1,0.5988,5,0.5988,0
0.49424,0.24007,0.032742,0,4.5726,0.99196,1,0.61241,5,0.61241,0
0.50614,0.17527,0.022061,0,4.219,0.99542,1,0.62601,5,0.62601,0
0.51169,0.12441,0.015431,0,3.8403,0.99719,1,0.63962,5,0.63962,0
0.51422,0.080176,0.010729,0,3.4497,0.99816,1,0.65323,5,0.65323,0
0.51718,0.03588,0.0056864,0,3.056,0.99916,1,0.66684,5,0.66684,0
nan,nan,nan,nan,nan,nan,0,0.68045,5,0.68045,0
nan,nan,nan,nan,nan,nan,0,0.69406,5,0.69406,0
nan,nan,nan,nan,nan,nan,0,0.70767,5,0.70767,0
nan,nan,nan,nan,nan,nan,0,0.72128,5,0.72128,0
nan,nan,nan,nan,nan,nan,0,0.73489,5,0.73489,0
nan,nan,nan,nan,nan,nan,0,0.74849,5,0.74849,0
nan,nan,nan,nan,nan,nan,0,0.7621,5,0.7621,0
nan,nan,nan,nan,nan,nan,0,0.77571,5,0.77571,0
nan,nan,nan,nan,nan,nan,0,0.78932,5,0.78932,0
nan,nan,nan,nan,nan,nan,0,0.80293,5,0.80293,0
nan,nan,nan,nan,nan,nan,0,0.81654,5,0.81654,0
nan,nan,nan,nan,nan,nan,0,0.83015,5,0.83015,0
nan,nan,nan,nan,nan,nan,0,0.84376,5,0.84376,0
nan,nan,nan,nan,nan,nan,0,0.85737,5,0.85737,0
nan,nan,nan,nan,nan,nan,0,0.87098,5,0.87098,0
nan,nan,nan,nan,nan,nan,0,0.88459,5,0.88459,0
nan,nan,nan,nan,nan,nan,0,0.89819,5,0.89819,0
nan,nan,nan,nan,nan,nan,0,0.9118,5,0.9118,0
nan,nan,nan,nan,nan,nan,0,0.92541,5,0.92541,0
nan,nan,nan,nan,nan,nan,0,0.93902,5,0.93902,0
nan,nan,nan,nan,nan,nan,0,0.95263,5,0.95263,0
nan,nan,nan,nan,nan,nan,0,0.96624,5,0.96624,0
nan,nan,nan,nan,nan,nan,0,0.97985,5,0.97985,0
nan,nan,nan,nan,nan,nan,0,0.99346,5,0.99346,0
nan,nan,nan,nan,nan,nan,0,1.0071,5,1.0071,0
nan,nan,nan,nan,nan,nan,0,1.0207,5,1.0207,0
nan,nan,nan,nan,nan,nan,0,1.0343,5,1.0343,0
nan,nan,nan,nan,nan,nan,0,1.0479,5,1.0479,0
nan,nan,nan,nan,nan,nan,0,1.0615,5,1.0615,0
nan,nan,nan,nan,nan,nan,0,1.0751,5,1.0751,0
nan,nan,nan,nan,nan,nan,0,1.0887,5,1.0887,0
nan,nan,nan,nan,nan,nan,0,1.1023,5,1.1023,0
nan,nan,nan,nan,nan,nan,0,1.1159,5,1.1159,0
nan,nan,nan,nan,nan,nan,0,1.1295,5,1.1295,0
nan,nan,nan,nan,nan,nan,0,1.1432,5,1.1432,0
nan,nan,nan,nan,nan,nan,0,1.1568,5,1.1568,0
nan,nan,nan,nan,nan,nan,0,1.1704,5,1.1704,0
nan,nan,nan,nan,nan,nan,0,1.184,5,1.184,0
nan,nan,nan,nan,nan,nan,0,1.1976,5,1.1976,0
nan,nan,nan,nan,nan,nan,0,1.2112,5,1.2112,0
nan,nan,nan,nan,nan,nan,0,1.2248,5,1.2248,0
nan,nan,nan,nan,nan,nan,0,1.2384,5,1.2384,0
nan,nan,nan,nan,nan,nan,0,1.252,5,1.252,0
nan,nan,nan,nan,nan,nan,0,1.2656,5,1.2656,0
nan,nan,nan,nan,nan,nan,0,1.2792,5,1.2792,0
nan,nan,nan,nan,nan,nan,0,1.2929,5,1.2929,0
nan,nan,nan,nan,nan,nan,0,1.3065,5,1.3065,0
nan,nan,nan,nan,nan,nan,0,1.3201,5,1.3201,0
nan,nan,nan,nan,nan,nan,0,1.3337,5,1.3337,0
nan,nan,nan,nan,nan,nan,0,1.3473,5,1.3473,0
nan,nan,nan,nan,nan,nan,0,1.3609,5,1.3609,0
