"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.5875,0,0,0,0.0012413,1,0,5,0,0
0.0031998,2.588,0.0006522,0,0.0032083,0.0012411,1,0.0012389,5,0.0012389,0
0.0064322,2.5885,0.001305,0,0.0064164,0.0012417,1,0.0024778,5,0.0024778,0
0.0096973,2.5889,0.0019585,0,0.0096243,0.0012434,1,0.0037167,5,0.0037167,0
0.012995,2.5893,0.0026126,0,0.012832,0.001246,1,0.0049556,5,0.0049556,0
0.016325,2.5897,0.0032674,0,0.016039,0.0012495,1,0.0061945,5,0.0061945,0
0.019688,2.59,0.0039228,0,0.019247,0.001254,1,0.0074334,5,0.0074334,0
0.023084,2.5902,0.0045788,0,0.022454,0.0012594,1,0.0086723,5,0.0086723,0
0.026512,2.5904,0.0052355,0,0.025661,0.0012658,1,0.0099112,5,0.0099112,0
0.029973,2.5906,0.0058929,0,0.028868,0.0012732,1,0.01115,5,0.01115,0
0.033466,2.5907,0.0065508,0,0.032074,0.0012815,1,0.012389,5,0.012389,0
0.036992,2.5907,0.0072094,0,0.03528,0.0012907,1,0.013628,5,0.013628,0
0.040551,2.5908,0.0078687,0,0.038486,0.0013009,1,0.014867,5,0.014867,0
0.044142,2.5907,0.0085286,0,0.041692,0.001312,1,0.016106,5,0.016106,0
0.047766,2.5907,0.0091891,0,0.044898,0.0013241,1,0.017345,5,0.017345,0
0.051422,2.5905,0.0098503,0,0.048104,0.0013372,1,0.018584,5,0.018584,0
0.055112,2.5904,0.010512,0,0.051309,0.0013512,1,0.019822,5,0.019822,0
0.058833,2.5902,0.011175,0,0.054514,0.0013661,1,0.021061,5,0.021061,0
0.062588,2.5899,0.011838,0,0.057719,0.001382,1,0.0223,5,0.0223,0
0.066375,2.5896,0.012501,0,0.060924,0.0013988,1,0.023539,5,0.023539,0
0.070194,2.5893,0.013166,0,0.064128,0.0014166,1,0.024778,5,0.024778,0
0.074047,2.5889,0.013831,0,0.067332,0.0014354,1,0.026017,5,0.026017,0
0.077932,2.5884,0.014496,0,0.070537,0.0014551,1,0.027256,5,0.027256,0
0.081849,2.588,0.015163,0,0.073741,0.0014757,1,0.028495,5,0.028495,0
0.085799,2.5874,0.01583,0,0.076944,0.0014973,1,0.029734,5,0.029734,0
0.089782,2.5869,0.016497,0,0.080148,0.0015199,1,0.030972,5,0.030972,0
0.093797,2.5862,0.017165,0,0.083351,0.0015434,1,0.032211,5,0.032211,0
0.097845,2.5856,0.017834,0,0.086554,0.0015678,1,0.03345,5,0.03345,0
0.10193,2.5849,0.018504,0,0.089757,0.0015932,1,0.034689,5,0.034689,0
0.10604,2.5841,0.019174,0,0.09296,0.0016196,1,0.035928,5,0.035928,0
0.11018,2.5833,0.019842,0,0.096162,0.0016469,1,0.037167,5,0.037167,0
0.11434,2.583,0.020438,0,0.099365,0.0016746,1,0.038406,5,0.038406,0
0.11852,2.5826,0.021035,0,0.10257,0.0017032,1,0.039645,5,0.039645,0
0.12273,2.5821,0.021633,0,0.10577,0.0017326,1,0.040884,5,0.040884,0
0.12697,2.5816,0.022233,0,0.10897,0.0017629,1,0.042123,5,0.042123,0
0.13124,2.5811,0.022835,0,0.11217,0.001794,1,0.043361,5,0.043361,0
0.13554,2.5805,0.023437,0,0.11537,0.001826,1,0.0446,5,0.0446,0
0.13987,2.5798,0.024042,0,0.11857,0.0018589,1,0.045839,5,0.045839,0
0.14426,2.5795,0.024651,0,0.12177,0.001893,1,0.047078,5,0.047078,0
0.14877,2.5797,0.025269,0,0.12498,0.0019286,1,0.048317,5,0.048317,0
0.15337,2.5797,0.025888,0,0.12817,0.0019655,1,0.049556,5,0.049556,0
0.15806,2.5797,0.026511,0,0.13137,0.0020037,1,0.050795,5,0.050795,0
0.16284,2.5797,0.027136,0,0.13457,0.0020431,1,0.052034,5,0.052034,0
0.16771,2.5796,0.027763,0,0.13777,0.0020838,1,0.053273,5,0.053273,0
0.17267,2.5794,0.028393,0,0.14097,0.0021258,1,0.054512,5,0.054512,0
0.17772,2.5792,0.029026,0,0.14416,0.002169,1,0.055751,5,0.055751,0
0.18286,2.5789,0.029661,0,0.14736,0.0022136,1,0.056989,5,0.056989,0
0.18804,2.5788,0.030316,0,0.15056,0.0022587,1,0.058228,5,0.058228,0
0.19328,2.5788,0.030982,0,0.15375,0.0023049,1,0.059467,5,0.059467,0
0.19863,2.5788,0.031645,0,0.15695,0.0023525,1,0.060706,5,0.060706,0
0.20409,2.5787,0.032305,0,0.16014,0.0024016,1,0.061945,5,0.061945,0
0.20964,2.5786,0.032962,0,0.16333,0.0024521,1,0.063184,5,0.063184,0
0.2153,2.5784,0.033616,0,0.16653,0.002504,1,0.064423,5,0.064423,0
0.22106,2.5782,0.034267,0,0.16972,0.0025574,1,0.065662,5,0.065662,0
