"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1331,2.9125,-0.00052493,0,0,0.0092798,1,0,5.15,0,0
-1.1541,2.9149,-0.00011304,0,0.0039873,0.0092987,1,0.0013609,5.15,0.0013609,0
-1.175,2.9174,0.00029886,0,0.0079746,0.0093176,1,0.0027218,5.15,0.0027218,0
-1.1959,2.9199,0.00071075,0,0.011962,0.0093365,1,0.0040827,5.15,0.0040827,0
-1.2169,2.9223,0.0011226,0,0.015949,0.0093553,1,0.0054436,5.15,0.0054436,0
-1.2378,2.9248,0.0015345,0,0.019937,0.0093742,1,0.0068045,5.15,0.0068045,0
-1.2587,2.9273,0.0019464,0,0.023924,0.0093931,1,0.0081654,5.15,0.0081654,0
-1.2797,2.9298,0.0023583,0,0.027911,0.009412,1,0.0095263,5.15,0.0095263,0
-1.3006,2.9322,0.0027702,0,0.031898,0.0094309,1,0.010887,5.15,0.010887,0
-1.3089,2.9344,0.0030651,0,0.035883,0.0094498,1,0.012248,5.15,0.012248,0
-1.2969,2.9361,0.0031717,0,0.039865,0.0094687,1,0.013609,5.15,0.013609,0
-1.2849,2.9377,0.0032782,0,0.043846,0.0094876,1,0.01497,5.15,0.01497,0
-1.2729,2.9394,0.0033848,0,0.047827,0.0095065,1,0.016331,5.15,0.016331,0
-1.261,2.9411,0.0034914,0,0.051809,0.0095254,1,0.017692,5.15,0.017692,0
-1.2643,2.9431,0.0039972,0,0.055811,0.0095698,1,0.019053,5.15,0.019053,0
-1.2692,2.9451,0.0045441,0,0.059816,0.0096168,1,0.020413,5.15,0.020413,0
-1.2741,2.9471,0.0050909,0,0.063821,0.0096638,1,0.021774,5.15,0.021774,0
-1.279,2.9492,0.0056378,0,0.067826,0.0097108,1,0.023135,5.15,0.023135,0
-1.2852,2.9502,0.0060454,0,0.071843,0.0097648,1,0.024496,5.15,0.024496,0
-1.2914,2.9512,0.0064467,0,0.075861,0.009819,1,0.025857,5.15,0.025857,0
-1.2976,2.9522,0.0068479,0,0.079879,0.0098733,1,0.027218,5.15,0.027218,0
-1.3038,2.9532,0.0072492,0,0.083897,0.0099276,1,0.028579,5.15,0.028579,0
-1.3101,2.9542,0.0076505,0,0.087914,0.0099819,1,0.02994,5.15,0.02994,0
-1.3163,2.9552,0.0080517,0,0.091932,0.010036,1,0.031301,5.15,0.031301,0
-1.3191,2.9565,0.0084515,0,0.095955,0.010096,1,0.032662,5.15,0.032662,0
-1.3103,2.9587,0.0088462,0,0.099992,0.010177,1,0.034022,5.15,0.034022,0
-1.3015,2.961,0.0092408,0,0.10403,0.010258,1,0.035383,5.15,0.035383,0
-1.2927,2.9632,0.0096355,0,0.10807,0.010339,1,0.036744,5.15,0.036744,0
