"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13978,3.6804,0.00073919,0,0,0.015926,1,0,6.65,0,0
0.15264,3.6801,0.0006063,0,0.0036788,0.016042,1,0.001,6.65,0.001,0
0.1655,3.6799,0.00047341,0,0.0073576,0.016158,1,0.002,6.65,0.002,0
0.17836,3.6796,0.00034051,0,0.011036,0.016275,1,0.003,6.65,0.003,0
0.19121,3.6793,0.00020762,0,0.014715,0.016391,1,0.004,6.65,0.004,0
0.20407,3.6791,7.4723e-05,0,0.018394,0.016507,1,0.005,6.65,0.005,0
0.21693,3.6788,-5.8171e-05,0,0.022073,0.016623,1,0.006,6.65,0.006,0
0.22979,3.6786,-0.00019106,0,0.025751,0.016739,1,0.007,6.65,0.007,0
0.24264,3.6783,-0.00032396,0,0.02943,0.016855,1,0.008,6.65,0.008,0
0.2555,3.678,-0.00045685,0,0.033109,0.016971,1,0.009,6.65,0.009,0
0.26836,3.6778,-0.00058975,0,0.036788,0.017087,1,0.01,6.65,0.01,0
0.28122,3.6775,-0.00072264,0,0.040467,0.017203,1,0.011,6.65,0.011,0
0.29408,3.6773,-0.00085553,0,0.044145,0.01732,1,0.012,6.65,0.012,0
0.30708,3.6769,-0.0010255,0,0.047819,0.017446,1,0.013,6.65,0.013,0
0.32019,3.6765,-0.0012181,0,0.05149,0.01758,1,0.014,6.65,0.014,0
0.33329,3.6761,-0.0014108,0,0.05516,0.017713,1,0.015,6.65,0.015,0
0.34639,3.6757,-0.0016035,0,0.058831,0.017846,1,0.016,6.65,0.016,0
0.35949,3.6753,-0.0017961,0,0.062501,0.01798,1,0.017,6.65,0.017,0
0.37259,3.6749,-0.0019888,0,0.066172,0.018113,1,0.018,6.65,0.018,0
0.38569,3.6745,-0.0021814,0,0.069842,0.018246,1,0.019,6.65,0.019,0
0.39879,3.6741,-0.0023741,0,0.073513,0.01838,1,0.02,6.65,0.02,0
0.41189,3.6737,-0.0025668,0,0.077183,0.018513,1,0.021,6.65,0.021,0
0.425,3.6733,-0.0027594,0,0.080854,0.018646,1,0.022,6.65,0.022,0
0.4381,3.6729,-0.0029521,0,0.084524,0.018779,1,0.023,6.65,0.023,0
0.4512,3.6725,-0.0031447,0,0.088195,0.018913,1,0.024,6.65,0.024,0
0.4643,3.6721,-0.0033374,0,0.091866,0.019046,1,0.025,6.65,0.025,0
0.4774,3.6717,-0.0035301,0,0.095536,0.019179,1,0.026,6.65,0.026,0
0.4905,3.6713,-0.0037227,0,0.099207,0.019313,1,0.027,6.65,0.027,0
0.5036,3.6709,-0.0039154,0,0.10288,0.019446,1,0.028,6.65,0.028,0
0.5167,3.6705,-0.004108,0,0.10655,0.019579,1,0.029,6.65,0.029,0
0.52981,3.6701,-0.0043007,0,0.11022,0.019713,1,0.03,6.65,0.03,0
0.54291,3.6697,-0.0044934,0,0.11389,0.019846,1,0.031,6.65,0.031,0
0.55601,3.6693,-0.004686,0,0.11756,0.019979,1,0.032,6.65,0.032,0
0.56911,3.6689,-0.0048787,0,0.12123,0.020113,1,0.033,6.65,0.033,0
0.58221,3.6685,-0.0050713,0,0.1249,0.020246,1,0.034,6.65,0.034,0
0.59531,3.6681,-0.005264,0,0.12857,0.020379,1,0.035,6.65,0.035,0
0.60841,3.6677,-0.0054567,0,0.13224,0.020513,1,0.036,6.65,0.036,0
0.62151,3.6673,-0.0056493,0,0.13591,0.020646,1,0.037,6.65,0.037,0
0.63462,3.6669,-0.005842,0,0.13958,0.020779,1,0.038,6.65,0.038,0
0.64772,3.6665,-0.0060346,0,0.14325,0.020913,1,0.039,6.65,0.039,0
0.66082,3.6661,-0.0062273,0,0.14692,0.021046,1,0.04,6.65,0.04,0
0.67392,3.6657,-0.00642,0,0.15059,0.021179,1,0.041,6.65,0.041,0
0.68702,3.6653,-0.0066126,0,0.15426,0.021312,1,0.042,6.65,0.042,0
0.70012,3.6649,-0.0068053,0,0.15794,0.021446,1,0.043,6.65,0.043,0
0.71322,3.6645,-0.0069979,0,0.16161,0.021579,1,0.044,6.65,0.044,0
0.72632,3.6642,-0.0071906,0,0.16528,0.021712,1,0.045,6.65,0.045,0
0.73942,3.6638,-0.0073833,0,0.16895,0.021846,1,0.046,6.65,0.046,0
0.75253,3.6634,-0.0075759,0,0.17262,0.021979,1,0.047,6.65,0.047,0
0.76563,3.663,-0.0077686,0,0.17629,0.022112,1,0.048,6.65,0.048,0
