"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.0992,0,0,0,3.8808e-14,1,0,5,0,0
1.338e-14,1.0994,1.0629e-06,0,0.0011,3.8619e-14,1,0.001,5,0.001,0
4.3547e-14,1.0995,2.1009e-06,0,0.0021999,3.859e-14,1,0.002,5,0.002,0
9.0501e-14,1.0997,3.1141e-06,0,0.0032999,3.8723e-14,1,0.003,5,0.003,0
1.5424e-13,1.0998,4.1025e-06,0,0.0043998,3.9017e-14,1,0.004,5,0.004,0
2.3477e-13,1.0999,5.0661e-06,0,0.0054998,3.9473e-14,1,0.005,5,0.005,0
3.3208e-13,1.1001,6.0049e-06,0,0.0065998,4.0089e-14,1,0.006,5,0.006,0
4.4619e-13,1.1002,6.9189e-06,0,0.0076997,4.0867e-14,1,0.007,5,0.007,0
5.7708e-13,1.1003,7.808e-06,0,0.0087997,4.1806e-14,1,0.008,5,0.008,0
7.2475e-13,1.1004,8.6723e-06,0,0.0098996,4.2906e-14,1,0.009,5,0.009,0
8.8921e-13,1.1005,9.5118e-06,0,0.011,4.4168e-14,1,0.01,5,0.01,0
1.0705e-12,1.1005,1.0326e-05,0,0.0121,4.559e-14,1,0.011,5,0.011,0
1.2685e-12,1.1006,1.1116e-05,0,0.013199,4.7174e-14,1,0.012,5,0.012,0
1.4833e-12,1.1007,1.1881e-05,0,0.014299,4.892e-14,1,0.013,5,0.013,0
1.7149e-12,1.1007,1.2622e-05,0,0.015399,5.0826e-14,1,0.014,5,0.014,0
1.9633e-12,1.1008,1.3337e-05,0,0.016499,5.2894e-14,1,0.015,5,0.015,0
2.2285e-12,1.1008,1.4028e-05,0,0.017599,5.5123e-14,1,0.016,5,0.016,0
2.5105e-12,1.1008,1.4693e-05,0,0.018699,5.7513e-14,1,0.017,5,0.017,0
2.8092e-12,1.1008,1.5334e-05,0,0.019799,6.0064e-14,1,0.018,5,0.018,0
3.1248e-12,1.1008,1.595e-05,0,0.020899,6.2776e-14,1,0.019,5,0.019,0
3.4571e-12,1.1008,1.6542e-05,0,0.021999,6.565e-14,1,0.02,5,0.02,0
3.8062e-12,1.1008,1.7108e-05,0,0.023099,6.8685e-14,1,0.021,5,0.021,0
4.1722e-12,1.1008,1.765e-05,0,0.024199,7.1882e-14,1,0.022,5,0.022,0
4.5548e-12,1.1008,1.8167e-05,0,0.025299,7.5239e-14,1,0.023,5,0.023,0
4.9543e-12,1.1007,1.8659e-05,0,0.026399,7.8758e-14,1,0.024,5,0.024,0
5.3706e-12,1.1007,1.9126e-05,0,0.027499,8.2438e-14,1,0.025,5,0.025,0
5.8036e-12,1.1006,1.9568e-05,0,0.028599,8.6279e-14,1,0.026,5,0.026,0
6.2535e-12,1.1006,1.9986e-05,0,0.029699,9.0281e-14,1,0.027,5,0.027,0
6.7201e-12,1.1005,2.0379e-05,0,0.030798,9.4445e-14,1,0.028,5,0.028,0
7.2035e-12,1.1004,2.0747e-05,0,0.031898,9.877e-14,1,0.029,5,0.029,0
7.7037e-12,1.1003,2.109e-05,0,0.032998,1.0326e-13,1,0.03,5,0.03,0
8.2207e-12,1.1002,2.1408e-05,0,0.034098,1.079e-13,1,0.031,5,0.031,0
8.7545e-12,1.1001,2.1702e-05,0,0.035198,1.1271e-13,1,0.032,5,0.032,0
9.3051e-12,1.1,2.197e-05,0,0.036298,1.1768e-13,1,0.033,5,0.033,0
9.8724e-12,1.0998,2.2214e-05,0,0.037398,1.2281e-13,1,0.034,5,0.034,0
1.0457e-11,1.0997,2.2433e-05,0,0.038498,1.281e-13,1,0.035,5,0.035,0
1.1057e-11,1.0996,2.2628e-05,0,0.039598,1.3356e-13,1,0.036,5,0.036,0
1.1675e-11,1.0994,2.2797e-05,0,0.040698,1.3917e-13,1,0.037,5,0.037,0
1.2269e-11,1.0993,2.4091e-05,0,0.041798,1.4677e-13,1,0.038,5,0.038,0
1.2882e-11,1.0993,2.5593e-05,0,0.042898,1.5508e-13,1,0.039,5,0.039,0
1.3521e-11,1.0993,2.7085e-05,0,0.043997,1.6379e-13,1,0.04,5,0.04,0
1.4187e-11,1.0993,2.8565e-05,0,0.045097,1.7288e-13,1,0.041,5,0.041,0
1.488e-11,1.0992,3.0035e-05,0,0.046197,1.8237e-13,1,0.042,5,0.042,0
1.5599e-11,1.0992,3.1494e-05,0,0.047297,1.9225e-13,1,0.043,5,0.043,0
1.6345e-11,1.0991,3.2943e-05,0,0.048397,2.0251e-13,1,0.044,5,0.044,0
1.7118e-11,1.0991,3.4381e-05,0,0.049497,2.1317e-13,1,0.045,5,0.045,0
1.7918e-11,1.099,3.5808e-05,0,0.050597,2.2422e-13,1,0.046,5,0.046,0
1.8745e-11,1.099,3.7225e-05,0,0.051697,2.3566e-13,1,0.047,5,0.047,0
1.9598e-11,1.0989,3.8631e-05,0,0.052797,2.4749e-13,1,0.048,5,0.048,0
2.0478e-11,1.0988,4.0026e-05,0,0.053896,2.5972e-13,1,0.049,5,0.049,0
2.1068e-11,1.0988,4.1076e-05,0,0.054996,2.6884e-13,1,0.05,5,0.05,0
2.087e-11,1.0989,4.1161e-05,0,0.056096,2.6961e-13,1,0.051,5,0.051,0
2.0844e-11,1.099,4.1236e-05,0,0.057196,2.7272e-13,1,0.052,5,0.052,0
2.099e-11,1.0991,4.1301e-05,0,0.058296,2.7816e-13,1,0.053,5,0.053,0
2.1307e-11,1.0992,4.1355e-05,0,0.059396,2.8594e-13,1,0.054,5,0.054,0
2.1796e-11,1.0993,4.14e-05,0,0.060495,2.9606e-13,1,0.055,5,0.055,0
2.2457e-11,1.0994,4.1434e-05,0,0.061595,3.0852e-13,1,0.056,5,0.056,0
2.3289e-11,1.0994,4.1458e-05,0,0.062695,3.2331e-13,1,0.057,5,0.057,0
2.4293e-11,1.0995,4.1472e-05,0,0.063795,3.4044e-13,1,0.058,5,0.058,0
2.5469e-11,1.0996,4.1476e-05,0,0.064895,3.599e-13,1,0.059,5,0.059,0
2.6816e-11,1.0996,4.147e-05,0,0.065994,3.8171e-13,1,0.06,5,0.06,0
2.8335e-11,1.0997,4.1454e-05,0,0.067094,4.0584e-13,1,0.061,5,0.061,0
3.0026e-11,1.0998,4.1428e-05,0,0.068194,4.3232e-13,1,0.062,5,0.062,0
3.1888e-11,1.0998,4.1391e-05,0,0.069294,4.6113e-13,1,0.063,5,0.063,0
3.3922e-11,1.0999,4.1345e-05,0,0.070394,4.9228e-13,1,0.064,5,0.064,0
3.6128e-11,1.0999,4.1288e-05,0,0.071493,5.2577e-13,1,0.065,5,0.065,0
3.8505e-11,1.1,4.1221e-05,0,0.072593,5.6159e-13,1,0.066,5,0.066,0
4.1054e-11,1.1,4.1144e-05,0,0.073693,5.9975e-13,1,0.067,5,0.067,0
4.3774e-11,1.1001,4.1057e-05,0,0.074793,6.4025e-13,1,0.068,5,0.068,0
4.6666e-11,1.1001,4.096e-05,0,0.075893,6.8308e-13,1,0.069,5,0.069,0
4.973e-11,1.1001,4.0853e-05,0,0.076992,7.2825e-13,1,0.07,5,0.07,0
5.2965e-11,1.1001,4.0736e-05,0,0.078092,7.7576e-13,1,0.071,5,0.071,0
5.6372e-11,1.1002,4.0608e-05,0,0.079192,8.256e-13,1,0.072,5,0.072,0
5.9951e-11,1.1002,4.0471e-05,0,0.080292,8.7778e-13,1,0.073,5,0.073,0
6.3702e-11,1.1002,4.0323e-05,0,0.081392,9.323e-13,1,0.074,5,0.074,0
6.7624e-11,1.1002,4.0165e-05,0,0.082491,9.8915e-13,1,0.075,5,0.075,0
7.1717e-11,1.1002,3.9997e-05,0,0.083591,1.0483e-12,1,0.076,5,0.076,0
7.5983e-11,1.1002,3.9819e-05,0,0.084691,1.1099e-12,1,0.077,5,0.077,0
8.042e-11,1.1002,3.9631e-05,0,0.085791,1.1737e-12,1,0.078,5,0.078,0
8.5028e-11,1.1002,3.9433e-05,0,0.086891,1.2399e-12,1,0.079,5,0.079,0
8.9808e-11,1.1002,3.9225e-05,0,0.08799,1.3085e-12,1,0.08,5,0.08,0
9.476e-11,1.1002,3.9006e-05,0,0.08909,1.3793e-12,1,0.081,5,0.081,0
