"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.9779,0,0,0,0.018903,1,0,5,0,0
0.022815,2.9781,0.0009143,0,0.0036923,0.018904,1,0.0012389,5,0.0012389,0
0.04567,2.9782,0.0018274,0,0.0073839,0.01891,1,0.0024778,5,0.0024778,0
0.068567,2.9784,0.0027394,0,0.011075,0.01892,1,0.0037167,5,0.0037167,0
0.091504,2.9784,0.0036502,0,0.014765,0.018934,1,0.0049556,5,0.0049556,0
0.11448,2.9784,0.0045598,0,0.018454,0.018952,1,0.0061945,5,0.0061945,0
0.1375,2.9784,0.0054682,0,0.022143,0.018975,1,0.0074334,5,0.0074334,0
0.16056,2.9783,0.0063755,0,0.025831,0.019002,1,0.0086723,5,0.0086723,0
0.18366,2.9781,0.0072816,0,0.029518,0.019034,1,0.0099112,5,0.0099112,0
0.2068,2.978,0.0081865,0,0.033205,0.019069,1,0.01115,5,0.01115,0
0.22998,2.9777,0.0090903,0,0.036891,0.019109,1,0.012389,5,0.012389,0
0.2532,2.9774,0.0099928,0,0.040576,0.019154,1,0.013628,5,0.013628,0
0.27647,2.9771,0.010894,0,0.044261,0.019203,1,0.014867,5,0.014867,0
0.29977,2.9767,0.011794,0,0.047944,0.019256,1,0.016106,5,0.016106,0
0.32312,2.9762,0.012694,0,0.051627,0.019313,1,0.017345,5,0.017345,0
0.3465,2.9757,0.013591,0,0.05531,0.019375,1,0.018584,5,0.018584,0
0.36993,2.9751,0.014488,0,0.058991,0.019441,1,0.019822,5,0.019822,0
0.39339,2.9745,0.015384,0,0.062672,0.019511,1,0.021061,5,0.021061,0
0.4169,2.9739,0.016278,0,0.066352,0.019586,1,0.0223,5,0.0223,0
0.44045,2.9732,0.017171,0,0.070032,0.019664,1,0.023539,5,0.023539,0
0.46404,2.9724,0.018063,0,0.073711,0.019748,1,0.024778,5,0.024778,0
0.48767,2.9716,0.018954,0,0.077389,0.019835,1,0.026017,5,0.026017,0
0.51134,2.9707,0.019844,0,0.081066,0.019927,1,0.027256,5,0.027256,0
0.53505,2.9698,0.020732,0,0.084743,0.020023,1,0.028495,5,0.028495,0
0.5588,2.9688,0.02162,0,0.088419,0.020124,1,0.029734,5,0.029734,0
0.5826,2.9678,0.022506,0,0.092094,0.020229,1,0.030972,5,0.030972,0
0.60643,2.9667,0.023391,0,0.095769,0.020338,1,0.032211,5,0.032211,0
0.6303,2.9656,0.024275,0,0.099442,0.020451,1,0.03345,5,0.03345,0
0.65422,2.9644,0.025157,0,0.10312,0.020569,1,0.034689,5,0.034689,0
0.67817,2.9632,0.026039,0,0.10679,0.020691,1,0.035928,5,0.035928,0
0.70217,2.9619,0.026919,0,0.11046,0.020817,1,0.037167,5,0.037167,0
0.72617,2.9611,0.027805,0,0.11413,0.020946,1,0.038406,5,0.038406,0
0.75021,2.9602,0.028691,0,0.1178,0.021079,1,0.039645,5,0.039645,0
