"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.126,0,0,0,1.1845e-10,1,0,5,0,0
1.1164e-10,1.1261,5.0023e-07,0,0.0011267,1.1763e-10,1,0.001,5,0.001,0
2.328e-10,1.1263,9.8928e-07,0,0.0022534,1.171e-10,1,0.002,5,0.002,0
3.6349e-10,1.1264,1.4672e-06,0,0.0033801,1.1686e-10,1,0.003,5,0.003,0
5.037e-10,1.1266,1.9339e-06,0,0.0045067,1.1692e-10,1,0.004,5,0.004,0
6.5345e-10,1.1267,2.3894e-06,0,0.0056334,1.1727e-10,1,0.005,5,0.005,0
8.1272e-10,1.1268,2.8337e-06,0,0.0067601,1.1792e-10,1,0.006,5,0.006,0
9.8151e-10,1.1269,3.2669e-06,0,0.0078868,1.1886e-10,1,0.007,5,0.007,0
1.1598e-09,1.127,3.6889e-06,0,0.0090135,1.2009e-10,1,0.008,5,0.008,0
1.3477e-09,1.1271,4.0997e-06,0,0.01014,1.2162e-10,1,0.009,5,0.009,0
1.5451e-09,1.1272,4.4994e-06,0,0.011267,1.2345e-10,1,0.01,5,0.01,0
1.752e-09,1.1273,4.8879e-06,0,0.012393,1.2556e-10,1,0.011,5,0.011,0
1.9684e-09,1.1274,5.2652e-06,0,0.01352,1.2797e-10,1,0.012,5,0.012,0
2.1944e-09,1.1274,5.6313e-06,0,0.014647,1.3068e-10,1,0.013,5,0.013,0
2.4299e-09,1.1275,5.9862e-06,0,0.015774,1.3368e-10,1,0.014,5,0.014,0
2.6749e-09,1.1275,6.33e-06,0,0.0169,1.3697e-10,1,0.015,5,0.015,0
2.9294e-09,1.1275,6.6626e-06,0,0.018027,1.4056e-10,1,0.016,5,0.016,0
3.1935e-09,1.1276,6.984e-06,0,0.019154,1.4444e-10,1,0.017,5,0.017,0
3.4671e-09,1.1276,7.2943e-06,0,0.02028,1.4862e-10,1,0.018,5,0.018,0
3.7502e-09,1.1276,7.5933e-06,0,0.021407,1.5309e-10,1,0.019,5,0.019,0
4.0429e-09,1.1276,7.8812e-06,0,0.022534,1.5786e-10,1,0.02,5,0.02,0
4.345e-09,1.1276,8.1579e-06,0,0.02366,1.6291e-10,1,0.021,5,0.021,0
4.6567e-09,1.1275,8.4235e-06,0,0.024787,1.6827e-10,1,0.022,5,0.022,0
4.978e-09,1.1275,8.6779e-06,0,0.025914,1.7391e-10,1,0.023,5,0.023,0
5.3087e-09,1.1275,8.9211e-06,0,0.02704,1.7986e-10,1,0.024,5,0.024,0
5.649e-09,1.1274,9.1531e-06,0,0.028167,1.8609e-10,1,0.025,5,0.025,0
5.9988e-09,1.1274,9.3739e-06,0,0.029294,1.9262e-10,1,0.026,5,0.026,0
6.3582e-09,1.1273,9.5836e-06,0,0.03042,1.9944e-10,1,0.027,5,0.027,0
6.727e-09,1.1272,9.7821e-06,0,0.031547,2.0656e-10,1,0.028,5,0.028,0
7.1054e-09,1.1271,9.9694e-06,0,0.032673,2.1397e-10,1,0.029,5,0.029,0
7.4933e-09,1.127,1.0146e-05,0,0.0338,2.2168e-10,1,0.03,5,0.03,0
7.8908e-09,1.1269,1.031e-05,0,0.034927,2.2968e-10,1,0.031,5,0.031,0
8.2978e-09,1.1268,1.0464e-05,0,0.036053,2.3797e-10,1,0.032,5,0.032,0
8.7143e-09,1.1267,1.0607e-05,0,0.03718,2.4656e-10,1,0.033,5,0.033,0
9.1403e-09,1.1266,1.0738e-05,0,0.038307,2.5544e-10,1,0.034,5,0.034,0
9.5759e-09,1.1264,1.0859e-05,0,0.039433,2.6462e-10,1,0.035,5,0.035,0
1.0021e-08,1.1263,1.0968e-05,0,0.04056,2.7409e-10,1,0.036,5,0.036,0
1.0476e-08,1.1261,1.1066e-05,0,0.041687,2.8386e-10,1,0.037,5,0.037,0
1.0939e-08,1.1261,1.2189e-05,0,0.042813,2.9409e-10,1,0.038,5,0.038,0
1.1418e-08,1.126,1.351e-05,0,0.04394,3.0478e-10,1,0.039,5,0.039,0
1.1911e-08,1.126,1.483e-05,0,0.045067,3.1589e-10,1,0.04,5,0.04,0
1.2419e-08,1.126,1.6149e-05,0,0.046193,3.2742e-10,1,0.041,5,0.041,0
1.2941e-08,1.1259,1.7469e-05,0,0.04732,3.3938e-10,1,0.042,5,0.042,0
1.3479e-08,1.1259,1.8788e-05,0,0.048446,3.5176e-10,1,0.043,5,0.043,0
1.4031e-08,1.1258,2.0107e-05,0,0.049573,3.6457e-10,1,0.044,5,0.044,0
1.4598e-08,1.1258,2.1425e-05,0,0.0507,3.778e-10,1,0.045,5,0.045,0
1.518e-08,1.1257,2.2743e-05,0,0.051826,3.9146e-10,1,0.046,5,0.046,0
1.5776e-08,1.1257,2.4061e-05,0,0.052953,4.0554e-10,1,0.047,5,0.047,0
1.6388e-08,1.1256,2.5379e-05,0,0.05408,4.2004e-10,1,0.048,5,0.048,0
1.7014e-08,1.1255,2.6696e-05,0,0.055206,4.3497e-10,1,0.049,5,0.049,0
